dataset,model,source,normalise,ease_lambda,rp3_beta,topK,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,10.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,overall,5957,0.12094040233437721,0.08543909588095942,0.5057915057915058,0.133489260362551,0.14434873713847465,0.6617424878294443
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q1,5787,0.13485644641495123,0.12049901570222524,0.518921721099015,0.15660813602851298,0.2019595063678171,0.6768619319163642
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q2,4520,0.0015666676863539703,0.0031641637615088944,0.006194690265486726,0.0029348904506559153,0.007343605047275011,0.015486725663716814
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q3,3059,0.0001675597376116293,0.0003541462351531001,0.0009807126511932004,0.00026466569830948736,0.0006810504522175002,0.0016345210853220007
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,30.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,overall,5957,0.11928285035937371,0.07809967819387716,0.5032734597951989,0.1294674060682498,0.13133071121591258,0.6468020815846903
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,q1,5787,0.13177597745040717,0.10874182893570812,0.5177121133575255,0.15061245839896284,0.1826898129820136,0.6654570589251771
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,q2,4520,0.00011366255912866243,0.0002286135693215339,0.0008849557522123894,0.00031796693111833314,0.0009292035398230086,0.0022123893805309734
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,q3,3059,0.0,0.0,0.0,3.492670946773136e-05,0.00010896807235480004,0.00032690421706440013
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,p3alpha,none,500,0.6,200,100.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,0.3,overall,5957,0.11452543397569634,0.08933114523447257,0.5079738123216384,0.13116098237138768,0.15443643979499694,0.6822225952660735
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,0.3,q1,5787,0.12648543858032846,0.12382228309940778,0.5130464834974944,0.15066473423849489,0.20863495544936625,0.6870571971660618
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,0.3,q2,4520,0.006652698811243758,0.012360600611428171,0.028097345132743364,0.012087912652239347,0.029851491039858652,0.06769911504424779
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,0.3,q3,3059,0.0014282219329280273,0.003214558134466601,0.005557371690094802,0.002711392405967743,0.0076659038901601825,0.011114743380189604
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,0.3,q4,1767,0.0,0.0,0.0,0.0002187433186101982,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,0.3,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,1.0,overall,5957,0.11632485696441174,0.09036496475281122,0.5091489004532482,0.13283248647885604,0.15577403995980998,0.6828940741984221
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,1.0,q1,5787,0.12863650657493164,0.12545104509969215,0.5151200967686194,0.15274061632034833,0.21060216886204422,0.6880940038016243
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,1.0,q2,4520,0.006283981309572713,0.011588806785851231,0.02566371681415929,0.011771508874835928,0.029216545887782032,0.06415929203539823
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,1.0,q3,3059,0.0012176725961736312,0.002969379971668301,0.004576659038901602,0.0024840785366562128,0.007284515636918383,0.010787839163125205
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,1.0,q4,1767,0.0,0.0,0.0,0.00021471864201068588,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,1.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,3.0,overall,5957,0.11878606547757765,0.09088070772537322,0.5143528621789492,0.13470277878118025,0.15575186554845574,0.6812153768675507
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,3.0,q1,5787,0.13171468625398383,0.12632569070770316,0.5213409365819941,0.15576373045415376,0.21193601888871133,0.6875756004838431
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,3.0,q2,4520,0.005251019686643252,0.009411297833841903,0.021238938053097345,0.010110513003533354,0.025023220026592286,0.05508849557522124
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,3.0,q3,3059,0.0011807594514919289,0.002969379971668301,0.004576659038901602,0.0019958847619009914,0.005786204642039882,0.008499509643674403
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,3.0,q4,1767,0.0,0.0,0.0,0.00020994543691256915,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,3.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,10.0,overall,5957,0.12143610654422259,0.08932176383713028,0.511499076716468,0.1360987105333948,0.153171899932739,0.6805438979352023
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,10.0,q1,5787,0.13509043175155241,0.12519394532420994,0.5215137376879212,0.1586529529531963,0.21133994032784378,0.6912044237083117
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,10.0,q2,4520,0.0035353614346838847,0.006548265253229773,0.013938053097345133,0.006778468654337145,0.01670001722924397,0.03761061946902655
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,10.0,q3,3059,0.0005606671908435805,0.0011714067778141003,0.002288329519450801,0.0011529847462098703,0.003405252261087501,0.0049035632559660015
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,10.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,10.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,30.0,overall,5957,0.12346454315989513,0.08706824661580796,0.511499076716468,0.13648197353691077,0.14726026167196113,0.6711431928823233
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,30.0,q1,5787,0.13785533573710174,0.12349464946538155,0.5249697598064628,0.15996220173842746,0.20560008871249483,0.6868843960601347
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,30.0,q2,4520,0.0015746374789145066,0.003020358451774381,0.006415929203539823,0.003335918200211941,0.00843412201448038,0.018141592920353982
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,30.0,q3,3059,0.00016908669524729185,0.0003541462351531001,0.0009807126511932004,0.0004021639973078692,0.0011714067778141003,0.002288329519450801
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,30.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,30.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,100.0,overall,5957,0.1216899937832475,0.08090957752560984,0.5083095517878127,0.13248496290927894,0.1362897729133615,0.6548598287728723
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,100.0,q1,5787,0.13451753011877787,0.1125874531670485,0.5227233454294108,0.1544047224983082,0.1900798818925367,0.6728875064800415
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,100.0,q2,4520,0.00018491650805925006,0.0003962188254223652,0.0011061946902654867,0.0008074487512241068,0.002399309147096757,0.005088495575221239
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,100.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,100.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,itemknn,none,500,0.6,200,100.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,0.3,overall,5957,0.11445767958652993,0.08922690756549419,0.5052878965922444,0.13111506742411858,0.15421987673409954,0.6798724190028538
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,0.3,q1,5787,0.12622997569291508,0.1233810746822884,0.5097632624848799,0.15049647661343274,0.20847016885913153,0.6842923794712286
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,0.3,q2,4520,0.007003704050665476,0.01304549590723151,0.028982300884955754,0.012466765919388664,0.030429243237501003,0.06902654867256637
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,0.3,q3,3059,0.0013627777466241613,0.003214558134466601,0.005557371690094802,0.002694959141457516,0.007829355998692384,0.011441647597254004
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,0.3,q4,1767,0.0,0.0,0.0,0.0002187433186101982,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,0.3,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,1.0,overall,5957,0.11592265655094534,0.0906622947612492,0.5054557663253315,0.13245046660813967,0.15498334014139462,0.6781937216719826
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,1.0,q1,5787,0.1281331509707401,0.12541446649396687,0.5104544669085882,0.15209738359973554,0.2092683071403205,0.6825643684119579
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,1.0,q2,4520,0.006613531096986041,0.012031437229445994,0.026991150442477876,0.01242859077827095,0.030599921831864184,0.06747787610619468
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,1.0,q3,3059,0.0013070308352884966,0.003132832080200501,0.0049035632559660015,0.002457213284279859,0.0069467146126185025,0.010134030728996404
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,1.0,q4,1767,0.0,0.0,0.0,0.00013571729856713723,0.0005659309564233164,0.0005659309564233164
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,1.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,3.0,overall,5957,0.1181672283114881,0.08981415270135583,0.5049521571260702,0.13424257070883902,0.15457154276364968,0.6763471546080242
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,3.0,q1,5787,0.13084275836008258,0.12455789774957075,0.5109728702263695,0.15470933760283365,0.2098529172245936,0.6815275617763954
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,3.0,q2,4520,0.005599002322569929,0.009870762197300213,0.02168141592920354,0.011289040696794025,0.028245114812724268,0.06084070796460177
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,3.0,q3,3059,0.0011641228481449918,0.002969379971668301,0.004576659038901602,0.0021045940111880414,0.006156696088046202,0.009153318077803204
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,3.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,3.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,10.0,overall,5957,0.12076460323038349,0.08846597197314418,0.5096525096525096,0.13514111144146204,0.15132619003996003,0.670639583683062
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,10.0,q1,5787,0.13433300321643382,0.12456847626361739,0.5192673233108692,0.15697834621900875,0.20797222741088564,0.6796267496111975
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,10.0,q2,4520,0.00391375857986484,0.006955530903276047,0.014380530973451327,0.00783679971741094,0.019712442500961495,0.04115044247787611
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,10.0,q3,3059,0.00047881351947362115,0.0011714067778141003,0.002288329519450801,0.0012552049268698782,0.004004576659038902,0.005557371690094802
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,10.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,10.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,30.0,overall,5957,0.12280529206912445,0.08630511110489704,0.5136813832466006,0.13523405775982997,0.14526200815694718,0.6647641430250126
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,30.0,q1,5787,0.13678898790114377,0.12118070560768505,0.5268705719716607,0.15858846456601522,0.20331449258989928,0.6803179540349058
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,30.0,q2,4520,0.001676253367285514,0.0034775855904174485,0.006415929203539823,0.0031530656493512846,0.00808114000494271,0.016150442477876108
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,30.0,q3,3059,0.00013067018502943402,0.0002724201808870001,0.0006538084341288003,0.00034069095839290653,0.0010079546692819002,0.001961425302386401
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,30.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,30.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,100.0,overall,5957,0.12045328246891013,0.07893459329401364,0.5081416820547255,0.13004916336333935,0.13180400642975004,0.6476414302501259
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,100.0,q1,5787,0.13311591512457535,0.11022505410658873,0.5230689476412649,0.15119304481277762,0.18336302066682905,0.6663210644548125
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,100.0,q2,4520,2.5999138220448484e-05,5.5309734513274336e-05,0.00022123893805309734,0.00026984085768366837,0.000855457227138643,0.001991150442477876
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,100.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,100.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,binary,none,500,0.6,200,100.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
