dataset,model,lambda,rp3_beta,graph_source,normalise,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,1000.0,q1,5787,0.10624785651078723,0.07424776393538399,0.43943321237255917,0.11793254576116839,0.12999416078261178,0.5807845170209089
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,1000.0,q2,4520,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,1000.0,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,1000.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.3,rp3beta,none,1000.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.1,overall,5957,0.10746592331975417,0.08652708224581294,0.5012590229981534,0.1234429236036655,0.1463970013980968,0.6739969783448044
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.1,q1,5787,0.11697258047728669,0.11704287966763384,0.5007776049766719,0.13876503269616777,0.1917334806365762,0.6689130810437187
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.1,q2,4520,0.009538541007427544,0.01763800300842067,0.04092920353982301,0.016352557416623295,0.03902054948838814,0.09623893805309734
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.1,q3,3059,0.0022783355491088563,0.004767353165522501,0.007518796992481203,0.004352133774301813,0.011768927566292041,0.018633540372670808
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.1,q4,1767,0.00016359073362642211,0.0005659309564233164,0.0005659309564233164,0.0002438787369461698,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.1,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.3,overall,5957,0.10825262561183467,0.08651846328141205,0.4994124559341951,0.12478691948226266,0.14836595308689687,0.6739969783448044
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.3,q1,5787,0.11813204042075436,0.11777256279190552,0.501123207188526,0.14086936749986104,0.1957565735216202,0.6711594954207707
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.3,q2,4520,0.009063676032127519,0.016323102076122937,0.03761061946902655,0.015834392926826386,0.037665201778343586,0.09004424778761062
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.3,q3,3059,0.0020352641445626745,0.004249754821837201,0.006864988558352402,0.0038880562380515385,0.010466383349678544,0.016345210853220007
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.3,q4,1767,0.0,0.0,0.0,0.00023954910018893666,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,0.3,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1.0,overall,5957,0.11066153150000933,0.08801297870187216,0.5010911532650663,0.12708935534599208,0.1514593789145314,0.6758435454087628
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1.0,q1,5787,0.12122014163720726,0.12061074953616385,0.5040608259892864,0.14431320606740108,0.20114479387159287,0.6751339208570935
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1.0,q2,4520,0.008211057948287508,0.014983182309603504,0.034734513274336284,0.014694097002437765,0.03602586175441161,0.08384955752212389
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1.0,q3,3059,0.0016566338292666476,0.003704914460063201,0.006211180124223602,0.0031676248115483046,0.008793723439032362,0.014056881333769205
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1.0,q4,1767,0.0,0.0,0.0,0.00022974805767863799,0.0008488964346349745,0.0011318619128466328
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,1.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,3.0,overall,5957,0.1140692967268219,0.08934111473551372,0.5029377203290247,0.13099572544195964,0.15494571891081452,0.6788652006043311
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,3.0,q1,5787,0.12611089584393442,0.12419426581541336,0.5092448591670987,0.15037435541281227,0.20917348684221876,0.682909970623812
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,3.0,q2,4520,0.0063672722284472925,0.011575033898720355,0.02654867256637168,0.012363163461369928,0.03091532668457996,0.06902654867256637
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,3.0,q3,3059,0.0010392076307163716,0.002479023646071701,0.003922850604772802,0.0022384385689639096,0.006532635937670263,0.010134030728996404
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,3.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,3.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,10.0,overall,5957,0.11702345889691013,0.08894105792650144,0.5067987241900286,0.13287779980682327,0.1537340905602678,0.6745005875440658
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,10.0,q1,5787,0.1305725094480127,0.12566865490572826,0.5175393122515984,0.15476544952527527,0.21168924213370438,0.6834283739415933
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,10.0,q2,4520,0.0037295972278771124,0.006365105411776169,0.015265486725663717,0.00790002053897858,0.01994136642699418,0.04469026548672567
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,10.0,q3,3059,0.0003477700906915139,0.0008445025607497003,0.0016345210853220007,0.0009291463715694829,0.002860411899313501,0.004576659038901602
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,10.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,10.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,30.0,overall,5957,0.11967829871196696,0.08782868133298055,0.5062951149907672,0.13313976979645203,0.14801415367859416,0.6684572771529294
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,30.0,q1,5787,0.13362906754649487,0.12375952693758618,0.518921721099015,0.15646174950934755,0.20736182100391393,0.6837739761534474
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,30.0,q2,4520,0.0020221924495439645,0.003987775989988379,0.007743362831858407,0.0037383192057772567,0.009149392286472241,0.02079646017699115
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,30.0,q3,3059,0.00013067018502943402,0.0002724201808870001,0.0006538084341288003,0.0003384775219496019,0.0010079546692819002,0.001961425302386401
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,30.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,30.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,50.0,overall,5957,0.11980791792814999,0.08569670094809761,0.5047842873929831,0.13300176592604326,0.14506670810879144,0.6659392311566225
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,50.0,q1,5787,0.13358437841925716,0.12026847207321877,0.5180577155693796,0.15631548342742474,0.2032663554517516,0.6827371695178849
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,50.0,q2,4520,0.0011700576165303758,0.0026274917314740324,0.0055309734513274336,0.0021975370622670863,0.005639118747525827,0.012168141592920354
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,50.0,q3,3059,6.681346766540899e-05,0.00016345210853220007,0.00032690421706440013,0.00018470540356649613,0.0005175983436853001,0.0013076168682576005
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,50.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,50.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,75.0,overall,5957,0.11988138361464036,0.08329468271061077,0.5029377203290247,0.13260170412329292,0.14291584600969898,0.6620782272956186
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,75.0,q1,5787,0.13342185260587763,0.11705729735598618,0.5163297045101088,0.15552538713938002,0.199521957484559,0.6797995507171246
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,75.0,q2,4520,0.0006493563681324109,0.001490122463573791,0.003761061946902655,0.0013485533229750835,0.0036746893715920268,0.00752212389380531
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,75.0,q3,3059,0.0,0.0,0.0,0.00012206748035157572,0.0003541462351531001,0.0009807126511932004
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,75.0,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,75.0,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,100.0,overall,5957,0.12033686033218684,0.08297204040483788,0.5062951149907672,0.13174698917119163,0.13948297225203393,0.6595601812993117
ml-1m,Laplacian-EASE,100,0.6,rp3beta,none,100.0,q1,5787,0.13362036352070383,0.11584221264707406,0.5204769310523587,0.15424026466956534,0.19455924107080436,0.6775531363400725
