dataset,lambda,rp3_beta,rp3_topK,graph_source,normalise,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20,NDCG@k,MAP@k,HitRate@k,Recall@k,wilcoxon_stat_vs_EASE,wilcoxon_p_vs_EASE,wilcoxon_n_pairs_vs_EASE
ml-1m,100,0.6,200,rp3beta,sym,100.0,128.15099692344666,0.12096187121577757,0.05915342741651526,0.5078059425885513,0.08325964105052973,0.13268773702548872,0.054394903426994934,0.6612388786301829,0.14069735541838263,0.12096187121577757,0.05915342741651526,0.5078059425885513,0.08325964105052973,2701535.5,3.020216555589692e-17,5957
ml-1m,100,0.6,200,rp3beta,sym,200.0,127.15176343917847,0.11958331955599952,0.05872594393205898,0.5031055900621118,0.07885284581790863,0.12975864170538387,0.05327280314519062,0.6484807789155616,0.13197059657904944,0.11958331955599952,0.05872594393205898,0.5031055900621118,0.07885284581790863,2932664.5,1.316111904466548e-12,5957
ml-1m,100,0.6,200,rp3beta,sym,500.0,127.64831137657166,0.1135981505392228,0.05628073197209548,0.4755749538358234,0.06858514131290241,0.1201059627798882,0.04938430667490597,0.6127245257680041,0.11386231090549906,0.1135981505392228,0.05628073197209548,0.4755749538358234,0.06858514131290241,3237670.0,0.0004959625890920541,5957
ml-1m,100,0.6,200,rp3beta,sym,1000.0,127.10321474075317,0.10811042232656355,0.05343071636198669,0.45039449387275476,0.06361337207082765,0.11199400436236127,0.045745966868709714,0.5791505791505791,0.10215781337010729,0.10811042232656355,0.05343071636198669,0.45039449387275476,0.06361337207082765,3426041.0,0.5985623817250745,5957
ml-1m,500,0.3,200,rp3beta,sym,0.1,127.65174746513367,0.11350577664534266,0.05439350994844931,0.5069665939231157,0.08933760758849947,0.13015747439886663,0.05243091986148889,0.6818868557998993,0.15392111508114634,0.11350577664534266,0.05439350994844931,0.5069665939231157,0.08933760758849947,36848.5,0.09945810258100268,5957
ml-1m,500,0.3,200,rp3beta,sym,0.3,127.54430294036865,0.11381023011411392,0.05460912511785035,0.5076380728554641,0.0891895788272663,0.13045998158335212,0.05262430631940926,0.6822225952660735,0.15403315772092854,0.11381023011411392,0.05460912511785035,0.5076380728554641,0.0891895788272663,172554.5,0.0004546057631866606,5957
ml-1m,500,0.3,200,rp3beta,sym,1.0,127.79051280021667,0.11449942083355186,0.0550653704629969,0.5067987241900286,0.08909630114316339,0.13128728869337974,0.052969174942183075,0.6822225952660735,0.15457997399628723,0.11449942083355186,0.0550653704629969,0.5067987241900286,0.08909630114316339,650305.0,2.6618446373679783e-06,5957
ml-1m,500,0.3,200,rp3beta,sym,3.0,127.07207942008972,0.11650521173005894,0.05605303414180225,0.5133456437804264,0.09046726992996175,0.13246559141359446,0.053588951862927205,0.6823904649991607,0.15496283708385739,0.11650521173005894,0.05605303414180225,0.5133456437804264,0.09046726992996175,1242501.0,6.329338232994927e-10,5957
ml-1m,500,0.3,200,rp3beta,sym,10.0,127.02741527557373,0.11856521536932627,0.05766775220524111,0.511499076716468,0.08949306569806363,0.1337298019790517,0.05461987119105892,0.6785294611381568,0.15341116939781668,0.11856521536932627,0.05766775220524111,0.511499076716468,0.08949306569806363,1810821.0,1.575676940599967e-10,5957
ml-1m,500,0.3,200,rp3beta,sym,30.0,127.04730129241943,0.12095267818016919,0.05907324548425554,0.5135135135135135,0.08844369806657888,0.13397610015589853,0.0548418518807438,0.6745005875440658,0.14799836611797287,0.12095267818016919,0.05907324548425554,0.5135135135135135,0.08844369806657888,2226245.0,3.658207782328837e-12,5957
ml-1m,500,0.3,200,rp3beta,sym,50.0,127.19666004180908,0.12126617371923075,0.059312499003418846,0.5123384253819037,0.08653979055754445,0.13406770019037131,0.05488386729080964,0.6711431928823233,0.14576056841158075,0.12126617371923075,0.059312499003418846,0.5123384253819037,0.08653979055754445,2382589.5,1.891230929745735e-11,5957
ml-1m,500,0.3,200,rp3beta,sym,75.0,127.72465991973877,0.12103154031012961,0.05913627810533311,0.5104918583179453,0.08397678777972711,0.13338036931065328,0.05469102967564721,0.6645962732919255,0.14216936176749062,0.12103154031012961,0.05913627810533311,0.5104918583179453,0.08397678777972711,2551318.5,2.156385603744776e-09,5957
ml-1m,500,0.3,200,rp3beta,sym,100.0,127.36109948158264,0.12091121739883458,0.059206146691543025,0.5098203793855968,0.08243914412270326,0.13284753510696876,0.05453023367949637,0.6635890548934027,0.13933215606504837,0.12091121739883458,0.059206146691543025,0.5098203793855968,0.08243914412270326,2674493.5,2.572047797338437e-08,5957
ml-1m,500,0.3,200,rp3beta,sym,200.0,127.27799797058105,0.11930722526126986,0.05869209218514158,0.5015947624643277,0.07745061375711318,0.12869390842643338,0.0529616882225596,0.6422695987913379,0.1290661636603319,0.11930722526126986,0.05869209218514158,0.5015947624643277,0.07745061375711318,3042236.0,0.00018906047646883407,5957
ml-1m,500,0.3,200,rp3beta,sym,500.0,127.3301944732666,0.11223261981954559,0.055738638456769185,0.46969951317777403,0.06689465565255373,0.11735863666492709,0.04841495919048958,0.6003021655195568,0.1087205732634309,0.11223261981954559,0.055738638456769185,0.46969951317777403,0.06689465565255373,3378980.5,0.6675115610989596,5957
ml-1m,500,0.3,200,rp3beta,sym,1000.0,127.5572555065155,0.10502565214632914,0.05159992932785745,0.44300822561692127,0.06083248244413884,0.10948776907946604,0.044134801068805955,0.5727715292932685,0.10054032621315047,0.10502565214632914,0.05159992932785745,0.44300822561692127,0.06083248244413884,3166151.5,4.25313212738284e-05,5957
ml-1m,500,0.6,200,rp3beta,sym,0.1,127.16480374336243,0.11357538928173487,0.05447867053050431,0.5069665939231157,0.0893510586889071,0.13021853596778465,0.05251172439199662,0.6818868557998993,0.15394172476934942,0.11357538928173487,0.05447867053050431,0.5069665939231157,0.0893510586889071,38025.5,0.08752035538408529,5957
