dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,SLIM,0.0,,,0.001,0.9,q2,4417,0.02798697435788353,0.04821185839982856,0.11387819787185872,0.04136323243051097,0.08866764823624654,0.2098709531356124
ml-1m,SLIM,0.0,,,0.001,0.9,q3,2931,0.008076877153550538,0.015999887750143636,0.02661207778915046,0.010993054220660237,0.02525382375689438,0.04503582395087001
ml-1m,SLIM,0.0,,,0.001,0.9,q4,1676,0.00226973961044715,0.005071599045346062,0.0065632458233890216,0.0028445140556599404,0.007279236276849642,0.00954653937947494
ml-1m,SLIM,0.0,,,0.001,0.9,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EASE,0.0,,,,,overall,6006,0.3602199710712781,0.22263170160415102,0.8736263736263736,0.36241559929929296,0.32716994336340544,0.9302364302364302
ml-1m,EASE,0.0,,,,,q1,5939,0.3802698067910618,0.28410241730312774,0.875736656002694,0.3974861059261437,0.4145021664985619,0.931133187405287
ml-1m,EASE,0.0,,,,,q2,4417,0.01313044221384553,0.025298925136798156,0.056146705908988,0.023172501832056325,0.05490141373994923,0.1353860086031243
ml-1m,EASE,0.0,,,,,q3,2931,0.002115727750993652,0.004821491885734164,0.007505970658478335,0.0038145550024703584,0.010397909667883778,0.018082565677243263
ml-1m,EASE,0.0,,,,,q4,1676,0.0006985399835327961,0.001392203659506762,0.0017899761336515514,0.0010587690582970083,0.002784407319013524,0.0029832935560859188
ml-1m,EASE,0.0,,,,,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,overall,6006,0.3636574129871958,0.2198110725940812,0.8694638694638694,0.36285716485690694,0.32343833628285346,0.9237429237429238
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q1,5939,0.3851905213689151,0.2839582674469389,0.8725374642195656,0.3995978131419285,0.4123737221828969,0.9250715608688331
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q2,4417,0.010083667135463385,0.019530379191718995,0.03780846728548789,0.018407800909295925,0.04500148216025151,0.09395517319447588
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q3,2931,0.001229848388385662,0.0026279020649542656,0.0040941658137154556,0.0028776709760599023,0.008380448733570535,0.012623677925622655
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q4,1676,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838,0.000501367162062026,0.001392203659506762,0.0017899761336515514
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,overall,6006,0.3632980259859545,0.2192671213321016,0.8686313686313686,0.36259705127156533,0.323056260307933,0.9237429237429238
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q1,5939,0.3850283966446345,0.2836760998047039,0.8716955716450581,0.39947897487931266,0.41208797462434965,0.9254083178986361
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q2,4417,0.00957896091200416,0.018340442044118277,0.035997283223907627,0.018050951542996484,0.04447161497385183,0.09078560108671044
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q3,2931,0.0012061786908034602,0.0026279020649542656,0.0040941658137154556,0.002731687918727459,0.007925541420935484,0.011941316956670079
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q4,1676,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838,0.0003578496469429715,0.0007955449482895783,0.0011933174224343676
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,overall,6006,0.36280774564676804,0.21831204849235392,0.8687978687978688,0.3616309505054905,0.3218628401283517,0.9245754245754245
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q1,5939,0.3849923269261085,0.28328871184428445,0.8725374642195656,0.3990188493232612,0.411380645740535,0.9262502104731436
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q2,4417,0.008463338589634955,0.01605447416518279,0.031469323069956985,0.01662401605802251,0.04154878099344301,0.0835408648403894
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q3,2931,0.0011667882666974475,0.002741628893113028,0.004435346298191744,0.0025242088707164586,0.007535620867248298,0.011258955987717503
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q4,1676,0.00011646182875659358,0.00014916467780429595,0.0005966587112171838,0.00034931980098047184,0.0007955449482895783,0.0011933174224343676
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,overall,6006,0.35982234784391953,0.21504867838222322,0.8643023643023643,0.35733029982485326,0.3160996005950522,0.9214119214119214
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q1,5939,0.3825748754842198,0.2796714751064352,0.8690015154066341,0.39585605264038787,0.4066816590787375,0.9247348038390302
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q2,4417,0.0063348506597806975,0.012443695463844884,0.02377179080824089,0.012246943511465868,0.03140559051815413,0.05976907403214852
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q3,2931,0.000780629993590786,0.0017830741986320287,0.0030706243602865915,0.0018581240241910873,0.0055624603986937655,0.008188331627430911
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q4,1676,9.010717078031339e-05,0.00014916467780429595,0.0005966587112171838,9.010717078031339e-05,0.00014916467780429595,0.0005966587112171838
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,overall,6006,0.34824654378439374,0.2053908671375076,0.8519813519813519,0.3439792663309322,0.30062416462044794,0.9129204129204129
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q1,5939,0.37148655159205435,0.2684146086680214,0.8600774541168547,0.3831164752378144,0.39047944533344486,0.9195150698770836
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q2,4417,0.0030846734534284545,0.0059044683337189565,0.012451890423364274,0.006887364910803251,0.018407921537873996,0.033733303146932306
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q3,2931,0.0002875420116441203,0.0006254975548731945,0.0010235414534288639,0.0007921610288117203,0.0024288801156764307,0.0037529853292391675
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q4,1676,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q5,710,0.0,0.0,0.0,0.0,0.0,0.0
