dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,SLIM,0.0,,,0.001,0.9,overall,6006,0.35302266921821296,0.21435061385961596,0.8717948717948718,0.35459148374189736,0.3182406824914258,0.9277389277389277
ml-1m,SLIM,0.0,,,0.001,0.9,q1,5944,0.3641027510293868,0.2680889539682296,0.8645693135935397,0.37958919347340236,0.3933812789640339,0.9204239569313594
ml-1m,SLIM,0.0,,,0.001,0.9,q2,4502,0.025009118318901506,0.04336329687888308,0.10595290981785872,0.03876681610200052,0.08552047047918977,0.1956908040870724
ml-1m,SLIM,0.0,,,0.001,0.9,q3,2861,0.007858971222849915,0.015645129075747742,0.02411744145403705,0.011500282642917097,0.02756418985884208,0.046137714085983925
ml-1m,SLIM,0.0,,,0.001,0.9,q4,1641,0.002668885079159389,0.004418037781840341,0.005484460694698354,0.0033979080477814848,0.007180580946577291,0.009750152346130409
ml-1m,SLIM,0.0,,,0.001,0.9,q5,685,0.0004219924471793984,0.00145985401459854,0.00145985401459854,0.0004219924471793984,0.00145985401459854,0.00145985401459854
ml-1m,EASE,0.0,,,,,overall,6006,0.3623488874914095,0.22293921857668994,0.8771228771228772,0.36349761852879936,0.3275426777323132,0.9347319347319347
ml-1m,EASE,0.0,,,,,q1,5944,0.38319038326108074,0.2877949233136622,0.8787012113055181,0.3991817514077507,0.41757261600288986,0.9348923283983849
ml-1m,EASE,0.0,,,,,q2,4502,0.01205887595139317,0.02235818320977583,0.051754775655264325,0.02297310124182566,0.05498483172293008,0.13194135939582408
ml-1m,EASE,0.0,,,,,q3,2861,0.0014036252069079909,0.002933123616451124,0.004543865781195386,0.004180845676298599,0.012439538693470885,0.020272631946871723
ml-1m,EASE,0.0,,,,,q4,1641,0.000124547469584696,0.0003046922608165753,0.0006093845216331506,0.0002736337231607021,0.0009140767824497258,0.001218769043266301
ml-1m,EASE,0.0,,,,,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,overall,6006,0.3635521741168691,0.2191629287651231,0.8701298701298701,0.363506454805583,0.3239276042449827,0.9285714285714286
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q1,5944,0.38502105408707493,0.28410843616853065,0.8733176312247645,0.40089147610116965,0.4153560051681464,0.9310228802153432
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q2,4502,0.008831128000342676,0.016623706825283902,0.0346512661039538,0.017111284382692413,0.04267838057821577,0.08773878276321635
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q3,2861,0.00113969157504537,0.002271932890597693,0.003844809507165327,0.0027872507148585532,0.008019728921511515,0.013631597343586158
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q4,1641,0.0,0.0,0.0,9.141181786004744e-05,0.0003046922608165753,0.0006093845216331506
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.5,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,overall,6006,0.3636755994661811,0.21915211673388652,0.8704628704628704,0.363318454587458,0.3237922697205127,0.929070929070929
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q1,5944,0.385383702146717,0.28448389436399024,0.8741588156123823,0.4009599257457314,0.4154443544918001,0.9316958277254375
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q2,4502,0.008412633718310088,0.015893211384104322,0.03287427809862283,0.01645996125750267,0.04132886812808138,0.08485117725455353
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q3,2861,0.00113969157504537,0.002271932890597693,0.003844809507165327,0.0026849322098366287,0.0077284554739989915,0.0129325410695561
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q4,1641,0.0,0.0,0.0,9.141181786004744e-05,0.0003046922608165753,0.0006093845216331506
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.5,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,overall,6006,0.3628610503999275,0.21816734759946804,0.86996336996337,0.36269807987426117,0.3223909158614606,0.9275724275724275
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q1,5944,0.3847964638011435,0.2835160461741307,0.8738223418573351,0.40092653228378416,0.4148502794529969,0.9305181695827726
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q2,4502,0.008172518155923696,0.015541515841382567,0.03154153709462461,0.015269073019225175,0.03827011361441793,0.07618836072856508
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q3,2861,0.0009220723890044996,0.0019224047535826635,0.003495281370150297,0.0023455930799087662,0.006936191696764923,0.01188395665851101
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q4,1641,0.0,0.0,0.0,8.645271289822922e-05,0.0003046922608165753,0.0006093845216331506
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.5,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,overall,6006,0.35848648763460234,0.21495919162149515,0.8654678654678655,0.3574521622005088,0.3172870965290973,0.9245754245754245
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q1,5944,0.38110281853803485,0.2807762080274582,0.870121130551817,0.3964607112000081,0.4102869607247574,0.9286675639300135
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q2,4502,0.006252831908531094,0.0117219972756401,0.023322967569968902,0.0119190814056447,0.030009501002260672,0.05708573967125722
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q3,2861,0.0004700863960578373,0.0007573109635325644,0.0017476406850751485,0.0016134159965018571,0.004840964697658162,0.008738203425375743
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.5,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.5,overall,6006,0.34669167023092734,0.20588201748547397,0.854978354978355,0.3428937307124223,0.3003196084604671,0.916083916083916
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.5,q1,5944,0.36922552587994256,0.270175108141623,0.8618775235531628,0.38193727301969677,0.39290219057653286,0.9217698519515478
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.5,q2,4502,0.0036986453381837067,0.006296688404640426,0.01288316303864949,0.007050653784440086,0.01668224424956727,0.03154153709462461
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.5,q3,2861,0.00010715609800165298,0.00017476406850751484,0.0003495281370150297,0.00047435987554622844,0.0014971455202143773,0.0031457532331352674
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.5,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.5,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
