dataset,model,gamma,graph_source,normalise,slim_alpha,slim_l1_ratio,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,SLIM,0.0,,,0.001,0.9,overall,6013,0.34940752074991954,0.2094607478674921,0.8576417761516714,0.34951247713353123,0.3115766604906235,0.9195077332446366
ml-1m,SLIM,0.0,,,0.001,0.9,q1,5943,0.36150140449132157,0.26374089561718295,0.8542823489819956,0.3747026223454926,0.3867478370908015,0.9165404677772169
ml-1m,SLIM,0.0,,,0.001,0.9,q2,4400,0.026444134865320656,0.04243052680563209,0.10181818181818182,0.04054583655597119,0.08441478628985606,0.1975
ml-1m,SLIM,0.0,,,0.001,0.9,q3,2896,0.006730005882792535,0.012727736122073138,0.01968232044198895,0.01066552447941204,0.026158561742125278,0.04143646408839779
ml-1m,SLIM,0.0,,,0.001,0.9,q4,1678,0.0021228059098487087,0.004717918156535559,0.0059594755661501785,0.002751553124751163,0.0068250184459958,0.009535160905840286
ml-1m,SLIM,0.0,,,0.001,0.9,q5,698,0.0007163323782234957,0.0014326647564469914,0.0014326647564469914,0.0007163323782234957,0.0014326647564469914,0.0014326647564469914
ml-1m,EASE,0.0,,,,,overall,6013,0.35706225986659396,0.21893095713123753,0.8726093464160984,0.35794709456288604,0.3234195007622611,0.9248295360053218
ml-1m,EASE,0.0,,,,,q1,5943,0.3775981492066603,0.28245090118293675,0.8768298838970217,0.3934147537746468,0.4121176630744462,0.9276459700487969
ml-1m,EASE,0.0,,,,,q2,4400,0.013381095261004788,0.02393561338061657,0.060454545454545455,0.023523328930981996,0.054508267336010253,0.13045454545454546
ml-1m,EASE,0.0,,,,,q3,2896,0.0012368417580338948,0.0028117600631412786,0.004834254143646409,0.002928341513667897,0.008437746645619573,0.014157458563535912
ml-1m,EASE,0.0,,,,,q4,1678,0.0005550180183110073,0.0010429082240762813,0.0017878426698450535,0.0005550180183110073,0.0010429082240762813,0.0017878426698450535
ml-1m,EASE,0.0,,,,,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,overall,6013,0.35914656483473645,0.2165903014182171,0.8671212373191418,0.3591632752988856,0.3209663938186358,0.9261599866954932
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q1,5943,0.38060460892727327,0.28082531347943057,0.8714453979471647,0.39618529255440094,0.4122641208175951,0.9308430085815245
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q2,4400,0.010198670680194989,0.018896841860617113,0.03909090909090909,0.018179247827650947,0.04285027206855817,0.09227272727272727
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q3,2896,0.0008617686532965074,0.0019312352012628257,0.004143646408839779,0.0020914179544244834,0.005980334122599315,0.010704419889502763
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q4,1678,0.0002979737783075089,0.0005959475566150178,0.0005959475566150178,0.0003590781517391072,0.0007449344457687723,0.0011918951132300357
ml-1m,SLIM-Laplacian,0.3,rp3beta,sym,0.001,0.9,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,overall,6013,0.35932562926257444,0.21663238001492957,0.8669549309828705,0.3589873812244337,0.32060397189297263,0.9249958423415933
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q1,5943,0.38096098147159163,0.2810170840071076,0.8717819283190308,0.39632213285809226,0.4123626068868443,0.9301699478377924
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q2,4400,0.009846111151764808,0.018317296406071663,0.03727272727272727,0.017553275744550692,0.041457242749392484,0.08886363636363637
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q3,2896,0.0008564952081088365,0.0019312352012628257,0.004143646408839779,0.0018939267059420826,0.005289726387792686,0.009668508287292817
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q4,1678,0.0002979737783075089,0.0005959475566150178,0.0005959475566150178,0.0003590781517391072,0.0007449344457687723,0.0011918951132300357
ml-1m,SLIM-Laplacian,1.0,rp3beta,sym,0.001,0.9,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,overall,6013,0.35913387371324834,0.216232160999464,0.8656244802926991,0.3579245131476741,0.3193267540163869,0.9246632296690503
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q1,5943,0.38111506980766224,0.2813580969255383,0.8712771327612318,0.39557440181638365,0.41128397276407813,0.9296651522799932
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q2,4400,0.008932594981611183,0.01633726109051003,0.03386363636363637,0.01613941648851428,0.03820195531210872,0.08181818181818182
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q3,2896,0.00064902212017673,0.0013442186266771903,0.003107734806629834,0.0017750439515867432,0.00505952380952381,0.008977900552486187
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q4,1678,0.00025666064247520447,0.0005959475566150178,0.0005959475566150178,0.0003124520624320557,0.0007449344457687723,0.0011918951132300357
ml-1m,SLIM-Laplacian,3.0,rp3beta,sym,0.001,0.9,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,overall,6013,0.3552323442545272,0.21215340640043953,0.8613005155496425,0.3524271994539628,0.3123667296956102,0.9205055712622651
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q1,5943,0.37789728290462343,0.27732273395132223,0.8680800942285041,0.390946785029876,0.40433328197313,0.9259633181894666
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q2,4400,0.006667992112338951,0.012469119154889905,0.025227272727272727,0.012089072076666358,0.029007843232130397,0.06
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q3,2896,0.00046260392223630394,0.001085240726124704,0.0024171270718232043,0.0011690038121902851,0.0033617797947908443,0.006215469613259668
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q4,1678,0.0,0.0,0.0,0.00016104776783511308,0.0005959475566150178,0.0005959475566150178
ml-1m,SLIM-Laplacian,10.0,rp3beta,sym,0.001,0.9,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,overall,6013,0.3424890848120428,0.20199159392320515,0.8488275403292865,0.33913749205279203,0.2978423843190802,0.910360884749709
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q1,5943,0.3649694450758413,0.2649003010826275,0.8566380615850581,0.37791363580066945,0.3893690473508512,0.917550058892815
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q2,4400,0.0037314134127231407,0.00728191253191253,0.015454545454545455,0.0070250220307275565,0.017929012275603187,0.03159090909090909
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q3,2896,8.07201793967974e-05,0.000135655090765588,0.0006906077348066298,0.0004057873111641073,0.0012578926598263616,0.0027624309392265192
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q4,1678,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,SLIM-Laplacian,30.0,rp3beta,sym,0.001,0.9,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
