dataset,seed,family,config,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,L3AE,alpha_S=5.0,127.26704144477844,0.36384992605180283,0.22937000249038073,0.8873169107856191,0.22566408294931548,0.3284543325526932,0.7648155103949339,2.4034459016352647,0.3663996632972088,0.20469056116736384,0.938249001331558,0.3328213929101834,0.444672131147541,0.7667980327305528,2.578520458218225,0.36384992605180283,0.22937000249038073,0.8873169107856191,0.22566408294931548,0.3284543325526932,0.7648155103949339,2.4034459016352647,1211317.5,0.2258280132665701,6008,1,0.0004937869829142541,0.0
ml-1m,1,EASE,baseline,128.88709449768066,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,
ml-1m,1,DAN,alpha=0.0,126.59769821166992,0.002533088534939088,0.0007302739147977242,0.024309024309024308,0.0024540889099508843,0.3126463700234192,0.8156821954574764,9.118223058555827,0.004527145988099838,0.0009332832680074432,0.06343656343656344,0.006844228713163028,0.4657494145199063,0.7873233094163328,8.571694490158835,0.002533088534939088,0.0007302739147977242,0.024309024309024308,0.0024540889099508843,0.3126463700234192,0.8156821954574764,9.118223058555827,7950.0,0.0,6006,-1,-0.35981579895647037,-0.34948673995165525
ml-1m,1,DAN,alpha=0.25,126.00236439704895,0.18151660004361037,0.09076381219876117,0.7091242091242091,0.12089123893139335,0.4294496487119438,0.7317411967718717,3.267086341780637,0.19231759283797903,0.08289443879392086,0.8344988344988346,0.18981435134460625,0.5292740046838408,0.7345816885916445,3.2999446534932355,0.18151660004361037,0.09076381219876117,0.7091242091242091,0.12089123893139335,0.4294496487119438,0.7317411967718717,3.267086341780637,1377383.0,0.0,6006,-1,-0.1808322874477991,-0.16455615406312987
ml-1m,1,DAN,alpha=0.5,158.16667485237122,0.2985849359548587,0.17878318417221475,0.8188478188478189,0.17620615420814453,0.20052693208430913,0.8403804468038045,2.0743573425610986,0.2937012035255512,0.1535087788602146,0.888944388944389,0.2562084370589075,0.25644028103044497,0.8408047241951351,2.16608347285566,0.2985849359548587,0.17878318417221475,0.8188478188478189,0.17620615420814453,0.20052693208430913,0.8403804468038045,2.0743573425610986,3592276.0,1.4732891287847658e-187,6006,-1,-0.06376395153655076,-0.03961965942952794
ml-1m,1,DAN,alpha=0.75,129.92194962501526,0.2703325341563171,0.16107933520561069,0.7677322677322678,0.14851942478771601,0.08518735362997658,0.8631949951537581,1.6861879073593187,0.2619685286555997,0.1342778085015638,0.846986346986347,0.2169657899611158,0.11914519906323184,0.8527972437063345,1.8194705218747231,0.2703325341563171,0.16107933520561069,0.7677322677322678,0.14851942478771601,0.08518735362997658,0.8631949951537581,1.6861879073593187,3041507.0,1.4406432831193952e-274,6006,-1,-0.09201635333509237,-0.07412466705957088
ml-1m,1,DAN,alpha=1.0,128.78216338157654,0.2430413467048371,0.14166661860751995,0.7222777222777222,0.12907156742788486,0.045081967213114756,0.8256548646159034,1.588001324027186,0.23464500659042437,0.11652045833307893,0.8135198135198135,0.1910440522737098,0.06411007025761124,0.7997290380852025,1.7260408085825985,0.2430413467048371,0.14166661860751995,0.7222777222777222,0.12907156742788486,0.045081967213114756,0.8256548646159034,1.588001324027186,2438729.5,0.0,6006,-1,-0.11930754078657237,-0.10148659755365717
ml-1m,1,SVD-AE,"filt=identity,k=64",157.51842594146729,0.3148849544585467,0.18651942579025912,0.8504828504828504,0.19575425325692894,0.27049180327868855,0.6836852541397997,2.5420648515418263,0.31895615954012235,0.1665527035887432,0.9172494172494172,0.29236525684713977,0.3430913348946136,0.6771227066448908,2.6918917699095286,0.3148849544585467,0.18651942579025912,0.8504828504828504,0.19575425325692894,0.27049180327868855,0.6836852541397997,2.5420648515418263,4043555.0,7.14652801598537e-133,6006,-1,-0.04746393303286276,-0.01879100701475339
ml-1m,1,SVD-AE,"filt=identity,k=128",152.3268871307373,0.26378539682109453,0.14631825379416083,0.814019314019314,0.1667906934304182,0.327576112412178,0.6218544934362629,2.8794308739385452,0.2707240874718028,0.13117329486164864,0.8941058941058941,0.25469635418797537,0.4063231850117096,0.6321412137334328,2.9792138224908085,0.26378539682109453,0.14631825379416083,0.814019314019314,0.1667906934304182,0.327576112412178,0.6218544934362629,2.8794308739385452,2689502.0,0.0,6006,-1,-0.09856349067031495,-0.0783982689786753
ml-1m,1,SVD-AE,"filt=identity,k=256",155.2563338279724,0.2060969236384378,0.10648460760705657,0.7439227439227439,0.1320625972860817,0.41861826697892274,0.5723343323343322,3.273377041025519,0.2115280504607263,0.09452175003561064,0.840992340992341,0.2002843238701829,0.49121779859484777,0.5817732327267489,3.334648915634981,0.2060969236384378,0.10648460760705657,0.7439227439227439,0.1320625972860817,0.41861826697892274,0.5723343323343322,3.273377041025519,1757557.5,0.0,6006,-1,-0.15625196385297166,-0.13566870941180703
