dataset,seed,model,dropout,gamma,graph_source,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,NDCG@20,MAP@20,HitRate@20,Recall@20
ml-1m,2,EASE,0.0,0.0,,,139.16577291488647,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416
ml-1m,2,EDLAE,0.75,0.0,,,3.9851441383361816,0.3637566046181413,0.23192222073983934,0.8722518321119254,0.21864115355353694,0.36136053376473565,0.20250589652420672,0.9333777481678881,0.32073122754819666
ml-1m,2,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.4915809631347656,0.36035060191289126,0.22944749623329974,0.8689207195203198,0.2153811375566765,0.35692777481319143,0.19943414683794813,0.9312125249833444,0.31533817314950185
ml-1m,2,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,4.5338592529296875,0.3540361031775489,0.2247545925910399,0.8622584943371085,0.20908093902242225,0.3504392102705535,0.19471247908052017,0.9253830779480346,0.3080182560703251
ml-1m,2,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,4.074923992156982,0.33789266354254066,0.2116216551284195,0.8472684876748834,0.19605979894465664,0.3328534326738377,0.18180464772357016,0.9103930712858095,0.28931993860534955
ml-1m,3,EASE,0.0,0.0,,,136.54786729812622,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611
ml-1m,3,EDLAE,0.75,0.0,,,3.4514315128326416,0.35667746708109377,0.22840376620371156,0.8627972725760852,0.21214207951309347,0.35493253666915686,0.19971610654906272,0.9210044902710793,0.31444110933292757
ml-1m,3,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.6051156520843506,0.3529073822096521,0.2255090060181608,0.8589722268418427,0.20907020542199636,0.3510919980520813,0.1969936885497402,0.9193414269083652,0.31011394978142837
ml-1m,3,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,3.7146642208099365,0.3476594031466343,0.22104249372014453,0.8548145684350573,0.20562394079675145,0.34455807035950764,0.19241041516836005,0.9123565607849659,0.30202103475932585
ml-1m,3,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,3.931455135345459,0.3328660797801974,0.20928840751920014,0.8360219524363878,0.19447934773242276,0.32782929810933953,0.18016796046803185,0.89988358556461,0.2844104624060891
ml-1m,4,EASE,0.0,0.0,,,135.5555877685547,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.36241559929929296,0.20251274440390268,0.9302364302364302,0.32716994336340544
ml-1m,4,EDLAE,0.75,0.0,,,3.928088665008545,0.36351148664012534,0.23263525361952234,0.8679653679653679,0.21898492094016486,0.36061507805399606,0.20400632298027307,0.9254079254079254,0.31825611006359433
ml-1m,4,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,3.7105355262756348,0.3602035729988455,0.2300633598628213,0.8658008658008658,0.21631482891151624,0.3568873946396108,0.2013156406345119,0.921911421911422,0.31374291018341444
ml-1m,4,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,3.604482412338257,0.3542535888703278,0.22568796453504505,0.8583083583083583,0.21061338955231187,0.350167493168481,0.196511743854778,0.9182484182484183,0.305768209566678
ml-1m,4,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,3.681999683380127,0.3384917387670799,0.2129974244911887,0.8421578421578422,0.19801290073308972,0.3328185305455931,0.18363850789535774,0.9065934065934066,0.287722797260232
