model,ease_lambda,rp3_beta,rp3_topK,gamma,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-GraphReg,200,0.6,200,0.1,10.13098955154419,2,0.3418102760532323,0.20839638464757432,0.8782478347768155,0.21459361255019177,0.42418032786885246,0.7711101271799936,2.531641211789274,0.346872210149061,0.1872560744377953,0.9373750832778148,0.3201297019753323,0.5362997658079626,0.7677529390886426,2.6918235630526723,0.3418102760532323,0.20839638464757432,0.8782478347768155,0.21459361255019177,0.42418032786885246,0.7711101271799936,2.531641211789274,4189552.0,9.983596274807932e-78,6004,-1,-0.023320087710582013,-0.0018777335752427904
Hybrid-GraphReg,200,0.6,200,0.3,8.774270296096802,2,0.32603817837393956,0.19521529282191816,0.867255163224517,0.20637533177235845,0.5866510538641686,0.7750793217030296,2.794617860518587,0.3330868956018236,0.17644262658795593,0.930379746835443,0.3105711777979839,0.724824355971897,0.77563040902188,2.927511221854626,0.32603817837393956,0.19521529282191816,0.867255163224517,0.20637533177235845,0.5866510538641686,0.7750793217030296,2.794617860518587,3810895.5,2.0227496975856992e-137,6004,-1,-0.03909218538987473,-0.016244644233317458
Hybrid-GraphReg,200,0.6,200,0.5,8.814370393753052,2,0.3014775628459487,0.17655825587909058,0.8444370419720186,0.19275672349428058,0.7122365339578455,0.7527654669458612,3.1362901227070727,0.3109248613072227,0.16027573253820385,0.9207195203197868,0.29535310774706425,0.8381147540983607,0.7501641122707112,3.217260692546705,0.3014775628459487,0.17655825587909058,0.8444370419720186,0.19275672349428058,0.7122365339578455,0.7527654669458612,3.1362901227070727,3210891.0,3.2337073657245586e-228,6004,-1,-0.06365280091786558,-0.03778360776641254
Hybrid-GraphReg,200,0.6,200,1.0,8.78013300895691,2,0.23739044600701745,0.12970387248867765,0.7678214523650899,0.15733404995458886,0.8518735362997658,0.6713835220963802,3.934066068246594,0.25020163568221326,0.11916712556593674,0.8685876082611592,0.24598323425926047,0.9408665105386417,0.6612587822596594,3.908257280512061,0.23739044600701745,0.12970387248867765,0.7678214523650899,0.15733404995458886,0.8518735362997658,0.6713835220963802,3.934066068246594,1930369.0,0.0,6004,-1,-0.12773991775679686,-0.10326636217652754
Hybrid-GraphReg,500,0.6,200,0.01,8.747632026672363,2,0.35890666005981287,0.2243890095410064,0.8790806129247168,0.22219436027017112,0.31059718969555034,0.7578317251270126,2.3885169883979587,0.3617589365581828,0.20026970926387117,0.9395403064623584,0.3290493749759572,0.4063231850117096,0.7549312346044039,2.5528841871062125,0.35890666005981287,0.2243890095410064,0.8790806129247168,0.22219436027017112,0.31059718969555034,0.7578317251270126,2.3885169883979587,3627454.5,6.0917285976549994e-21,6004,-1,-0.0062237037040014905,0.0
Hybrid-GraphReg,500,0.6,200,0.05,8.652456760406494,2,0.35897564934804194,0.22459444630030803,0.878580946035976,0.2218387995652132,0.3255269320843091,0.7627367726072305,2.4022592866848025,0.36205276799028113,0.200479255346413,0.9397068620919387,0.3295683489716294,0.42213114754098363,0.758637110627127,2.5660831857820825,0.35897564934804194,0.22459444630030803,0.878580946035976,0.2218387995652132,0.3255269320843091,0.7627367726072305,2.4022592866848025,3800779.0,9.944778530266622e-20,6004,-1,-0.006154714415772348,0.0
Hybrid-GraphReg,500,0.6,200,0.1,8.775886535644531,2,0.35928783854546065,0.2247119664250456,0.8794137241838774,0.2223663325563301,0.3439695550351288,0.767716529405928,2.4207891891836457,0.3625877378349252,0.2006598204091917,0.9408727514990006,0.3306798800615711,0.45286885245901637,0.767677925985133,2.5856751834109617,0.35928783854546065,0.2247119664250456,0.8794137241838774,0.2223663325563301,0.3439695550351288,0.767716529405928,2.4207891891836457,4056160.0,1.8023098567138912e-17,6004,-1,-0.005842525218353684,0.0
Hybrid-GraphReg,500,0.6,200,0.3,8.626365900039673,2,0.35548354438771834,0.22141597146267147,0.8794137241838774,0.22082557982410853,0.43823185011709603,0.7842832678459295,2.5296208880942657,0.3597849348662263,0.1982077291722055,0.941705529646902,0.33030012526897917,0.5570843091334895,0.7815362012993263,2.686513830390903,0.35548354438771834,0.22141597146267147,0.8794137241838774,0.22082557982410853,0.43823185011709603,0.7842832678459295,2.5296208880942657,4428407.5,6.197718703776642e-25,6004,-1,-0.009646819376096032,0.0
Hybrid-GraphReg,500,0.6,200,0.5,8.740145206451416,2,0.34683462675101906,0.21348286566304417,0.8777481678880746,0.21677462770672076,0.5166861826697893,0.7813223290233329,2.6730127432782593,0.3525362759495307,0.19222716355690145,0.9378747501665556,0.32535756233820284,0.647248243559719,0.7798664376018278,2.817204405025936,0.34683462675101906,0.21348286566304417,0.8777481678880746,0.21677462770672076,0.5166861826697893,0.7813223290233329,2.6730127432782593,4476376.0,1.3264792120166503e-47,6004,-1,-0.01829573701279525,0.0
Hybrid-GraphReg,500,0.6,200,1.0,8.735324382781982,2,0.3161420470406281,0.18919648779330617,0.8529313790806129,0.20076312183496894,0.6665690866510539,0.7488516073459444,3.0908411536049485,0.32419837255837536,0.17060820097772758,0.9250499666888741,0.30516959377446096,0.7988875878220141,0.7489220085107546,3.180469595209649,0.3161420470406281,0.18919648779330617,0.8529313790806129,0.20076312183496894,0.6665690866510539,0.7488516073459444,3.0908411536049485,3857135.5,1.8697287760952158e-149,6004,-1,-0.048988316723186244,-0.021424442270190733
Hybrid-GraphReg,200,0.6,200,0.01,8.64797306060791,3,0.3425728242978319,0.21094000016006303,0.8677864626642275,0.21283357041458317,0.3559718969555035,0.7510953788720929,2.4735277434512417,0.3440992017520824,0.18725297664342141,0.9203392649259937,0.31371761379405877,0.4511124121779859,0.7453828839159109,2.6362278642239283,0.3425728242978319,0.21094000016006303,0.8677864626642275,0.21283357041458317,0.3559718969555035,0.7510953788720929,2.4735277434512417,4191153.5,1.9771416962063118e-57,6013,-1,-0.01941710422047631,0.0
Hybrid-GraphReg,200,0.6,200,0.05,8.827497959136963,3,0.34204795806530747,0.21055514992459648,0.8682853816730417,0.21256533228260996,0.37763466042154564,0.7564808805727126,2.4953391813529366,0.34405592307272437,0.18723605314304656,0.9208381839348079,0.3136831626179574,0.48975409836065575,0.7568728802279263,2.6591055422681227,0.34204795806530747,0.21055514992459648,0.8682853816730417,0.21256533228260996,0.37763466042154564,0.7564808805727126,2.4953391813529366,4224667.5,1.825417295050587e-59,6013,-1,-0.01994197045300076,0.0
Hybrid-GraphReg,200,0.6,200,0.1,8.643723964691162,3,0.3401462725011423,0.20905386661289052,0.8656244802926991,0.21138901747282107,0.422423887587822,0.76835244588446,2.5355105696504663,0.3428984205820959,0.1861622433745109,0.9211707966073508,0.31339813559565105,0.5488875878220141,0.7715478507677809,2.6956080864385643,0.3401462725011423,0.20905386661289052,0.8656244802926991,0.21138901747282107,0.422423887587822,0.76835244588446,2.5355105696504663,4199504.5,5.5569033332695386e-67,6013,-1,-0.02184365601716596,0.0
