model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.7,500,0.3,200,0,overall,6008,0.32541922157693237,0.20187532783199072,0.8531957390146472,0.3223187612411338,0.28838459621769946,0.9192743009320905
Hybrid-Matrix,0.7,500,0.3,200,0,q1,5945,0.34647379155596236,0.2587615529522289,0.8598822539949538,0.35862891433495225,0.37083369843909947,0.9253153910849453
Hybrid-Matrix,0.7,500,0.3,200,0,q2,4408,0.0036229881042743237,0.007237652320456312,0.01247731397459165,0.005404034654608057,0.013336592198888025,0.02223230490018149
Hybrid-Matrix,0.7,500,0.3,200,0,q3,2895,0.0008598481661145228,0.0014392630972941852,0.002072538860103627,0.001151870843915099,0.0024179620034542313,0.0037996545768566492
Hybrid-Matrix,0.7,500,0.3,200,0,q4,1659,0.0007259688954722642,0.0009041591320072332,0.0012055455093429777,0.0007259688954722642,0.0009041591320072332,0.0012055455093429777
Hybrid-Matrix,0.7,500,0.3,200,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,500,0.6,200,0,overall,6008,0.32685514684453126,0.20080611917128469,0.8551930758988016,0.32538800008202023,0.2899285063684455,0.9192743009320905
Hybrid-Matrix,0.3,500,0.6,200,0,q1,5945,0.34562598062595784,0.25589195866071274,0.8576955424726661,0.3587093377336489,0.3693071250217398,0.9221194280908326
Hybrid-Matrix,0.3,500,0.6,200,0,q2,4408,0.0060999007491463865,0.010668373520006913,0.019736842105263157,0.009947456003282142,0.023373466873920595,0.04038112522686026
Hybrid-Matrix,0.3,500,0.6,200,0,q3,2895,0.002447253036250489,0.004707623982235382,0.008290155440414507,0.0036918093375813235,0.008701921758916577,0.014853195164075994
Hybrid-Matrix,0.3,500,0.6,200,0,q4,1659,0.0013647430356467077,0.0024110910186859553,0.0030138637733574444,0.001881764904852194,0.0043198714084790035,0.0054249547920434
