model,ease_lambda,rp3_beta,rp3_topK,gamma,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,200,0.6,200,0.01,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.0006322575442707117,0.001980499695307739,0.0030469226081657527
Hybrid-GraphReg,200,0.6,200,0.01,1,q5,685,0.00046053266684047996,0.00145985401459854,0.00145985401459854,0.0008439626449969669,0.00291970802919708,0.00291970802919708
Hybrid-GraphReg,200,0.6,200,0.05,1,overall,6006,0.3463134786148876,0.21538427236169005,0.8719613719613719,0.3491975509963703,0.31743659656669104,0.9295704295704296
Hybrid-GraphReg,200,0.6,200,0.05,1,q1,5944,0.3622473458209159,0.2738170459521323,0.870457604306864,0.3784930335469293,0.3980254184389677,0.9283310901749664
Hybrid-GraphReg,200,0.6,200,0.05,1,q2,4502,0.018190580502077915,0.03080671321681764,0.07996446023989338,0.03161548167603132,0.07023537393629621,0.1776988005330964
Hybrid-GraphReg,200,0.6,200,0.05,1,q3,2861,0.0045784231737377315,0.009652051800776024,0.016777350576721427,0.0083042442279684,0.022209201772497203,0.03774903879762321
Hybrid-GraphReg,200,0.6,200,0.05,1,q4,1641,0.0004118937437857584,0.0009140767824497258,0.001218769043266301,0.0010390604082674826,0.0030469226081657527,0.0042656916514320535
Hybrid-GraphReg,200,0.6,200,0.05,1,q5,685,0.001549790235977884,0.00291970802919708,0.00291970802919708,0.0018821555625427788,0.004379562043795621,0.004379562043795621
Hybrid-GraphReg,200,0.6,200,0.1,1,overall,6006,0.34503849576986917,0.21471567097820035,0.8711288711288712,0.34815346690778615,0.3168425452691633,0.9302364302364302
Hybrid-GraphReg,200,0.6,200,0.1,1,q1,5944,0.3592753495976853,0.27162312596842825,0.8679340511440108,0.3756971056113662,0.39558439105278126,0.9278263795423957
Hybrid-GraphReg,200,0.6,200,0.1,1,q2,4502,0.020035510766105505,0.03365258507667713,0.0888494002665482,0.033993928822152956,0.07519662559348535,0.19035984007107953
Hybrid-GraphReg,200,0.6,200,0.1,1,q3,2861,0.006125136415741834,0.012560833279113602,0.022719328905976933,0.009649395815028928,0.024200894643047737,0.043691017126878715
Hybrid-GraphReg,200,0.6,200,0.1,1,q4,1641,0.0013131261463624738,0.0029094395148704685,0.005484460694698354,0.0021729113012439695,0.006123571290557512,0.009750152346130409
Hybrid-GraphReg,200,0.6,200,0.1,1,q5,685,0.003548432931494004,0.004379562043795621,0.004379562043795621,0.003922094281581326,0.00583941605839416,0.00583941605839416
Hybrid-GraphReg,200,0.6,200,0.3,1,overall,6006,0.3283261938566374,0.2059477623138395,0.860972360972361,0.333739721409023,0.3073184018815116,0.9227439227439227
Hybrid-GraphReg,200,0.6,200,0.3,1,q1,5944,0.33577292190837355,0.25599976394573704,0.8514468371467026,0.3531756553892705,0.375771796452663,0.9155450874831763
Hybrid-GraphReg,200,0.6,200,0.3,1,q2,4502,0.025575981564818447,0.040518815161096434,0.11461572634384717,0.041314262308987736,0.08806014513967157,0.22478898267436695
Hybrid-GraphReg,200,0.6,200,0.3,1,q3,2861,0.011289483877520882,0.019470519239524767,0.04264243271583362,0.01658152399448032,0.03676794794201859,0.0740999650471863
Hybrid-GraphReg,200,0.6,200,0.3,1,q4,1641,0.004586760726740789,0.007687286653488107,0.01340645947592931,0.007275801125909627,0.016905011670836696,0.028641072516758074
Hybrid-GraphReg,200,0.6,200,0.3,1,q5,685,0.008365674954593443,0.011025739531310027,0.013138686131386862,0.011239886125073609,0.02173133563836599,0.027737226277372264
Hybrid-GraphReg,200,0.6,200,0.5,1,overall,6006,0.3030358973334183,0.1920155898179179,0.837995337995338,0.310989984818091,0.291298639625734,0.9099234099234099
Hybrid-GraphReg,200,0.6,200,0.5,1,q1,5944,0.3045457200847347,0.23408976714693777,0.8215006729475101,0.32334741581103277,0.34956974355104414,0.897207267833109
Hybrid-GraphReg,200,0.6,200,0.5,1,q2,4502,0.029394432590113123,0.045872256583851294,0.13216348289649044,0.04550014253578109,0.0943860793080208,0.24478009773434029
Hybrid-GraphReg,200,0.6,200,0.5,1,q3,2861,0.015531268357864603,0.02567843500437563,0.05662355819643481,0.02252965492324275,0.048281394605797466,0.09926599091226844
Hybrid-GraphReg,200,0.6,200,0.5,1,q4,1641,0.008534812462863254,0.0163710160867605,0.027422303473491772,0.013833436727564733,0.03437556190382319,0.056672760511883
Hybrid-GraphReg,200,0.6,200,0.5,1,q5,685,0.014771420523204695,0.018811627609168907,0.024817518248175182,0.016574456768276555,0.02538097067486234,0.033576642335766425
Hybrid-GraphReg,200,0.6,200,1.0,1,overall,6006,0.23609619121472436,0.1546119225655471,0.7610722610722611,0.24972739541299988,0.243426399887273,0.8656343656343657
Hybrid-GraphReg,200,0.6,200,1.0,1,q1,5944,0.22784371925664693,0.18024412747221719,0.7244279946164199,0.25003260294569607,0.2823383624141163,0.8371467025572006
Hybrid-GraphReg,200,0.6,200,1.0,1,q2,4502,0.03416677207713496,0.053342810680396986,0.1505997334517992,0.04952749748524246,0.09910463654224892,0.26321634828964907
Hybrid-GraphReg,200,0.6,200,1.0,1,q3,2861,0.02135537193488986,0.036259257991529334,0.08213911219853198,0.029370646157219977,0.06113838550330433,0.13351974833974134
Hybrid-GraphReg,200,0.6,200,1.0,1,q4,1641,0.017015650619123242,0.028479873442418587,0.050578915295551495,0.02403494070713918,0.05213547820121663,0.08653260207190737
Hybrid-GraphReg,200,0.6,200,1.0,1,q5,685,0.01958814295071182,0.024286080163913433,0.032116788321167884,0.02326042884858881,0.037485593545908566,0.052554744525547446
Hybrid-GraphReg,500,0.6,200,0.01,1,overall,6006,0.3623395158290866,0.222934919234701,0.8774558774558775,0.3635956049450233,0.3277309213050913,0.9352314352314353
Hybrid-GraphReg,500,0.6,200,0.01,1,q1,5944,0.38298084443912866,0.28742249480878346,0.8787012113055181,0.3991248281849673,0.41766798391104193,0.9355652759084792
