model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,0,overall,6008,0.3521466037706409,0.20986974911571285,0.8633488681757656,0.34938094029587774,0.3079964131987359,0.9227696404793608
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,0,q1,5945,0.37396565334452214,0.27262226924266375,0.8708158116063919,0.38819885111425934,0.3999141020994698,0.9296888141295206
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,0,q2,4408,0.0033147149665283095,0.006445441909371128,0.014519056261343012,0.006960531655571929,0.017571913295822503,0.03516333938294011
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,0,q3,2895,0.0004194831576139316,0.0006332757628094416,0.0010362694300518134,0.0005564237348971366,0.001093839953943581,0.0017271157167530224
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,0,q4,1659,0.0,0.0,0.0,0.00014455242107783693,0.0006027727546714888,0.0006027727546714888
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,0,overall,6008,0.34283087859387085,0.20158568887486564,0.8538615179760319,0.3387650677319055,0.29499280705840336,0.9144474034620506
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,0,q1,5945,0.36420618310867336,0.26229036690632046,0.8617325483599664,0.377019998347698,0.38459110585804424,0.9227922624053827
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,0,q2,4408,0.00243852970562535,0.004515239247544147,0.011116152450090745,0.004538371401009514,0.01076265310611953,0.02223230490018149
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,0,q3,2895,0.00023212029251712345,0.0003454231433506045,0.000690846286701209,0.00032256921665958565,0.0006332757628094416,0.0010362694300518134
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,0,q4,1659,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,0,overall,6008,0.33199322947187254,0.19377228829093956,0.8440412782956058,0.327316400808162,0.28347246714281354,0.9092876165113183
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,0,q1,5945,0.3527656802522812,0.25237056107461825,0.8526492851135408,0.3644117808319829,0.37018710052005394,0.9179142136248949
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,0,q2,4408,0.0014929069169592264,0.0025942190245729266,0.006578947368421052,0.0031005500618881184,0.007265846172379748,0.015653357531760434
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,0,q3,2895,0.00011666988598721773,0.00023028209556706964,0.0003454231433506045,0.00015816061337859988,0.0003454231433506045,0.000690846286701209
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,0,q4,1659,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,0,overall,6008,0.32371781382564707,0.1875747931962009,0.8317243675099867,0.31869639475371286,0.2752083288494674,0.9019640479360852
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,0,q1,5945,0.3437036611081618,0.24372476304862944,0.8403700588730025,0.3548637256825202,0.35980158992264605,0.911017661900757
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,0,q2,4408,0.0012414079996998046,0.0022895781119465332,0.0052177858439201455,0.002290030444751419,0.005187545994034197,0.011569872958257713
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,0,q3,2895,0.0,0.0,0.0,0.0001194716009991449,0.0003454231433506045,0.000690846286701209
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,0,q4,1659,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,0,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,1,overall,6006,0.3657897482895548,0.22370544814625318,0.8782883782883782,0.3670643627268774,0.3300464223938353,0.9352314352314353
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,1,q1,5944,0.3875948373058519,0.2897477515529681,0.8805518169582772,0.4040926270539994,0.4219251949354428,0.9365746971736204
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,1,q2,4502,0.010319198461919706,0.01930827643556111,0.04331408262994225,0.02074140700788505,0.050545339532777254,0.11905819635717459
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,1,q3,2861,0.0011085375748978812,0.002400093207503204,0.003844809507165327,0.003562684208711046,0.011166938521884346,0.016777350576721427
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,1,q4,1641,0.000124547469584696,0.0003046922608165753,0.0006093845216331506,0.00026554577132738896,0.0009140767824497258,0.001218769043266301
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,1,overall,6006,0.3674101924379836,0.22373600984449235,0.8772893772893773,0.3676602508848851,0.32927058502174106,0.9352314352314353
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,1,q1,5944,0.3900570768476707,0.29079875163833074,0.8805518169582772,0.4063484750592195,0.42353340690527347,0.9372476446837147
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,1,q2,4502,0.00861081758410553,0.016667243279727514,0.035761883607285654,0.017310597970560802,0.04363521403437171,0.09595735228787206
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,1,q3,2861,0.0009648187282257764,0.002155423511592683,0.0031457532331352674,0.002631436021391758,0.007986232475047575,0.0129325410695561
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,1,q4,1641,0.00010800687799149771,0.0003046922608165753,0.0006093845216331506,0.00010800687799149771,0.0003046922608165753,0.0006093845216331506
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,1,overall,6006,0.362938338940032,0.21809489021087472,0.8697968697968698,0.3614496648354325,0.32027621526256816,0.9277389277389277
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,1,q1,5944,0.3864569094350958,0.2854240028847869,0.8748317631224765,0.40172090095067536,0.4161560179785468,0.9320323014804845
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,1,q2,4502,0.005735072822411166,0.011302791253368773,0.02310084406930253,0.01137292500494169,0.029100988109527316,0.058418480675255444
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,1,q3,2861,0.0003280067930906811,0.00046603751602003956,0.0010485844110450892,0.001395906097060138,0.004305021554235116,0.007340090877315624
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,1,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
