model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.5,500,0.3,200,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,500,0.3,200,1,overall,6006,0.36682806602440293,0.22404049356156888,0.8791208791208791,0.3671071271332285,0.3287715592399988,0.9348984348984349
Hybrid-Score,0.7,500,0.3,200,1,q1,5944,0.38912297223078895,0.2904087632652022,0.881056527590848,0.40480785812158115,0.42095501180178213,0.9360699865410498
Hybrid-Score,0.7,500,0.3,200,1,q2,4502,0.009665361923877949,0.01839636938106246,0.03753887161261661,0.019285928281417404,0.04816001535298463,0.09884495779653488
Hybrid-Score,0.7,500,0.3,200,1,q3,2861,0.0013508650602385322,0.0030292438541302574,0.004194337644180357,0.0037483109297805585,0.01157617771563944,0.016777350576721427
Hybrid-Score,0.7,500,0.3,200,1,q4,1641,0.00011787105643953127,0.0003046922608165753,0.0006093845216331506,0.0002669573100155374,0.0009140767824497258,0.001218769043266301
Hybrid-Score,0.7,500,0.3,200,1,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,500,0.6,200,1,overall,6006,0.3600771305986841,0.22024924569027893,0.873959373959374,0.3580962158674739,0.32052451567505197,0.9329004329004329
Hybrid-Score,0.3,500,0.6,200,1,q1,5944,0.38206980823863135,0.28465847310858255,0.8758411843876177,0.39636125925412213,0.41230014427442935,0.9347240915208613
Hybrid-Score,0.3,500,0.6,200,1,q2,4502,0.008834646430272765,0.01646508324096063,0.029986672589960017,0.014636803137121812,0.035018285071331666,0.06108396268325189
Hybrid-Score,0.3,500,0.6,200,1,q3,2861,0.001957523132038831,0.004331236164511243,0.005941978329255505,0.004209297082240349,0.011927647675637889,0.017825934987766516
Hybrid-Score,0.3,500,0.6,200,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.0005114914276135615,0.0014218972171440177,0.002437538086532602
Hybrid-Score,0.3,500,0.6,200,1,q5,685,0.0010847591158285603,0.00291970802919708,0.00291970802919708,0.0010847591158285603,0.00291970802919708,0.00291970802919708
Hybrid-Score,0.5,500,0.6,200,1,overall,6006,0.36637302322036325,0.22320354419079677,0.8776223776223776,0.3658461517508752,0.3276274733194926,0.9348984348984349
Hybrid-Score,0.5,500,0.6,200,1,q1,5944,0.38832133899853133,0.28878077787636186,0.8793741588156124,0.40381467389045117,0.42011800031029584,0.9365746971736204
Hybrid-Score,0.5,500,0.6,200,1,q2,4502,0.009708316761988845,0.018171475718121652,0.03487338960462017,0.01769457973302988,0.04377373635967684,0.08151932474455797
Hybrid-Score,0.5,500,0.6,200,1,q3,2861,0.0018656820862626012,0.004264243271583363,0.005592450192240475,0.004214228183874878,0.012420870713425763,0.018874519398811605
Hybrid-Score,0.5,500,0.6,200,1,q4,1641,0.00018682120437704398,0.0003046922608165753,0.0006093845216331506,0.00043332847854108287,0.001218769043266301,0.0018281535648994515
Hybrid-Score,0.5,500,0.6,200,1,q5,685,0.00046053266684047996,0.00145985401459854,0.00145985401459854,0.000825496170490115,0.00291970802919708,0.00291970802919708
Hybrid-Score,0.7,500,0.6,200,1,overall,6006,0.3673478821659042,0.22390429282911237,0.8792873792873793,0.3679472300690356,0.32978715790679375,0.9352314352314353
Hybrid-Score,0.7,500,0.6,200,1,q1,5944,0.38912500483266976,0.2895262077990102,0.8807200538358008,0.405218699669022,0.4215833089353493,0.9360699865410498
Hybrid-Score,0.7,500,0.6,200,1,q2,4502,0.010382008397819074,0.019491485094973327,0.03976010661928032,0.02000080704440352,0.04916852357981894,0.10173256330519768
Hybrid-Score,0.7,500,0.6,200,1,q3,2861,0.0017625029813462577,0.004147733892578353,0.005592450192240475,0.0043551183042826545,0.013309254728338963,0.019923103809856693
Hybrid-Score,0.7,500,0.6,200,1,q4,1641,0.00016091902655246244,0.0003046922608165753,0.0006093845216331506,0.00040196314518412967,0.001218769043266301,0.0018281535648994515
Hybrid-Score,0.7,500,0.6,200,1,q5,685,0.0,0.0,0.0,0.0003736613500873219,0.00145985401459854,0.00145985401459854
Hybrid-Score,0.3,200,0.3,200,2,overall,6004,0.3492501363140723,0.21639913288395782,0.8742504996668887,0.34779380008526845,0.31612097166984976,0.9345436375749501
