model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,q4,6.994145321252958e-05,0.00011297397632776698,5,0.00015038748649515697,0.0002610091542489742,5,0.00023988629317773453,0.00032848494759000585,5,0.00011746521328154572,0.000143693722933556,5,0.0003298542732853094,0.0004033881875157739,5,0.0004796303554350359,0.0005035545386872424,5,1647.8,38.15363678602605,5
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,overall,0.3489430651558644,0.0033269387302191124,5,0.20644567537763575,0.002888868176847006,5,0.8560120506645645,0.005342376876533702,5,0.34542817562545214,0.003275203975564608,5,0.3026653797338229,0.003584651225350545,5,0.9172705135279543,0.005547118110313269,5,6007.4,3.4351128074635104,5
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q1,0.3717746398275179,0.003234551785110551,5,0.2703969856201283,0.0027745319972923036,5,0.8639670489744731,0.005190333015235067,5,0.38477071485745745,0.0032677413087581694,5,0.3952009640392721,0.0036808695546218803,5,0.9241572425927304,0.005357535056237966,5,5941.2,4.147288270665454,5
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q2,0.0032339077990844304,0.0002536241025432768,5,0.006062091664966363,0.0005716025672206682,5,0.013067544358458017,0.0013656302375914633,5,0.006738013797265149,0.0001427800961347728,5,0.017133802898093974,0.0007045906824382271,5,0.033108352820359274,0.0011808248595974612,5,4440.2,45.146428430164846,5
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q3,0.00020580962954528273,0.00014264031844155863,5,0.000372961977265664,0.0002518754471488044,5,0.0006199178842372725,0.00037429711219729486,5,0.0004094331326551578,0.00014669218702156314,5,0.0010115500610539574,0.00038557382473954825,5,0.0020699853902788243,0.0004096196618890528,5,2896.4,24.795160818191906,5
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,2.8910484215567385e-05,6.464580796844336e-05,5,0.00012055455093429776,0.00026956817088605057,5,0.00012055455093429776,0.00026956817088605057,5,1647.8,38.15363678602605,5
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,overall,0.3389642734898627,0.003213989023321577,5,0.19816979150006547,0.0024961431948280605,5,0.8447597123659843,0.006552713127916558,5,0.33455543524133535,0.0032077072845363886,5,0.2908100907258985,0.0030808896767420485,5,0.909247071507999,0.005515833432453813,5,6007.4,3.4351128074635104,5
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q1,0.3610488717326437,0.0032235174714830106,5,0.25938690185974284,0.002528771819425958,5,0.8531610382029479,0.006320656109529583,5,0.37311654033914043,0.0033673034076570517,5,0.38113028392286336,0.003384263284606133,5,0.9173574970138617,0.005567032983635206,5,5941.2,4.147288270665454,5
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q2,0.0022845791575666075,0.00014703804118457875,5,0.004282854031755808,0.0002924386181113968,5,0.009462086928177006,0.0011131626473137118,5,0.004460513778137262,0.00015910769910582815,5,0.011046888776164339,0.000510398337362248,5,0.021487247867585733,0.000685734553307583,5,4440.2,45.146428430164846,5
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q3,0.0001160238091693953,7.043392755240402e-05,5,0.0002244099908468865,0.00011576022824200729,5,0.0004143610617766364,0.0001545882090335918,5,0.0002361910628790417,8.277521112587478e-05,5,0.000628698128978474,0.0002864008308353307,5,0.0012403744790219918,0.00045491989894628874,5,2896.4,24.795160818191906,5
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,1647.8,38.15363678602605,5
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,overall,0.32896673165750734,0.0026951653608587186,5,0.19078755119787147,0.002117675878487972,5,0.8351721157965928,0.007266176623235743,5,0.3238099913745659,0.0027370043890263423,5,0.27997666239288804,0.0025791619307388904,5,0.9023885874881206,0.0054768507319604,5,6007.4,3.4351128074635104,5
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q1,0.35036426419291516,0.0028472526056225766,5,0.24979890349640446,0.002174055102902541,5,0.8438367986320161,0.007265537569680874,5,0.3612154545914531,0.002886173041293898,5,0.36742436575534615,0.0024767523974451636,5,0.9110615378471939,0.005212224906004474,5,5941.2,4.147288270665454,5
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q2,0.0015182867577035305,0.00011913559205635332,5,0.002818736729453768,0.00025625217598365777,5,0.0065308379564832705,0.0006421938402863885,5,0.003058142922048757,7.268137613862584e-05,5,0.0075321866079294305,0.0004083360152946239,5,0.014823929271704922,0.0007381637751671028,5,4440.2,45.146428430164846,5
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q3,6.250430320388815e-05,4.530283087515532e-05,5,0.00013239247463271145,9.012032204613126e-05,5,0.00027628712644904737,0.00015447740057303747,5,0.00011649124471306412,3.8435853673300215e-05,5,0.00029743110917375637,0.00014587821186524307,5,0.0007578726423627507,0.0002841887347825213,5,2896.4,24.795160818191906,5
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q4,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,1647.8,38.15363678602605,5
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,overall,0.320794209094147,0.002703355786640367,5,0.18443661543523207,0.002357767136632192,5,0.8256842643845814,0.006992065586367247,5,0.3152353617525474,0.002517539340789626,5,0.2715363554767899,0.0027072322475527356,5,0.894631445945333,0.005839284989828485,5,6007.4,3.4351128074635104,5
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,q1,0.3414516616449105,0.002869746504033853,5,0.2411206693944093,0.0024608205617688795,5,0.8343781619474708,0.006975399728095137,5,0.35164443168019416,0.002617406739412225,5,0.35647572158943097,0.00276489205312681,5,0.9036889707861524,0.005590205908229073,5,5941.2,4.147288270665454,5
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,q2,0.0011210332190709077,0.00012829484352435233,5,0.0022072955599405347,0.00020215950597020856,5,0.004953347448377646,0.00032687893670435824,5,0.002171007882485458,0.00013032892824413212,5,0.0053043428688654345,0.00039119549698826125,5,0.010855411025286057,0.0008156723126053348,5,4440.2,45.146428430164846,5
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,q3,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,7.711321634381582e-05,2.909202544421809e-05,5,0.00021869378867410858,9.147005809404593e-05,5,0.0006206472388100251,0.00015160105032120054,5,2896.4,24.795160818191906,5
