model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-Score,0.5,500,0.6,200,q2,0.010354349856159012,0.00041620098730154524,5,0.019855495438212627,0.0011773579158674287,5,0.03776505263128656,0.0026516872036615783,5,0.017941948979584788,0.0005022663608528469,5,0.04380158057949972,0.001492327593166785,5,0.08430639307658136,0.0043502384409618506,5,4440.2,45.146428430164846,5
Hybrid-Score,0.5,500,0.6,200,q3,0.0019342157803280435,0.00041377696716093085,5,0.0041078505620809015,0.0010831419071567283,5,0.006417374835048712,0.001570067539024912,5,0.003692271832087818,0.00045212889641780125,5,0.010047958433354088,0.0015244302340900295,5,0.016023544286390773,0.00206147734828186,5,2896.4,24.795160818191906,5
Hybrid-Score,0.5,500,0.6,200,q4,0.0005322330924237239,0.0002964515843828892,5,0.0009578443506453761,0.000457672685574649,5,0.0013309156974939157,0.0004900552380771702,5,0.0006860453616148616,0.0003300127174648305,5,0.00153530353475263,0.0007379853599770014,5,0.0019395159559337338,0.0006453251571700374,5,1647.8,38.15363678602605,5
Hybrid-Score,0.5,500,0.6,200,q5,9.210653336809599e-05,0.0002059564697829153,5,0.000291970802919708,0.0006528665627736611,5,0.000291970802919708,0.0006528665627736611,5,0.00023552176930929063,0.000363343757700785,5,0.0008656317466844865,0.0013001765993174363,5,0.0008656317466844865,0.0013001765993174363,5,690.4,16.379865689315046,5
Hybrid-Score,0.7,200,0.3,200,overall,0.35271493674306365,0.002146416770277675,5,0.21764112959088386,0.0020593284840414805,5,0.8742562773879987,0.005405264098846136,5,0.35457188825591845,0.002809904105373257,5,0.32072404654813536,0.0027317622880404587,5,0.9308875032403385,0.0061306305795425994,5,6007.4,3.4351128074635104,5
Hybrid-Score,0.7,200,0.3,200,q1,0.37206960140372003,0.0019422065967616706,5,0.27881453680790835,0.0017459270437227648,5,0.8760183641388526,0.004966674273450127,5,0.38837331503652417,0.002465516315031712,5,0.40602374797556307,0.0027551153194582062,5,0.9314965988975121,0.005868241231142392,5,5941.2,4.147288270665454,5
Hybrid-Score,0.7,200,0.3,200,q2,0.013480452083141508,0.0006328271301524274,5,0.02525494971621075,0.0012630880035806914,5,0.0529999778228535,0.004085760224363622,5,0.02392508590400979,0.0005421784116411496,5,0.057105403216464956,0.0020428319736726336,5,0.12446527378530162,0.0034292700093343895,5,4440.2,45.146428430164846,5
Hybrid-Score,0.7,200,0.3,200,q3,0.002500595473348106,0.0005636303924469039,5,0.005424221981210406,0.0015067219077527336,5,0.00806650800769269,0.0023106411739552512,5,0.004668765865787071,0.0005801652546978087,5,0.012691845262367227,0.0019139850170648632,5,0.020375212968111154,0.0023752028941524295,5,2896.4,24.795160818191906,5
Hybrid-Score,0.7,200,0.3,200,q4,0.0005041035499821155,0.0002300411563850689,5,0.0009811585858807395,0.0004228128791582128,5,0.0013309156974939157,0.0004900552380771702,5,0.0007378522625720396,0.0003041489833860105,5,0.0018249006898273753,0.0007104257516704841,5,0.0024246751810326856,0.0007288478469269297,5,1647.8,38.15363678602605,5
Hybrid-Score,0.7,200,0.3,200,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,6.647306531297897e-05,0.0001486382927126043,5,0.000291970802919708,0.0006528665627736611,5,0.000291970802919708,0.0006528665627736611,5,690.4,16.379865689315046,5
Hybrid-Score,0.7,200,0.6,200,overall,0.3553637909766708,0.0023228218306024116,5,0.21886350935852858,0.002214600448454979,5,0.8755883675697638,0.0052492240911690274,5,0.3568458571416263,0.0026877197749373195,5,0.3224639967626932,0.002503520668074906,5,0.9311871094123632,0.005914057154309841,5,6007.4,3.4351128074635104,5
