model,lambda,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
EASE,200,q4,0.0005003390546012073,0.0002323087961228437,5,0.0009811585858807395,0.0004228128791582128,5,0.0013309156974939157,0.0004900552380771702,5,0.0007962845057965368,0.00023191475245465433,5,0.0020381852723989776,0.0004964821973113349,5,0.0027903058940125756,0.0003120215905912018,5,1647.8,38.15363678602605,5
EASE,200,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
EASE,500,overall,0.3603703925299798,0.0025525765180416013,5,0.22233609029995124,0.0022356066082815547,5,0.8776849569462767,0.005220623753779892,5,0.36221140741312974,0.0027321023063977146,5,0.3277578853329016,0.0030004655386439115,5,0.9332843525834955,0.005798369801854602,5,6007.4,3.4351128074635104,5
EASE,500,q1,0.3805215145486072,0.0023431198596146237,5,0.28562248636676363,0.0023133975228898317,5,0.8804950634663932,0.005151062257583956,5,0.3973776387774422,0.002467163375083238,5,0.41656445632677636,0.0031753713952744505,5,0.9347280846480949,0.005548949703685296,5,5941.2,4.147288270665454,5
EASE,500,q2,0.012741128247310038,0.0005228931036218084,5,0.023514563714936328,0.0011504438395042442,5,0.055606756403405025,0.0032660595422242425,5,0.02326128231254525,0.0006156125447685182,5,0.05508647534686584,0.001758912575650445,5,0.13234287970875916,0.0022555489457972756,5,4440.2,45.146428430164846,5
EASE,500,q3,0.0015955011133323756,0.00037160237910027354,5,0.0034538680120122637,0.001038960801074911,5,0.005447545858527249,0.0015304924368475129,5,0.003540731054707278,0.0005380399239016717,5,0.0099781438337918,0.0017500903517733693,5,0.016853455652536008,0.0026579026190200012,5,2896.4,24.795160818191906,5
EASE,500,q4,0.0004215020188284282,0.0002501527978639274,5,0.000854975620581055,0.0004121185092116367,5,0.001204732732194231,0.0005844301026766541,5,0.0005728122645426541,0.00029389238833183763,5,0.0014445677047585643,0.0007980565461509761,5,0.001817639051607104,0.0007243243170099435,5,1647.8,38.15363678602605,5
EASE,500,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
EASE,1000,overall,0.36606486663423726,0.002775355953389631,5,0.2233625573955484,0.002779274919058286,5,0.8776523327194686,0.005576033527185391,5,0.3667579476312331,0.0029076907258774117,5,0.32947664092018886,0.0032831740327648874,5,0.9331174535181603,0.004770150077619115,5,6007.4,3.4351128074635104,5
EASE,1000,q1,0.3881121289417273,0.0022928210223084476,5,0.2890120057206925,0.002298901930946076,5,0.8818422791807716,0.005131950803990369,5,0.40482934127380765,0.002756671952379484,5,0.4224656520187008,0.003781177544537054,5,0.9363769646434875,0.004757693028088255,5,5941.2,4.147288270665454,5
EASE,1000,q2,0.00921192180280658,0.000363409576974623,5,0.017727948432685343,0.0011778064803102339,5,0.038708414492351045,0.002178729018294948,5,0.017655621286620175,0.000467940805881847,5,0.04361653822680518,0.0015864435628704808,5,0.09785228398085526,0.0032512477073638724,5,4440.2,45.146428430164846,5
EASE,1000,q3,0.0010681580969363065,0.000264842180283,5,0.0023978556516475826,0.0007762848191546635,5,0.003585563886168478,0.0011115004352675918,5,0.0022181900975235106,0.0004837189064150678,5,0.006298799708815013,0.0018559684570203811,5,0.010217865894642927,0.0025639452446902474,5,2896.4,24.795160818191906,5
EASE,1000,q4,0.00023013827055760595,0.000210897620324568,5,0.000419353079967887,0.00040291866905929944,5,0.0004796303554350359,0.0005035545386872424,5,0.0003605990161852727,0.00022343459553067098,5,0.000854975620581055,0.0004121185092116367,5,0.001204732732194231,0.0005844301026766541,5,1647.8,38.15363678602605,5
EASE,1000,q5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,0.0,0.0,5,690.4,16.379865689315046,5
