model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Laplacian-EASE,500,0.3,200,100,sym,rp3beta,6.471534013748169,1,0.3164102474734426,0.19534917893477985,0.8225108225108225,0.18163536571178546,0.11504683840749415,0.809273084845604,1.8749402283349714,0.3116059228098036,0.1672097375560943,0.8939393939393939,0.2684962339803374,0.16188524590163936,0.7999968084959044,2.0214717064744363,0.3164102474734426,0.19534917893477985,0.8225108225108225,0.18163536571178546,0.11504683840749415,0.809273084845604,1.8749402283349714,3751310.5,3.2824339127704474e-151,6006,-1,-0.050179339059735886,-0.024211945145078073
Laplacian-EASE,500,0.6,200,1,sym,rp3beta,6.420978546142578,1,0.3657238896045218,0.23175690881827504,0.8782883782883782,0.22363280262482357,0.2968384074941452,0.7644340209428968,2.3527969815923804,0.3671190527763783,0.2060014151006694,0.935064935064935,0.3300184916819984,0.3855386416861827,0.7560587729152648,2.5209357777280017,0.3657238896045218,0.23175690881827504,0.8782883782883782,0.22363280262482357,0.2968384074941452,0.7644340209428968,2.3527969815923804,2420195.0,0.0045589321430714895,6006,-1,-0.0008656969286567472,0.0
Laplacian-EASE,500,0.6,200,3,sym,rp3beta,6.498593091964722,1,0.36726806181276583,0.233434386197283,0.8774558774558775,0.22363253669737013,0.2728337236533958,0.768500133628889,2.303015521616628,0.36766251673052736,0.2070100411317381,0.935064935064935,0.32929689777066723,0.3594847775175644,0.7598235369408008,2.4738816141798456,0.36726806181276583,0.233434386197283,0.8774558774558775,0.22363253669737013,0.2728337236533958,0.768500133628889,2.303015521616628,1390184.5,0.11226461847446696,6006,1,0.0006784752795873343,0.0
Laplacian-EASE,500,0.6,200,10,sym,rp3beta,7.387147665023804,1,0.36242580763746857,0.23085283357463063,0.8706293706293706,0.21790349528739741,0.23682669789227168,0.7839448972947118,2.206252028691351,0.3612765475272222,0.2032154373480566,0.9275724275724275,0.3202340268422475,0.3091334894613583,0.767539546942956,2.3769314525430714,0.36242580763746857,0.23085283357463063,0.8706293706293706,0.21790349528739741,0.23682669789227168,0.7839448972947118,2.206252028691351,4597782.5,3.4276014025112536e-06,6006,-1,-0.004163778895709986,0.0
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,6.581472396850586,1,0.3482071077882063,0.22001951534335323,0.854978354978355,0.20689721970757052,0.18530444964871196,0.7953292100211531,2.079965299388251,0.34444235869545853,0.1911905818593025,0.9180819180819181,0.3012527966268049,0.251463700234192,0.7818287649486717,2.2447904445377445,0.3482071077882063,0.22001951534335323,0.854978354978355,0.20689721970757052,0.18530444964871196,0.7953292100211531,2.079965299388251,4616684.0,4.510200276972612e-44,6006,-1,-0.01838247874497219,0.0
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,6.4422056674957275,1,0.3378268819236992,0.2118546205358847,0.843989343989344,0.19791084051968544,0.16188524590163936,0.8031104519350449,2.0110917648048217,0.3336691032818239,0.18333541999219835,0.9100899100899101,0.289838771502337,0.22101873536299765,0.7895662615530166,2.170665844169421,0.3378268819236992,0.2118546205358847,0.843989343989344,0.19791084051968544,0.16188524590163936,0.8031104519350449,2.0110917648048217,4321983.5,6.765049985846914e-79,6006,-1,-0.028762704609479307,-0.0026334352554373552
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,6.611393928527832,1,0.3274862174961481,0.2037616865267092,0.8341658341658341,0.19042088542412483,0.13875878220140514,0.8046044672626951,1.950675207510879,0.32301050551233784,0.17547333648969315,0.9037629037629038,0.27957268946876396,0.19350117096018735,0.7942351647344084,2.1051313425292095,0.3274862174961481,0.2037616865267092,0.8341658341658341,0.19042088542412483,0.13875878220140514,0.8046044672626951,1.950675207510879,4070634.0,5.96208484218166e-115,6006,-1,-0.03910336903703042,-0.012358851742764243
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,6.428139686584473,1,0.3187144031206742,0.19717564533182447,0.8248418248418249,0.18316237337397276,0.12353629976580796,0.8074749894655107,1.9039473506093885,0.31460324598925293,0.16925534506075607,0.8972693972693973,0.2719984062912551,0.17330210772833723,0.7975080100080099,2.0539308771446567,0.3187144031206742,0.19717564533182447,0.8248418248418249,0.18316237337397276,0.12353629976580796,0.8074749894655107,1.9039473506093885,3817311.5,5.817565339689988e-144,6006,-1,-0.0478751834125043,-0.020977440839036104
Laplacian-EASE,500,0.3,200,1,sym,rp3beta,6.193624019622803,2,0.36382183251156064,0.2293039682361335,0.8814123917388408,0.22328757427512969,0.29215456674473067,0.7617673721860776,2.349153770375912,0.36598247627786135,0.20426260241333433,0.9385409726848768,0.33117634452824873,0.3785128805620609,0.7541696229324817,2.515332259544802,0.36382183251156064,0.2293039682361335,0.8814123917388408,0.22328757427512969,0.29215456674473067,0.7617673721860776,2.349153770375912,2412887.0,0.0002408540754238175,6004,-1,-0.0013085312522536424,0.0
Laplacian-EASE,500,0.3,200,3,sym,rp3beta,6.23442006111145,2,0.36593318787802237,0.23203627648964684,0.8807461692205196,0.22297737277065652,0.2693208430913349,0.767855596269154,2.2979767096625863,0.36678607627951226,0.2055729920127077,0.9363757495003331,0.3298907400925314,0.34953161592505855,0.7561660595895312,2.467178824916978,0.36593318787802237,0.23203627648964684,0.8807461692205196,0.22297737277065652,0.2693208430913349,0.767855596269154,2.2979767096625863,1307499.5,0.0025105395742174583,6004,1,0.0008028241142080756,0.0
Laplacian-EASE,500,0.3,200,10,sym,rp3beta,6.1834821701049805,2,0.3641810078657409,0.2319263408567464,0.8742504996668887,0.2197486444490933,0.22775175644028103,0.7792678488548337,2.1999267599860417,0.36210432871423825,0.20299574450966387,0.9327115256495669,0.3223437234513889,0.2965456674473068,0.761625286991956,2.369448044450631,0.3641810078657409,0.2319263408567464,0.8742504996668887,0.2197486444490933,0.22775175644028103,0.7792678488548337,2.1999267599860417,4952845.5,0.16989872846359744,6004,-1,-0.0009493558980734747,0.0
Laplacian-EASE,500,0.3,200,30,sym,rp3beta,6.1946611404418945,2,0.3507856398882983,0.2220925799456531,0.8590939373750833,0.20660124620110581,0.17447306791569087,0.7879095144623942,2.0699817564803693,0.3464747651616475,0.19189533253289004,0.9208860759493671,0.303608505715848,0.24033957845433254,0.7781623051136839,2.233276745224911,0.3507856398882983,0.2220925799456531,0.8590939373750833,0.20660124620110581,0.17447306791569087,0.7879095144623942,2.0699817564803693,5019081.0,1.636706949958384e-27,6004,-1,-0.014344723875515959,0.0
