model,rp3_beta,rp3_topK,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
RP3beta,0.6,200,3.11049222946167,2,0.3067779460063049,0.18528345190507914,0.8259493670886076,0.181923576632837,0.20901639344262296,0.8887635600542683,1.8835559972459572,0.3043031383528816,0.160172241746052,0.9027315123251166,0.26846886895126487,0.2953747072599532,0.8844017599103076,2.0281798069852757,0.3067779460063049,0.18528345190507914,0.8259493670886076,0.181923576632837,0.20901639344262296,0.8887635600542683,1.8835559972459572,3700725.0,6.723628604700073e-173,6004,-1,-0.058352417757509364,-0.03499355890775774
RP3beta,0.6,500,4.361387729644775,2,0.3088752519003553,0.18657398327418906,0.832778147901399,0.18491221422855592,0.2066744730679157,0.887700031895639,1.8841672849060558,0.3047045882092262,0.16044178879051024,0.902398401065956,0.2687012934852372,0.2854215456674473,0.8835979432515075,2.016198391114612,0.3088752519003553,0.18657398327418906,0.832778147901399,0.18491221422855592,0.2066744730679157,0.887700031895639,1.8841672849060558,3751519.0,4.772295705069862e-166,6004,-1,-0.05625511186345899,-0.029373068669727845
RP3beta,0.3,200,2.988462448120117,3,0.25731400489313394,0.15102074470942417,0.7498752702477964,0.14565407494193688,0.06469555035128806,0.8567833043488731,1.6235060476862773,0.25144308151975797,0.12732981613428165,0.8380176284716447,0.2131717648527985,0.09309133489461359,0.8435724169958798,1.7544563002810136,0.25731400489313394,0.15102074470942417,0.7498752702477964,0.14565407494193688,0.06469555035128806,0.8567833043488731,1.6235060476862773,2344276.5,0.0,6013,-1,-0.10467592362517429,-0.08422600356176257
RP3beta,0.3,500,3.8541674613952637,3,0.26028575801324605,0.1527072978469803,0.7571927490437386,0.14933696367511592,0.06879391100702575,0.8605258818658865,1.6341891062230187,0.255182867860179,0.12960731626479519,0.8416763678696159,0.2175972628569523,0.09514051522248243,0.8420419347823307,1.765113635888908,0.26028575801324605,0.1527072978469803,0.7571927490437386,0.14933696367511592,0.06879391100702575,0.8605258818658865,1.6341891062230187,2378799.0,0.0,6013,-1,-0.10170417050506218,-0.07945707943276742
RP3beta,0.6,200,3.0681850910186768,3,0.30210829575720305,0.18312193960620382,0.8147347413936471,0.18020946294506715,0.21106557377049182,0.8893343663855451,1.8864061322346801,0.2994347700754492,0.15832353762733806,0.891401962414768,0.26318099274058343,0.2933255269320843,0.8832424291613017,2.031710432049815,0.30210829575720305,0.18312193960620382,0.8147347413936471,0.18020946294506715,0.21106557377049182,0.8893343663855451,1.8864061322346801,3422315.0,1.4680742782733403e-189,6013,-1,-0.05988163276110523,-0.03480422747443726
RP3beta,0.6,500,3.9728798866271973,3,0.3052035712275329,0.18564805840075987,0.8157325794112755,0.1816619209306833,0.20930913348946137,0.8885966652672124,1.8865494242672336,0.3010520995449108,0.1595465880289866,0.8930650257774821,0.264718144004634,0.2912763466042155,0.8853483282034653,2.0181841738830593,0.3052035712275329,0.18564805840075987,0.8157325794112755,0.1816619209306833,0.20930913348946137,0.8885966652672124,1.8865494242672336,3495016.0,6.2783754679169594e-176,6013,-1,-0.056786357290775386,-0.031172852066694567
RP3beta,0.3,200,3.007537603378296,4,0.2586269939617124,0.15112671968893623,0.7624042624042624,0.14697177527097938,0.062353629976580796,0.8530755629347178,1.6176315861843986,0.25330812310089784,0.1275121077036518,0.8523143523143523,0.21608089940468253,0.0939695550351288,0.8456223423513145,1.7519498726073892,0.2586269939617124,0.15112671968893623,0.7624042624042624,0.14697177527097938,0.062353629976580796,0.8530755629347178,1.6176315861843986,2202677.0,0.0,6006,-1,-0.1084554283704888,-0.09162859768512097
RP3beta,0.3,500,3.8920209407806396,4,0.2615692849016023,0.15291534248379487,0.7682317682317682,0.15041439708716745,0.06733021077283373,0.8598760659630225,1.6268403383066163,0.2573484145148221,0.13009930581591447,0.856976356976357,0.22083179125180485,0.09894613583138173,0.8487562733124865,1.7619498066774253,0.2615692849016023,0.15291534248379487,0.7682317682317682,0.15041439708716745,0.06733021077283373,0.8598760659630225,1.6268403383066163,2245479.0,0.0,6006,-1,-0.10551313743059891,-0.08907262587202999
RP3beta,0.6,200,3.078012228012085,4,0.3058717350609129,0.1851119433340238,0.8225108225108225,0.18314719110348487,0.20930913348946137,0.8901166898369697,1.87890485197566,0.3033018327287142,0.16044218997122323,0.8936063936063936,0.2668937683421284,0.29596018735363,0.8857061006912639,2.0254522572929656,0.3058717350609129,0.1851119433340238,0.8225108225108225,0.18314719110348487,0.20930913348946137,0.8901166898369697,1.87890485197566,3375862.0,2.5141247506485594e-206,6006,-1,-0.06121068727128831,-0.04120884748382206
RP3beta,0.6,500,3.961883068084717,4,0.3087004402333008,0.18747473753780444,0.828005328005328,0.18485121520390735,0.20813817330210774,0.8890135181274421,1.882512817630404,0.3045562009134399,0.16155452195048167,0.8967698967698968,0.2673673153225299,0.28454332552693207,0.883986024263802,2.013776881247117,0.3087004402333008,0.18747473753780444,0.828005328005328,0.18485121520390735,0.20813817330210774,0.8890135181274421,1.882512817630404,3394196.5,2.1527300954366264e-196,6006,-1,-0.05838198209890042,-0.03717228657711091
