model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,overall,0.31194712768186883,0.0017100154047218446,2,0.20868671816892878,0.0070123161408310545,2,0.7888971807628524,0.020415802753661335,2,0.3164332107289433,0.0006969017375631975,2,0.300458723160852,0.009068946108892579,2,0.8637106135986733,0.020679648567536887,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q1,0.33962667101909294,0.002905700324299357,2,0.2755836859929492,0.014794919909513609,2,0.8071869901766809,0.029686752467809704,2,0.3603939907180685,0.0064503610487788455,2,0.3984996835373059,0.020240209131769958,2,0.8828664653406921,0.029576301549161396,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q2,0.0014797861357921122,0.00048506521659615336,2,0.002328629862770029,0.0008820117996949666,2,0.010130167376321813,0.003666318868785979,2,0.0036160677566058246,0.0013947565493984116,2,0.009117127220046393,0.003553461034942546,2,0.018988070121600368,0.005533383841422982,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q3,0.00022591438078246623,0.0003194911812376834,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.00022591438078246623,0.0003194911812376834,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,288.0,0.0,2
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,overall,0.29784423923463715,0.0023301033785472,2,0.19848162574806688,0.00794511850450417,2,0.772276119402985,0.022708329714224654,2,0.3021024588964618,0.002147384611794148,2,0.28484591475835486,0.0022958739084476833,2,0.8428980099502488,0.002972662836331563,2,601.5,2.1213203435596424,2
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q1,0.32463017951857887,0.0012515851989426795,2,0.2623024495162025,0.013961964098398833,2,0.790195772154535,0.03184668154359906,2,0.3439572490082163,0.002348604622336964,2,0.37779384676910766,0.010353202160024973,2,0.862334687076955,0.012444136834377447,2,588.0,8.48528137423857,2
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q2,0.0005493555563506863,0.0002885469854129766,2,0.0006035569827813488,0.0003459441267182824,2,0.002528546038078433,2.260369216267584e-05,2,0.0011435420063184822,0.00028085675231356703,2,0.0026206170194240314,0.00109189825907538,2,0.006313373483192042,0.0017314428196609486,2,395.5,3.5355339059327378,2
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q3,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,288.0,0.0,2
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Laplacian-EASE,200,0.6,200,75,sym,rp3beta,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
