model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.5,200,0.3,200,1,q2,398,0.00020790457614402015,0.00035893754486719307,0.002512562814070352,0.002403628080899517,0.008255563531945441,0.01256281407035176
Hybrid-Matrix,0.5,200,0.3,200,1,q3,288,0.00042760831378598955,0.0008680555555555555,0.003472222222222222,0.00042760831378598955,0.0008680555555555555,0.003472222222222222
Hybrid-Matrix,0.5,200,0.3,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.3,200,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.3,200,1,overall,603,0.29465920530567197,0.19954898503610233,0.7611940298507462,0.3035121465030362,0.2975926180856494,0.8524046434494196
Hybrid-Matrix,0.7,200,0.3,200,1,q1,594,0.3175466204568102,0.2578873723488435,0.7727272727272727,0.3413980228235545,0.388030576933338,0.8653198653198653
Hybrid-Matrix,0.7,200,0.3,200,1,q2,398,0.0006124996168024504,0.0007178750897343861,0.002512562814070352,0.0038268231234464167,0.011210815984685332,0.022613065326633167
Hybrid-Matrix,0.7,200,0.3,200,1,q3,288,0.0005837761676080467,0.0008680555555555555,0.003472222222222222,0.0005837761676080467,0.0008680555555555555,0.003472222222222222
Hybrid-Matrix,0.7,200,0.3,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.3,200,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.6,200,1,overall,603,0.2759192305143111,0.18158095209693054,0.7346600331674958,0.2855714968311522,0.2838510050944744,0.8474295190713101
Hybrid-Matrix,0.3,200,0.6,200,1,q1,594,0.29505304031841106,0.2346137799615826,0.7407407407407407,0.3176263092024234,0.3655392298785485,0.8535353535353535
Hybrid-Matrix,0.3,200,0.6,200,1,q2,398,0.004233053231743996,0.008823881311318497,0.020100502512562814,0.008815377138521095,0.023038070735412332,0.06281407035175879
Hybrid-Matrix,0.3,200,0.6,200,1,q3,288,0.0013554862846947976,0.0008680555555555555,0.003472222222222222,0.003920873147815803,0.009741512345679012,0.020833333333333332
Hybrid-Matrix,0.3,200,0.6,200,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,200,0.6,200,1,q5,201,0.006644713806471781,0.00845771144278607,0.014925373134328358,0.00834537331199901,0.014096185737976781,0.029850746268656716
Hybrid-Matrix,0.5,200,0.6,200,1,overall,603,0.29035229960372033,0.19624116152912585,0.7495854063018242,0.29587623436153865,0.29300613908164047,0.8524046434494196
Hybrid-Matrix,0.5,200,0.6,200,1,q1,594,0.3098743057508513,0.2525152961017201,0.7575757575757576,0.32928684236343925,0.3781108582259128,0.8619528619528619
