model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,seed,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,1,q1,594,0.3232565678535291,0.2511535900004534,0.7643097643097643,0.3436507499542531,0.37244634432674134,0.8569023569023569
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,1,q2,398,0.0002671775905282157,0.00035893754486719307,0.002512562814070352,0.0006964104824135176,0.0014895908111988514,0.007537688442211055
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,1,q3,288,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.3,200,75,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,1,overall,603,0.32129746956219607,0.21248268245644175,0.7860696517412935,0.3253043684259376,0.308415558098323,0.8623548922056384
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,1,q1,594,0.3469223786823189,0.2766251083999605,0.797979797979798,0.36679499466370674,0.40355941284907276,0.8737373737373737
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,1,q2,398,0.0025993164985789433,0.005473797559224694,0.01256281407035176,0.0048213782088604275,0.010716593083256521,0.035175879396984924
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,1,q3,288,0.00045182876156493247,0.0008680555555555555,0.003472222222222222,0.00045182876156493247,0.0008680555555555555,0.003472222222222222
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,1,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,1,overall,603,0.31988891615610116,0.20991758604996574,0.7794361525704809,0.3240681672144643,0.3057660042815607,0.857379767827529
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,1,q1,594,0.34507566470845896,0.27274985265667456,0.7912457912457912,0.3652160695384519,0.3997998548629209,0.8686868686868687
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,1,q2,398,0.002551438675710143,0.005473797559224694,0.01256281407035176,0.004648070052889795,0.010559557907377125,0.035175879396984924
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,1,q3,288,0.00045182876156493247,0.0008680555555555555,0.003472222222222222,0.00045182876156493247,0.0008680555555555555,0.003472222222222222
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,3,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,1,overall,603,0.3180075177338577,0.2078456254201863,0.7728026533996684,0.32122997546937215,0.3008383362431054,0.8540630182421227
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,1,q1,594,0.34256590652425645,0.26948234329638604,0.7845117845117845,0.36183375249346444,0.39295410945183773,0.8653198653198653
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,1,q2,398,0.0025213754361470943,0.005473797559224694,0.01256281407035176,0.004233988138663989,0.010141481215601818,0.02763819095477387
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,1,q3,288,0.0005243736744021015,0.0008680555555555555,0.003472222222222222,0.0005243736744021015,0.0008680555555555555,0.003472222222222222
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,1,q4,219,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,10,sym,rp3beta,1,q5,201,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,200,0.6,200,30,sym,rp3beta,1,overall,603,0.3131562911704811,0.20372826187392326,0.7744610281923715,0.3159404267844917,0.29404600986903867,0.8490878938640133
