model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-Score,0.3,200,0.6,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.00044308055499187575,0.0006266105300933087,2,0.0012254901960784314,0.0017331048558493812,2,0.0024509803921568627,0.0034662097116987625,2,211.5,10.606601717798213,2
Hybrid-Score,0.3,200,0.6,200,q5,0.0014032141642253467,0.001984444501961513,2,0.0037313432835820895,0.005276916277511549,2,0.004975124378109453,0.007035888370015398,2,0.002998913268999746,0.002049735716800308,2,0.009501071375794297,0.0055603546023184815,2,0.014900743805723857,0.007070719500560028,2,201.5,0.7071067811865476,2
Hybrid-Score,0.5,200,0.3,200,overall,0.3179942899676425,0.0013585014866918537,2,0.21626580435796605,0.007714970466893502,2,0.7955555555555556,0.025141574442188362,2,0.32069960563401945,0.003477541999963398,2,0.30548098854802175,0.006379775681882443,2,0.8653689883913764,0.01833435244419843,2,601.5,2.1213203435596424,2
Hybrid-Score,0.5,200,0.3,200,q1,0.34690241954777423,0.00665245262369516,2,0.285158569624201,0.01634672540738414,2,0.8131660245062307,0.03338072208038126,2,0.36549248346987173,0.009504498713957097,2,0.4035488451798921,0.015826380913274495,2,0.8828491096532334,0.027170925987486834,2,588.0,8.48528137423857,2
Hybrid-Score,0.5,200,0.3,200,q2,0.0022949245851606424,0.0006798737714839365,2,0.0054240212330281,0.0013255450903969035,2,0.008857902745278555,0.0018670649726370027,2,0.005074877526265698,0.0018139632549196657,2,0.014057096806722801,0.005886501535500146,2,0.026573708235835665,0.005601194917911005,2,395.5,3.5355339059327378,2
Hybrid-Score,0.5,200,0.3,200,q3,0.00021380415689299477,0.00030236473836981826,2,0.00043402777777777775,0.0006138079697799891,2,0.001736111111111111,0.0024552318791199565,2,0.00046439498047410807,5.202420294483575e-05,2,0.0013020833333333333,0.0006138079697799891,2,0.003472222222222222,0.0,2,288.0,0.0,2
Hybrid-Score,0.5,200,0.3,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Hybrid-Score,0.5,200,0.3,200,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,201.5,0.7071067811865476,2
Hybrid-Score,0.5,200,0.6,200,overall,0.31724568052804447,0.0028473918014014377,2,0.21573301644034645,0.009573535992578456,2,0.7997056384742951,0.02162949349748894,2,0.32066742581729757,0.0045065703196088104,2,0.3078339200418717,0.008603425243625293,2,0.8720315091210613,0.025411283496372252,2,601.5,2.1213203435596424,2
Hybrid-Score,0.5,200,0.6,200,q1,0.344984560303372,0.0071087308954316175,2,0.28444427046263143,0.01823641242705566,2,0.8173921344024437,0.029834020359340845,2,0.36400062336484973,0.010049331898268976,2,0.4055858875169362,0.019984708032358398,2,0.8846020340865701,0.034411597321098886,2,588.0,8.48528137423857,2
Hybrid-Score,0.5,200,0.6,200,q2,0.004300142610896184,0.0019760225302486206,2,0.00886587093863936,0.003908791075739807,2,0.016475507307530016,0.00908668424939558,2,0.008218753486469967,0.002855017252976674,2,0.02188748506417481,0.007601203340407972,2,0.04301724909534952,0.00753607096703604,2,395.5,3.5355339059327378,2
Hybrid-Score,0.5,200,0.6,200,q3,0.0015080717577085601,0.00021578844535717682,2,0.003038194444444444,0.003069039848899946,2,0.005208333333333333,0.0024552318791199565,2,0.0030116190224843986,0.0023421253788721385,2,0.009114583333333334,0.011662351425819794,2,0.012152777777777776,0.012276159395599784,2,288.0,0.0,2
Hybrid-Score,0.5,200,0.6,200,q4,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,211.5,10.606601717798213,2
Hybrid-Score,0.5,200,0.6,200,q5,0.0,0.0,2,0.0,0.0,2,0.0,0.0,2,0.0015688936844832184,0.0005706394493562132,2,0.006206590808334565,0.0017763876577761646,2,0.007450371902861928,0.003535359750280014,2,201.5,0.7071067811865476,2
Hybrid-Score,0.7,200,0.3,200,overall,0.3233139729131268,0.0005565584150300605,2,0.2190533669291221,0.005997551127697524,2,0.8038598673300166,0.020468571916436508,2,0.3257956167047136,0.0024260216914450657,2,0.3103012641141788,0.006383082880118816,2,0.8670273631840796,0.015989056320859975,2,601.5,2.1213203435596424,2
