dataset,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,none,q2,4520,0.002602653670467416,0.004515062125681595,0.008407079646017699,0.005399979205053887,0.013473767157990528,0.027876106194690265
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,none,q3,3059,0.0003362900406216307,0.0008445025607497003,0.0016345210853220007,0.000691109321365094,0.0021521194290073007,0.0035959463877084014
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,1.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,none,overall,5957,0.12128694342393385,0.08852236061365748,0.5118348161826423,0.13499379442599221,0.14997197642977816,0.674668457277153
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,none,q1,5787,0.1353123208399311,0.12472381827701208,0.5246241575946086,0.15835811013505469,0.20957423875796957,0.6901676170727493
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,none,q2,4520,0.0020206461002676675,0.003607982479663896,0.007079646017699115,0.004011279822808409,0.009989401737086604,0.02101769911504425
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,none,q3,3059,0.00013067018502943402,0.0002724201808870001,0.0006538084341288003,0.0003972521237542785,0.0011714067778141003,0.002288329519450801
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,3.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,none,overall,5957,0.12073960042604402,0.08532239399564318,0.5099882491186839,0.13365902221111695,0.14472239729116143,0.6661071008897096
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,none,q1,5787,0.13463765853614032,0.12016291370079667,0.5234145498531191,0.1568830162653375,0.20230849607719317,0.6832555728356662
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,none,q2,4520,0.000960712130905645,0.002054281755609189,0.004646017699115044,0.0019118951997821952,0.0049317287923482615,0.009734513274336283
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,none,q3,3059,6.681346766540899e-05,0.00016345210853220007,0.00032690421706440013,0.0001383278612762071,0.0003541462351531001,0.0009807126511932004
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,10.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,30.0,rp3beta,none,overall,5957,0.11979637226122847,0.08097842946394437,0.5059593755245929,0.13117916757270268,0.13688874533289247,0.6590565721000503
ml-1m,EDLAE-Laplacian,0.75,30.0,rp3beta,none,q1,5787,0.13257466140003785,0.11230305288538735,0.5206497321582858,0.1530204867750596,0.19035001328310439,0.6773803352341455
ml-1m,EDLAE-Laplacian,0.75,30.0,rp3beta,none,q2,4520,0.00014308881419724468,0.00024872620005363366,0.0011061946902654867,0.0005637779063465455,0.0015770377606660793,0.0042035398230088495
ml-1m,EDLAE-Laplacian,0.75,30.0,rp3beta,none,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,30.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,30.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,75.0,rp3beta,none,overall,5957,0.11674868835284243,0.07358737161904957,0.4913547087460131,0.12546857747956902,0.12297303181265204,0.6300151082759778
ml-1m,EDLAE-Laplacian,0.75,75.0,rp3beta,none,q1,5787,0.12748677177679926,0.1001114376073204,0.5057888370485571,0.14436571056893713,0.16902870637117098,0.6485225505443235
ml-1m,EDLAE-Laplacian,0.75,75.0,rp3beta,none,q2,4520,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,75.0,rp3beta,none,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,75.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,75.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,100.0,rp3beta,none,overall,5957,0.11470807269769848,0.06946213844811688,0.48010743662917577,0.12201424470915705,0.11644448410856528,0.6196071848245761
ml-1m,EDLAE-Laplacian,0.75,100.0,rp3beta,none,q1,5787,0.12451097442678008,0.09326494878443164,0.4942111629514429,0.13955945219634092,0.15855977212974154,0.6378088819768446
ml-1m,EDLAE-Laplacian,0.75,100.0,rp3beta,none,q2,4520,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,100.0,rp3beta,none,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,100.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,100.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,200.0,rp3beta,none,overall,5957,0.10963675723468908,0.06465073077000848,0.457445022662414,0.11417558882387302,0.10471219648669643,0.5858653684740641
ml-1m,EDLAE-Laplacian,0.75,200.0,rp3beta,none,q1,5787,0.11814893938957087,0.0858944059184967,0.4708830136512874,0.129168624932609,0.14050342565376348,0.603075859685502
ml-1m,EDLAE-Laplacian,0.75,200.0,rp3beta,none,q2,4520,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,200.0,rp3beta,none,q3,3059,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,200.0,rp3beta,none,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,EDLAE-Laplacian,0.75,200.0,rp3beta,none,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
