model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Matrix,0.3,200,0.6,200,q2,4520,0.003476564685832888,0.007171046750692768,0.01084070796460177,0.0050237645940938705,0.012224010011620632,0.019690265486725665
Hybrid-Matrix,0.3,200,0.6,200,q3,3059,0.002655290519332427,0.004508553993679851,0.006538084341288003,0.0035228532030928254,0.007457048418146816,0.011441647597254004
Hybrid-Matrix,0.3,200,0.6,200,q4,1767,0.0004140953897778009,0.0011318619128466328,0.0011318619128466328,0.0007659527884111514,0.0024523674778343706,0.0028296547821165816
Hybrid-Matrix,0.3,200,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,200,0.6,200,overall,5957,0.12084744995978677,0.08663296519699415,0.5128420345811651,0.1329846375882981,0.14464192088496183,0.6721504112808461
Hybrid-Matrix,0.5,200,0.6,200,q1,5787,0.13186046374770943,0.11713003407886388,0.5199585277345775,0.152177573315733,0.195966546994539,0.6808363573526871
Hybrid-Matrix,0.5,200,0.6,200,q2,4520,0.004358299810283119,0.008520604272816661,0.01327433628318584,0.006203108505331002,0.014580761609652812,0.024557522123893807
Hybrid-Matrix,0.5,200,0.6,200,q3,3059,0.002573791096585762,0.004631143075079002,0.006538084341288003,0.003470438512158179,0.0075769132977370965,0.011768551814318405
Hybrid-Matrix,0.5,200,0.6,200,q4,1767,0.0003892941725515127,0.0011318619128466328,0.0011318619128466328,0.0005899856050892316,0.0018864365214110543,0.0022637238256932655
Hybrid-Matrix,0.5,200,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,200,0.6,200,overall,5957,0.12086771387418825,0.08862981301921885,0.5192210844384757,0.1344418870828712,0.1499120261692216,0.6805438979352023
Hybrid-Matrix,0.7,200,0.6,200,q1,5787,0.132236980816492,0.1202670040184379,0.525488163124244,0.15377403658080196,0.20198186578489877,0.6872299982719889
Hybrid-Matrix,0.7,200,0.6,200,q2,4520,0.005176612624103495,0.010146651312710657,0.016371681415929203,0.007943069368611779,0.019606822658550106,0.033849557522123895
Hybrid-Matrix,0.7,200,0.6,200,q3,3059,0.0025612711854631513,0.004794595183611201,0.007191892775416803,0.004091120488297882,0.009971486687733826,0.015691402419091206
Hybrid-Matrix,0.7,200,0.6,200,q4,1767,0.0003421220730637332,0.0011318619128466328,0.0011318619128466328,0.0006127049953410285,0.0021694019996227124,0.0028296547821165816
Hybrid-Matrix,0.7,200,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,500,0.3,200,overall,5957,0.11686632086479155,0.07555416994314226,0.49252979687762294,0.12458678816553653,0.12410429446537281,0.6345475910693302
Hybrid-Matrix,0.3,500,0.3,200,q1,5787,0.1275488050299009,0.10234566625473668,0.5059616381544841,0.14286332203620225,0.16933160711939788,0.6512873682391568
Hybrid-Matrix,0.3,500,0.3,200,q2,4520,0.0007511662979834526,0.0015486725663716814,0.0017699115044247787,0.0010040616460876308,0.002507374631268436,0.003097345132743363
Hybrid-Matrix,0.3,500,0.3,200,q3,3059,0.0002505987992820874,0.00043587228941920016,0.0006538084341288003,0.00042066684584217884,0.0010896807235480004,0.0013076168682576005
Hybrid-Matrix,0.3,500,0.3,200,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,500,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,500,0.3,200,overall,5957,0.12076265472188052,0.08168449859376284,0.5128420345811651,0.12998639846220464,0.1341793563513091,0.6525096525096525
Hybrid-Matrix,0.5,500,0.3,200,q1,5787,0.1323461561527572,0.11110821353793009,0.5258337653360982,0.14948752174204666,0.18308328461288,0.6694314843614999
Hybrid-Matrix,0.5,500,0.3,200,q2,4520,0.0015629551213893992,0.002673303834808259,0.0035398230088495575,0.0020464306158723264,0.004358407079646018,0.005752212389380531
Hybrid-Matrix,0.5,500,0.3,200,q3,3059,0.00048423942238465527,0.0010896807235480004,0.0013076168682576005,0.0007595964785248088,0.0021248774109186006,0.002288329519450801
Hybrid-Matrix,0.5,500,0.3,200,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,500,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,500,0.3,200,overall,5957,0.12449829304192372,0.0888909899416293,0.5308040960214874,0.13566218599642924,0.1456832237084615,0.6798724190028538
Hybrid-Matrix,0.7,500,0.3,200,q1,5787,0.13720342550988496,0.12191596693395267,0.5436322792465872,0.15640937955154308,0.19865929308479233,0.6944876447209262
Hybrid-Matrix,0.7,500,0.3,200,q2,4520,0.002541619917066894,0.004487463126843658,0.005973451327433628,0.0040064906564136055,0.009690265486725663,0.01327433628318584
Hybrid-Matrix,0.7,500,0.3,200,q3,3059,0.0008913075857257393,0.0020703933747412005,0.002615233736515201,0.0014014231933700703,0.0038138825324180014,0.005230467473030402
Hybrid-Matrix,0.7,500,0.3,200,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,500,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.3,500,0.6,200,overall,5957,0.11942470484693715,0.08458714628606324,0.5091489004532482,0.13067462545719108,0.14006544540503327,0.6607352694309216
Hybrid-Matrix,0.3,500,0.6,200,q1,5787,0.1302330500225495,0.11422823702705057,0.5163297045101088,0.14958915475326504,0.19039532200050982,0.6697770865733541
Hybrid-Matrix,0.3,500,0.6,200,q2,4520,0.0038551797828308867,0.007718876502062342,0.011946902654867256,0.005454750938329416,0.012971511715004687,0.022123893805309734
Hybrid-Matrix,0.3,500,0.6,200,q3,3059,0.0024813798980389172,0.004508553993679851,0.006538084341288003,0.0033393809299662983,0.007304493116850096,0.011441647597254004
Hybrid-Matrix,0.3,500,0.6,200,q4,1767,0.00040732393004599943,0.0011318619128466328,0.0011318619128466328,0.0007497852081785203,0.0024523674778343706,0.0028296547821165816
Hybrid-Matrix,0.3,500,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.5,500,0.6,200,overall,5957,0.12103936763213906,0.08753885105518709,0.5130099043142521,0.13383280873518874,0.1468168665291674,0.6745005875440658
Hybrid-Matrix,0.5,500,0.6,200,q1,5787,0.13228671285479832,0.11879804046590106,0.5197857266286504,0.15321953579304076,0.1987096346483368,0.6815275617763954
Hybrid-Matrix,0.5,500,0.6,200,q2,4520,0.004716368851514643,0.009265382876132487,0.014601769911504425,0.00717106374619979,0.017665948472100696,0.030309734513274338
Hybrid-Matrix,0.5,500,0.6,200,q3,3059,0.002526357262809643,0.004522175002724202,0.006538084341288003,0.0036857096605628316,0.008394173840398096,0.013403072899640406
Hybrid-Matrix,0.5,500,0.6,200,q4,1767,0.0003892941725515127,0.0011318619128466328,0.0011318619128466328,0.0005850391121812442,0.0018864365214110543,0.0022637238256932655
Hybrid-Matrix,0.5,500,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Matrix,0.7,500,0.6,200,overall,5957,0.12094699438333414,0.0897113564788127,0.5207319120362599,0.13498606457152748,0.15203591004220882,0.6808796374013766
Hybrid-Matrix,0.7,500,0.6,200,q1,5787,0.1325486069700867,0.12261453075646735,0.5261793675479524,0.154453557446597,0.20488121157330946,0.6863659927423535
Hybrid-Matrix,0.7,500,0.6,200,q2,4520,0.005694435872574625,0.010976544327629288,0.01924778761061947,0.0090488652488805,0.022350489612815293,0.04092920353982301
Hybrid-Matrix,0.7,500,0.6,200,q3,3059,0.002375870581807113,0.0043587228941920015,0.006864988558352402,0.004145691869739981,0.010289310232101993,0.015691402419091206
Hybrid-Matrix,0.7,500,0.6,200,q4,1767,0.0003421220730637332,0.0011318619128466328,0.0011318619128466328,0.00042701556095752944,0.0014148273910582908,0.001697792869269949
Hybrid-Matrix,0.7,500,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
