model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-GraphReg,200,0.6,200,0.5,q1,5787,0.09664325051250564,0.09748998438091441,0.4363227924658718,0.11741683590889504,0.16709543934216894,0.6044582685329186
Hybrid-GraphReg,200,0.6,200,0.5,q2,4520,0.011278208194580145,0.01874395121163435,0.05287610619469026,0.017468053636038483,0.038127981734024874,0.10376106194690266
Hybrid-GraphReg,200,0.6,200,0.5,q3,3059,0.005568293317374513,0.010259775994698543,0.019614253023864006,0.009262998319587774,0.02253210793330637,0.04380516508662962
Hybrid-GraphReg,200,0.6,200,0.5,q4,1767,0.005590995526477096,0.011658319539652753,0.018109790605546124,0.008166431559281082,0.020659744317147587,0.03395585738539898
Hybrid-GraphReg,200,0.6,200,0.5,q5,775,0.006619455867534739,0.011386119257087,0.01935483870967742,0.007811981098353637,0.016195503421309872,0.025806451612903226
Hybrid-GraphReg,200,0.6,200,1.0,overall,5957,0.0733468533222871,0.06186793288597044,0.38509316770186336,0.08716974675527617,0.10898704927696189,0.5450730233338928
Hybrid-GraphReg,200,0.6,200,1.0,q1,5787,0.07158673162222183,0.07358653357200003,0.35493347157421806,0.08887162203193724,0.1291186450128655,0.5080352514256091
Hybrid-GraphReg,200,0.6,200,1.0,q2,4520,0.012133496923653387,0.02024036328340335,0.05951327433628319,0.017557522359924325,0.03793500890684569,0.10597345132743363
Hybrid-GraphReg,200,0.6,200,1.0,q3,3059,0.007892424725937723,0.013348847319187606,0.02615233736515201,0.012162399112171417,0.027037766524685723,0.05622752533507682
Hybrid-GraphReg,200,0.6,200,1.0,q4,1767,0.009526827921213362,0.018481522614307893,0.03169213355970572,0.013187865132974874,0.03159670712168255,0.05263157894736842
Hybrid-GraphReg,200,0.6,200,1.0,q5,775,0.011484731838804786,0.01874095796676442,0.03096774193548387,0.013772802102237554,0.02704496578690127,0.04645161290322581
Hybrid-GraphReg,500,0.6,200,0.01,overall,5957,0.11331096020326287,0.08906629691500306,0.5066308544569414,0.12997078265413997,0.15371808916344185,0.6818868557998993
Hybrid-GraphReg,500,0.6,200,0.01,q1,5787,0.12505260392055248,0.12356393963887907,0.5113184724382236,0.14903520172659743,0.20712823950604317,0.6855019872127182
Hybrid-GraphReg,500,0.6,200,0.01,q2,4520,0.006844868657266079,0.012766711433338056,0.028982300884955754,0.012486788639386908,0.030995957120437456,0.07079646017699115
Hybrid-GraphReg,500,0.6,200,0.01,q3,3059,0.0015738850486162854,0.003623188405797101,0.005884275907159202,0.0028435199798164325,0.007992808107224582,0.011441647597254004
Hybrid-GraphReg,500,0.6,200,0.01,q4,1767,0.0,0.0,0.0,0.00022654122195389743,0.0008488964346349745,0.0011318619128466328
Hybrid-GraphReg,500,0.6,200,0.01,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-GraphReg,500,0.6,200,0.05,overall,5957,0.1130465938874842,0.08893759420645277,0.5064629847238543,0.12991212985365455,0.15371774708878647,0.6807117676682894
Hybrid-GraphReg,500,0.6,200,0.05,q1,5787,0.12456570833559587,0.12322253812129089,0.5109728702263695,0.14840743556619915,0.20589003793724506,0.6822187662001037
Hybrid-GraphReg,500,0.6,200,0.05,q2,4520,0.00707691005536651,0.012964969202522426,0.030309734513274338,0.013142366343498083,0.0327314294686408,0.07389380530973451
Hybrid-GraphReg,500,0.6,200,0.05,q3,3059,0.0017603002445866038,0.0037866405143293013,0.005884275907159202,0.003371085763419535,0.009322218589953144,0.013729977116704805
Hybrid-GraphReg,500,0.6,200,0.05,q4,1767,0.0,0.0,0.0,0.0003629732491707932,0.0014148273910582908,0.001697792869269949
