model,ease_lambda,rp3_beta,rp3_topK,gamma,normalise,graph_source,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q2,4520,0.0017457092155581733,0.0033830562259765796,0.006858407079646018,0.0034223969838563287,0.0085534553411961,0.01836283185840708
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q3,3059,0.00015263306688445482,0.0003541462351531001,0.0009807126511932004,0.0003317583148144739,0.0010079546692819002,0.001961425302386401
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,30,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,overall,5957,0.12049834473516147,0.08611644984295251,0.5083095517878127,0.133574472054432,0.1458033750987501,0.6692966258183649
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q1,5787,0.1343008442172027,0.12101785889204887,0.5216865387938483,0.15689789812904897,0.20420418646629632,0.6858475894245724
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q2,4520,0.0010840323109782785,0.002293957271833378,0.005088495575221239,0.002233897388549128,0.006063830466485334,0.011725663716814159
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q3,3059,5.7940270279191807e-05,0.00016345210853220007,0.00032690421706440013,0.00017767905131757462,0.0005175983436853001,0.0013076168682576005
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,50,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,overall,5957,0.12121446696287087,0.0844267659827056,0.5098203793855968,0.1330888501989318,0.14218486038229097,0.6630854456941413
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q1,5787,0.13475319036538666,0.11822013282766418,0.5234145498531191,0.156134066377792,0.19916576681754855,0.6810091584586141
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q2,4520,0.0006584363430993213,0.0015011844104764456,0.003982300884955752,0.001233689988544599,0.0033359830926202602,0.00663716814159292
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q3,3059,0.0,0.0,0.0,0.00011595138092003633,0.0003541462351531001,0.0009807126511932004
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,75,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,overall,5957,0.12112825157456958,0.08331419671695979,0.5079738123216384,0.13287987942629423,0.14091397911380033,0.6622460970287057
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,q1,5787,0.13448858274575978,0.1166316426786666,0.5223777432175566,0.15538157693611618,0.1963332919434923,0.6804907551408329
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,q2,4520,0.0002662637706924274,0.0005805846071332796,0.0015486725663716814,0.0010054177471215124,0.002873392585781966,0.005973451327433628
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,q3,3059,0.0,0.0,0.0,6.445447619554762e-05,0.00019069412662090006,0.0006538084341288003
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,q4,1767,0.0,0.0,0.0,0.0,0.0,0.0
Laplacian-EASE,500,0.6,200,100,sym,rp3beta,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
