dataset,seed,family,alpha,n_iter,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,Retrofit,100.0,10,135.7203233242035,0.3624558985810356,0.22823292671793283,0.8851531291611185,0.22451769065576854,0.3129391100702576,0.7562279604742788,2.4001001417801153,0.3645142559215856,0.2033947628404469,0.9375832223701731,0.33022192858702987,0.40076112412177983,0.7463938877698011,2.569061375407489,0.3624558985810356,0.22823292671793283,0.8851531291611185,0.22451769065576854,0.3129391100702576,0.7562279604742788,2.4001001417801153,2612727.5,0.10120197794551633,6008,-1,-0.0009002404878530305,0.0
ml-1m,1,EASE,0.0,0,132.79891109466553,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,
ml-1m,1,Retrofit,5.0,3,128.9510772228241,0.2711867578910595,0.15288358099866034,0.8166833166833167,0.16954297858269918,0.36768149882903983,0.7517593605969404,2.831434084803588,0.2674353054395982,0.1311160213304752,0.8936063936063936,0.24466078712602046,0.48624121779859486,0.7424854395053071,3.1361714727839947,0.2711867578910595,0.15288358099866034,0.8166833166833167,0.16954297858269918,0.36768149882903983,0.7517593605969404,2.831434084803588,2482614.5,0.0,6006,-1,-0.09116212960035001,-0.06268637327383159
ml-1m,1,Retrofit,5.0,5,131.5304560661316,0.2737843722827981,0.15499637555901727,0.8181818181818182,0.171204082619634,0.3679742388758782,0.7505336350205085,2.8225143372859822,0.26966817083786215,0.13286072915879402,0.8951048951048951,0.24641921204548553,0.4844847775175644,0.7401906150244517,3.1259581576061457,0.2737843722827981,0.15499637555901727,0.8181818181818182,0.171204082619634,0.3679742388758782,0.7505336350205085,2.8225143372859822,2541690.5,5.903288781095884e-309,6006,-1,-0.08856451520861136,-0.05652670087893599
ml-1m,1,Retrofit,5.0,10,135.02987051010132,0.2747178610833088,0.15580768521811605,0.8193473193473193,0.17196173709073634,0.3679742388758782,0.7508619728190136,2.81762790367628,0.2705298349169109,0.13359892847093607,0.8956043956043956,0.2472622119493635,0.48507025761124123,0.7399809604999708,3.1214464589592805,0.2747178610833088,0.15580768521811605,0.8193473193473193,0.17196173709073634,0.3679742388758782,0.7508619728190136,2.81762790367628,2563243.0,7.966406476103211e-306,6006,-1,-0.08763102640810065,-0.054066391017614984
ml-1m,1,Retrofit,20.0,3,156.19931507110596,0.3447917519300598,0.21162194006652624,0.870962370962371,0.2136817230016205,0.32669789227166274,0.7543524874170036,2.471994381798785,0.3462720209405978,0.1874479155149989,0.9312354312354313,0.31481553365406967,0.42827868852459017,0.7464665546347025,2.65673296489524,0.3447917519300598,0.21162194006652624,0.870962370962371,0.2136817230016205,0.32669789227166274,0.7543524874170036,2.471994381798785,4081773.5,5.352938860175401e-48,6006,-1,-0.017557135561349704,0.0
ml-1m,1,Retrofit,20.0,5,212.82719135284424,0.34482474072533736,0.21165915924065018,0.8712953712953713,0.2136344832820397,0.32728337236533955,0.7545080143470126,2.472181561395199,0.34639229855063636,0.18758026097257544,0.9312354312354313,0.31479262026748084,0.42827868852459017,0.7463994879579297,2.6566019192823767,0.34482474072533736,0.21165915924065018,0.8712953712953713,0.2136344832820397,0.32728337236533955,0.7545080143470126,2.472181561395199,4066604.0,7.23833823226267e-48,6006,-1,-0.01752414676607213,0.0
ml-1m,1,Retrofit,20.0,10,231.76142692565918,0.3448602755780992,0.21169623861588147,0.8712953712953713,0.21365379400436585,0.327576112412178,0.7547193943976787,2.472110348968549,0.3464054682311983,0.1876040634579582,0.9312354312354313,0.3147830337166512,0.42827868852459017,0.7464141804880016,2.6564306147771792,0.3448602755780992,0.21169623861588147,0.8712953712953713,0.21365379400436585,0.327576112412178,0.7547193943976787,2.472110348968549,4067306.0,1.4817438774063426e-47,6006,-1,-0.017488611913310276,0.0
ml-1m,1,Retrofit,50.0,3,183.4748673439026,0.3588872416266084,0.22500113485657705,0.8757908757908758,0.22030013996053235,0.31820843091334894,0.7579709159285974,2.4123283778331865,0.3604228051358502,0.19970697989875646,0.9353979353979354,0.3251235595368136,0.4098360655737705,0.7480494743351886,2.5865765917979195,0.3588872416266084,0.22500113485657705,0.8757908757908758,0.22030013996053235,0.31820843091334894,0.7579709159285974,2.4123283778331865,3697646.0,1.3048933340544294e-05,6006,-1,-0.003461645864801095,0.0
ml-1m,1,Retrofit,50.0,5,129.8762059211731,0.3588783778048566,0.22500232107587548,0.8757908757908758,0.2202996413077426,0.31820843091334894,0.7579880407847288,2.412281553923949,0.360427465848171,0.19971674523520613,0.9353979353979354,0.32513393254828576,0.4092505854800937,0.7477303097474772,2.586472613594664,0.3588783778048566,0.22500232107587548,0.8757908757908758,0.2202996413077426,0.31820843091334894,0.7579880407847288,2.412281553923949,3694095.5,1.1757771184399874e-05,6006,-1,-0.003470509686552836,0.0
