dataset,seed,family,config,gamma,rho,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,0,Mahal,W2_g=1.0,1.0,0.0,131.46012377738953,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505,0.3691230156677118,0.20771914879933534,0.9374167776298269,0.33374923721535316,0.38085480093676816,0.7529868834891933,2.5209230465853265,0.3680365762494111,0.2338993872734649,0.8859853528628495,0.2271523194487268,0.29361826697892274,0.7624052609149912,2.352023164884505,2456458.5,9.038611218096042e-24,6008,1,0.004680437180522533,0.0
ml-1m,0,Mahal,W2_g=3.0,3.0,0.0,133.29212975502014,0.3694281965683604,0.23568593079492733,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284,0.37007888606536016,0.20887829489719714,0.9357523302263648,0.3335787262332323,0.3556791569086651,0.7580716246650556,2.4716837421691307,0.3694281965683604,0.23568593079492733,0.8831557922769641,0.22664020263107287,0.272248243559719,0.7682282046876567,2.303980844096284,4157160.5,5.632587827274153e-15,6008,1,0.0060720574994718385,0.0
ml-1m,0,Mahal,W2_g=10.0,10.0,0.0,133.6014404296875,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914,0.36502176503436046,0.20560003872760527,0.9320905459387483,0.3258685639182625,0.3044496487119438,0.7642692755812763,2.3768459078857913,0.36585268365298707,0.2336679555649996,0.878994673768309,0.2215880039791899,0.23477751756440282,0.7820284923510132,2.2077527199909914,5688620.5,0.029625280958271223,6008,1,0.0024965445840984236,0.0
ml-1m,0,Mahal,rw_g=1.0,1.0,0.0,130.3209023475647,0.3679216925040683,0.23366674180059407,0.8861517976031957,0.2270699910765469,0.3024004683840749,0.7628584926454951,2.365258969739757,0.36918761220418617,0.20767221757389942,0.9379161118508655,0.33406377225756423,0.38992974238875877,0.7532919570702528,2.533375157823035,0.3679216925040683,0.23366674180059407,0.8861517976031957,0.2270699910765469,0.3024004683840749,0.7628584926454951,2.365258969739757,2247396.0,1.314948635589428e-24,6008,1,0.004565553435179719,0.0
ml-1m,0,Mahal,rw_g=3.0,3.0,0.0,130.6438524723053,0.3706046749809255,0.23665360802523652,0.8854860186418109,0.22766266618539235,0.29420374707259955,0.7702372624229055,2.336272469233411,0.3712371693538806,0.20985044515810733,0.9370838881491345,0.33444788576923157,0.3855386416861827,0.7627545201690078,2.5049434223025573,0.3706046749809255,0.23665360802523652,0.8854860186418109,0.22766266618539235,0.29420374707259955,0.7702372624229055,2.336272469233411,3791605.0,8.100112491544277e-22,6008,1,0.007248535912036835,0.0
ml-1m,0,Mahal,rw_g=10.0,10.0,0.0,131.44534349441528,0.36982314708942426,0.23659664266406863,0.8828229027962716,0.2261958781136997,0.28688524590163933,0.7847658224408274,2.296040619852209,0.3691888400796957,0.20849171689982093,0.9362516644474035,0.33187093345235597,0.37822014051522246,0.7765169402612822,2.4631503547510123,0.36982314708942426,0.23659664266406863,0.8828229027962716,0.2261958781136997,0.28688524590163933,0.7847658224408274,2.296040619852209,5179538.5,9.83088423570425e-09,6008,1,0.006467008020535699,0.0
ml-1m,0,Mahal,lowpass_g=1.0,1.0,0.0,130.3300793170929,0.3682129673447099,0.23400709752202406,0.886318242343542,0.22742434048705265,0.32640515222482436,0.7726212583520924,2.3822395560924328,0.36994124372000725,0.2081619942290558,0.9385818908122503,0.33542827440412,0.4379391100702576,0.7723639536767375,2.552351422107592,0.3682129673447099,0.23400709752202406,0.886318242343542,0.22742434048705265,0.32640515222482436,0.7726212583520924,2.3822395560924328,2427283.0,5.623868720522759e-26,6008,1,0.0048568282758212344,0.0
ml-1m,0,Mahal,lowpass_g=3.0,3.0,0.0,132.45846676826477,0.3703755508930258,0.23632989287253345,0.8843209054593875,0.2276627241667442,0.3788056206088993,0.8002947898422916,2.396519340982001,0.37141421546455683,0.209535578708821,0.9389147802929427,0.33587398013788067,0.5199063231850117,0.8026231072533918,2.5711753666660324,0.3703755508930258,0.23632989287253345,0.8843209054593875,0.2276627241667442,0.3788056206088993,0.8002947898422916,2.396519340982001,4075879.0,5.703194085849181e-20,6008,1,0.007019411824137205,0.0
ml-1m,0,Mahal,lowpass_g=10.0,10.0,0.0,130.41178965568542,0.3640917105872856,0.23191292541329794,0.8768308921438083,0.22118097646094229,0.48243559718969553,0.8230878448476466,2.4895014302923624,0.3652534449841597,0.20493051183629332,0.9332556591211718,0.3294936842406061,0.6624707259953162,0.8252738652190363,2.6596928526294144,0.3640917105872856,0.23191292541329794,0.8768308921438083,0.22118097646094229,0.48243559718969553,0.8230878448476466,2.4895014302923624,5805186.5,0.06290403582020647,6008,1,0.0007355715183970747,0.0
ml-1m,1,EASE,baseline,0.0,0.0,134.6935534477234,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,0.36349761852879936,0.20270640009375476,0.9347319347319347,0.3275426777323132,0.40105386416861827,0.7512512548278971,2.5551994360475203,0.3623488874914095,0.22828379507659552,0.8771228771228772,0.22293921857668994,0.3129391100702576,0.7612990377256046,2.3852822063754466,,,0,0,,
ml-1m,1,GramShrink,rho=0.05,0.0,0.05,129.82113027572632,0.36326283506688234,0.22915742955708937,0.8776223776223776,0.22323099022818488,0.31030444964871196,0.7615591012760823,2.3806004983575644,0.36437372300577126,0.20344645391427824,0.9355644355644356,0.32820236142117337,0.3992974238875878,0.7524292545186972,2.5497909539253234,0.36326283506688234,0.22915742955708937,0.8776223776223776,0.22323099022818488,0.31030444964871196,0.7615591012760823,2.3806004983575644,165849.5,2.6671308291017326e-10,6006,1,0.0009139475754728556,0.0
ml-1m,1,GramShrink,rho=0.1,0.0,0.1,130.37890148162842,0.3636177701907145,0.22949792850657363,0.8776223776223776,0.22330150571421992,0.3082552693208431,0.7624575487823351,2.3749715302181595,0.36480535716972196,0.20383579979827238,0.9353979353979354,0.3284012980275763,0.39490632318501173,0.7524133143851455,2.5435391426770586,0.3636177701907145,0.22949792850657363,0.8776223776223776,0.22330150571421992,0.3082552693208431,0.7624575487823351,2.3749715302181595,565874.5,6.151975526638932e-11,6006,1,0.0012688826993050334,0.0
ml-1m,1,GramShrink,rho=0.2,0.0,0.2,131.4228982925415,0.36481399815719234,0.23062849924598794,0.8781218781218781,0.2236480880643101,0.30210772833723654,0.7635723449676939,2.362311016962691,0.365818007937542,0.20474461719461437,0.9353979353979354,0.3290806581330774,0.38992974238875877,0.7544964669964671,2.531210791087414,0.36481399815719234,0.23062849924598794,0.8781218781218781,0.2236480880643101,0.30210772833723654,0.7635723449676939,2.362311016962691,1431150.5,4.0152009727127693e-16,6006,1,0.002465110665782859,0.0
ml-1m,1,MultiLap,w=[1.0]_g=1.0,1.0,0.0,129.3375256061554,0.3657238896045218,0.23175690881827504,0.8782883782883782,0.22363280262482357,0.2968384074941452,0.7644340209428968,2.3527969815923804,0.3671190527763783,0.2060014151006694,0.935064935064935,0.3300184916819984,0.3855386416861827,0.7560587729152648,2.5209357777280017,0.3657238896045218,0.23175690881827504,0.8782883782883782,0.22363280262482357,0.2968384074941452,0.7644340209428968,2.3527969815923804,2435728.0,9.88800663525942e-15,6006,1,0.003375002113112289,0.0
ml-1m,1,MultiLap,w=[1.0]_g=3.0,3.0,0.0,129.18976354599,0.36726806181276583,0.233434386197283,0.8774558774558775,0.22363253669737013,0.2728337236533958,0.768500133628889,2.303015521616628,0.36766251673052736,0.2070100411317381,0.935064935064935,0.32929689777066723,0.3594847775175644,0.7598235369408008,2.4738816141798456,0.36726806181276583,0.233434386197283,0.8774558774558775,0.22363253669737013,0.2728337236533958,0.768500133628889,2.303015521616628,4176448.5,3.261262507001787e-12,6006,1,0.004919174321356371,0.0
ml-1m,1,MultiLap,w=[1.0]_g=10.0,10.0,0.0,131.94090151786804,0.36242580763746857,0.23085283357463063,0.8706293706293706,0.21790349528739741,0.23682669789227168,0.7839448972947118,2.206252028691351,0.3612765475272222,0.2032154373480566,0.9275724275724275,0.3202340268422475,0.3091334894613583,0.767539546942956,2.3769314525430714,0.36242580763746857,0.23085283357463063,0.8706293706293706,0.21790349528739741,0.23682669789227168,0.7839448972947118,2.206252028691351,5845198.5,0.937879379012161,6006,1,7.692014605904973e-05,0.0
ml-1m,1,MultiLap,"w=[0.5, 0.5]_g=1.0",1.0,0.0,129.62966060638428,0.365779916112731,0.23180655305159273,0.8781218781218781,0.22362310694530538,0.29478922716627637,0.7636952917985689,2.3510188426127265,0.3670856722837439,0.2059566718128872,0.9352314352314353,0.33004501217422755,0.38436768149882905,0.7559149913300713,2.5198121204391106,0.365779916112731,0.23180655305159273,0.8781218781218781,0.22362310694530538,0.29478922716627637,0.7636952917985689,2.3510188426127265,2449579.0,1.5734832627172518e-15,6006,1,0.0034310286213214683,0.0
ml-1m,1,MultiLap,"w=[0.5, 0.5]_g=3.0",3.0,0.0,133.01821756362915,0.36728854083896734,0.2334429177576853,0.8774558774558775,0.22365724733599776,0.2687353629976581,0.7669781561938425,2.2992111442085426,0.36747223537356294,0.2068727173949271,0.935064935064935,0.3290718928093744,0.35450819672131145,0.7581474677263282,2.470432534395642,0.36728854083896734,0.2334429177576853,0.8774558774558775,0.22365724733599776,0.2687353629976581,0.7669781561938425,2.2992111442085426,4189612.0,3.6324704198142036e-12,6006,1,0.004939653347557916,0.0
ml-1m,1,MultiLap,"w=[0.5, 0.5]_g=10.0",10.0,0.0,130.80481886863708,0.36296654869069245,0.23131761153728272,0.8702963702963703,0.2182982804498107,0.2306791569086651,0.7824958459476226,2.197853591259191,0.3614299633508,0.20331884375728462,0.9277389277389277,0.3203336631547346,0.30327868852459017,0.7669039615468187,2.3689991720588495,0.36296654869069245,0.23131761153728272,0.8702963702963703,0.2182982804498107,0.2306791569086651,0.7824958459476226,2.197853591259191,5820819.0,0.7235960258012957,6006,1,0.0006176611992829973,0.0
ml-1m,1,Mahal,W2_g=1.0,1.0,0.0,131.94818305969238,0.3657238896045218,0.23175690881827504,0.8782883782883782,0.22363280262482357,0.2968384074941452,0.7644340209428968,2.3527969815923804,0.3671190527763783,0.2060014151006694,0.935064935064935,0.3300184916819984,0.3855386416861827,0.7560587729152648,2.5209357777280017,0.3657238896045218,0.23175690881827504,0.8782883782883782,0.22363280262482357,0.2968384074941452,0.7644340209428968,2.3527969815923804,2435728.0,9.88800663525942e-15,6006,1,0.003375002113112289,0.0
ml-1m,1,Mahal,W2_g=3.0,3.0,0.0,134.2575352191925,0.36726806181276583,0.233434386197283,0.8774558774558775,0.22363253669737013,0.2728337236533958,0.768500133628889,2.303015521616628,0.36766251673052736,0.2070100411317381,0.935064935064935,0.32929689777066723,0.3594847775175644,0.7598235369408008,2.4738816141798456,0.36726806181276583,0.233434386197283,0.8774558774558775,0.22363253669737013,0.2728337236533958,0.768500133628889,2.303015521616628,4176448.5,3.261262507001787e-12,6006,1,0.004919174321356371,0.0
ml-1m,1,Mahal,W2_g=10.0,10.0,0.0,131.32752966880798,0.36242580763746857,0.23085283357463063,0.8706293706293706,0.21790349528739741,0.23682669789227168,0.7839448972947118,2.206252028691351,0.3612765475272222,0.2032154373480566,0.9275724275724275,0.3202340268422475,0.3091334894613583,0.767539546942956,2.3769314525430714,0.36242580763746857,0.23085283357463063,0.8706293706293706,0.21790349528739741,0.23682669789227168,0.7839448972947118,2.206252028691351,5845198.5,0.937879379012161,6006,1,7.692014605904973e-05,0.0
