dataset,seed,family,prior,mu,rho,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,1,CAR-SAR-EASE,car,3.0,0.1,131.6432387828827,0.3660796709030371,0.23246015267486358,0.8756243756243757,0.22287928706384166,0.2725409836065574,0.7658025111301159,2.3072872165244824,0.36692886633814437,0.2061685939183381,0.935064935064935,0.3289436041525454,0.35450819672131145,0.7549334783025947,2.476319214800275,0.3660796709030371,0.23246015267486358,0.8756243756243757,0.22287928706384166,0.2725409836065574,0.7658025111301159,2.3072872165244824,3872446.0,5.871917560270523e-10,6006,1,0.0037307834116276604,0.0
ml-1m,1,CAR-SAR-EASE,car,10.0,0.1,131.7463276386261,0.3638706322406284,0.2319697245519241,0.8691308691308691,0.2190798447728838,0.23653395784543327,0.7815139480981066,2.2056709701316213,0.3636016801613846,0.2049076112367182,0.9297369297369298,0.32288129049973485,0.31118266978922715,0.767470785721021,2.376995984449234,0.3638706322406284,0.2319697245519241,0.8691308691308691,0.2190798447728838,0.23653395784543327,0.7815139480981066,2.2056709701316213,5515564.0,0.14453521411224415,6006,1,0.0015217447492188736,0.0
ml-1m,1,CAR-SAR-EASE,car,30.0,0.1,130.91618609428406,0.3522558755544517,0.22324013854626096,0.85997335997336,0.20970521578492438,0.18940281030444964,0.8012704451653445,2.066896658487233,0.34893773433986347,0.19442369153035163,0.9194139194139194,0.30627586096169596,0.25322014051522246,0.7858035221041,2.2312774648873264,0.3522558755544517,0.22324013854626096,0.85997335997336,0.20970521578492438,0.18940281030444964,0.8012704451653445,2.066896658487233,5644509.5,2.4719138864797855e-10,6006,-1,-0.010093011936957776,0.0
ml-1m,1,CAR-SAR-EASE,car,1.0,0.5,129.17925596237183,0.36492742762808594,0.23085414674558666,0.8777888777888778,0.22359692441459564,0.2968384074941452,0.7623511925287074,2.356550829318594,0.3660764110102459,0.2050094568399529,0.9347319347319347,0.3291259197176409,0.3826112412177986,0.7523830288558675,2.525749533601774,0.36492742762808594,0.23085414674558666,0.8777888777888778,0.22359692441459564,0.2968384074941452,0.7623511925287074,2.356550829318594,1909478.5,7.882856984483674e-14,6006,1,0.0025785401366764872,0.0
ml-1m,1,CAR-SAR-EASE,car,3.0,0.5,129.72733974456787,0.3662578861947971,0.23260860260718536,0.8766233766233766,0.223188567457045,0.27459016393442626,0.7654135842835201,2.3126328603403743,0.36705087385614577,0.20623967476654292,0.9355644355644356,0.3293920923042109,0.3568501170960187,0.7544812584189122,2.4817785831573635,0.3662578861947971,0.23260860260718536,0.8766233766233766,0.223188567457045,0.27459016393442626,0.7654135842835201,2.3126328603403743,3820195.5,6.881064535725258e-11,6006,1,0.003908998703387689,0.0
ml-1m,1,CAR-SAR-EASE,car,10.0,0.5,130.54233384132385,0.3644082559608829,0.23237107395837553,0.86996336996337,0.21927150284048932,0.23770491803278687,0.7780597071237465,2.2175140237834663,0.36406656286725375,0.20511728081117475,0.9307359307359307,0.32353085758027106,0.31118266978922715,0.7630488357675564,2.3889705054487105,0.3644082559608829,0.23237107395837553,0.86996336996337,0.21927150284048932,0.23770491803278687,0.7780597071237465,2.2175140237834663,5452601.0,0.040284977461146905,6006,1,0.002059368469473468,0.0
ml-1m,1,CAR-SAR-EASE,car,30.0,0.5,130.20223093032837,0.35326663267671593,0.22413163920462673,0.8618048618048618,0.21054521941522766,0.19057377049180327,0.794636750857949,2.0881685270724657,0.34982166925442415,0.19514276912175083,0.9212454212454212,0.3073356967691506,0.25175644028103045,0.7758946479876714,2.2540650074112056,0.35326663267671593,0.22413163920462673,0.8618048618048618,0.21054521941522766,0.19057377049180327,0.794636750857949,2.0881685270724657,5678038.5,3.3956991446906258e-09,6006,-1,-0.009082254814693606,0.0
ml-1m,1,CAR-SAR-EASE,car,1.0,0.9,129.39702200889587,0.3650298977428314,0.2308669372168522,0.8779553779553779,0.22375301321296598,0.29713114754098363,0.7616577511158791,2.358885213749626,0.36616687265402625,0.2050320687225566,0.935064935064935,0.32931594213791165,0.38378220140515223,0.7520864972810051,2.5283254061774394,0.3650298977428314,0.2308669372168522,0.8779553779553779,0.22375301321296598,0.29713114754098363,0.7616577511158791,2.358885213749626,1922129.5,2.0330501179789634e-13,6006,1,0.002681010251421899,0.0
ml-1m,1,CAR-SAR-EASE,car,3.0,0.9,129.8442702293396,0.3663441842006639,0.23263865344364212,0.876956376956377,0.22320482074202017,0.27546838407494145,0.7640936463465688,2.317873499708673,0.36711976916757744,0.20619738751812744,0.9353979353979354,0.3296315163057808,0.3588992974238876,0.753414733716528,2.487885549660423,0.3663441842006639,0.23263865344364212,0.876956376956377,0.22320482074202017,0.27546838407494145,0.7640936463465688,2.317873499708673,3822393.0,1.1499327155053027e-10,6006,1,0.0039952967092544735,0.0
ml-1m,1,CAR-SAR-EASE,car,10.0,0.9,129.53011441230774,0.3641163519730688,0.23192140132899772,0.8706293706293706,0.2192878896433704,0.23594847775175645,0.7713304065661386,2.2309462587471804,0.36373081610234553,0.2048072393300654,0.9312354312354313,0.3233104191236224,0.3129391100702576,0.7589904482795033,2.403147121972031,0.3641163519730688,0.23192140132899772,0.8706293706293706,0.2192878896433704,0.23594847775175645,0.7713304065661386,2.2309462587471804,5446585.5,0.061576494459529785,6006,1,0.0017674644816593455,0.0
