dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,0,GS-EASE,itemknn,1.0,sym,q2,4408,0.03997970118972451,0.0557141681636639,0.16424682395644283,0.05446760750562466,0.10057418009852487,0.27041742286751363
ml-1m,0,GS-EASE,itemknn,1.0,sym,q3,2895,0.011344294385571855,0.018900063368041845,0.043523316062176166,0.017049351097498187,0.03643086042715242,0.08324697754749569
ml-1m,0,GS-EASE,itemknn,1.0,sym,q4,1659,0.0025470374299404455,0.004235700438232084,0.006630500301386378,0.004085416667033172,0.009346123903085929,0.016877637130801686
ml-1m,0,GS-EASE,itemknn,1.0,sym,q5,693,0.0,0.0,0.0,0.0002121794237610536,0.0007215007215007215,0.001443001443001443
ml-1m,0,Lap-EASE,itemknn,3.0,sym,overall,6008,0.36920023289548565,0.22638139184375003,0.8838215712383488,0.37005963208734,0.33366789112829837,0.9362516644474035
ml-1m,0,Lap-EASE,itemknn,3.0,sym,q1,5945,0.38980942526933665,0.2905537688310647,0.8874684608915054,0.40724380742821326,0.4256867023565612,0.9399495374264087
ml-1m,0,Lap-EASE,itemknn,3.0,sym,q2,4408,0.009421965179079943,0.017562944195742145,0.041742286751361164,0.018185262609511976,0.045111688984895704,0.09913793103448276
ml-1m,0,Lap-EASE,itemknn,3.0,sym,q3,2895,0.0010183277860764325,0.0017846862406447896,0.0024179620034542313,0.0018328149982207824,0.004333963867642624,0.008290155440414507
ml-1m,0,Lap-EASE,itemknn,3.0,sym,q4,1659,0.00038279623608310985,0.0009041591320072332,0.0012055455093429777,0.00038279623608310985,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,itemknn,3.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,itemknn,3.0,sym,overall,6008,0.2165043440613173,0.12900937780447802,0.7290279627163782,0.2240183505265115,0.20840091808387481,0.8387150466045273
ml-1m,0,GS-EASE,itemknn,3.0,sym,q1,5945,0.20256214809932474,0.15190575769603287,0.6957106812447434,0.2197668979941211,0.24377023832110273,0.8159798149705635
ml-1m,0,GS-EASE,itemknn,3.0,sym,q2,4408,0.046285639464214864,0.06162534271141065,0.18920145190562612,0.06084663577194258,0.1072892575302882,0.2912885662431942
ml-1m,0,GS-EASE,itemknn,3.0,sym,q3,2895,0.015209477128873314,0.02343431568691701,0.06044905008635579,0.02168359139392628,0.04346143597921526,0.10293609671848014
ml-1m,0,GS-EASE,itemknn,3.0,sym,q4,1659,0.003933530316505611,0.006006214866974361,0.012055455093429777,0.006299015590816505,0.014266256513091956,0.028933092224231464
ml-1m,0,GS-EASE,itemknn,3.0,sym,q5,693,0.0,0.0,0.0,0.0006074369873376003,0.0018037518037518038,0.004329004329004329
ml-1m,0,Lap-EASE,itemknn,10.0,sym,overall,6008,0.3656383140770483,0.22156222737732229,0.878994673768309,0.3648176715717914,0.32546443943491676,0.9314247669773635
ml-1m,0,Lap-EASE,itemknn,10.0,sym,q1,5945,0.3872900925349895,0.2861309142972826,0.8849453322119428,0.403737247936529,0.419278145375268,0.936753574432296
ml-1m,0,Lap-EASE,itemknn,10.0,sym,q2,4408,0.006269523192647741,0.011494499834107772,0.02722323049001815,0.01230930905476937,0.03054437472924389,0.06352087114337568
ml-1m,0,Lap-EASE,itemknn,10.0,sym,q3,2895,0.0007737859977618914,0.0013241220495106504,0.002072538860103627,0.001101135414597041,0.0023061106998930833,0.004145077720207254
ml-1m,0,Lap-EASE,itemknn,10.0,sym,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.00034374438332618654,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,itemknn,10.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,itemknn,10.0,sym,overall,6008,0.20978575420941004,0.12218232685280754,0.7140479360852197,0.21744794606248075,0.2005144011196196,0.8273968042609854
ml-1m,0,GS-EASE,itemknn,10.0,sym,q1,5945,0.19581605002472582,0.1451817773932841,0.6783851976450799,0.21283994335626155,0.23562423018050838,0.8040370058873002
ml-1m,0,GS-EASE,itemknn,10.0,sym,q2,4408,0.04528755737540816,0.05858087961424925,0.1882940108892922,0.06054999854077623,0.10712637948509479,0.28992740471869327
ml-1m,0,GS-EASE,itemknn,10.0,sym,q3,2895,0.013969209619085363,0.020689583482435027,0.05630397236614853,0.020255124685170156,0.0400072697222332,0.09913644214162348
ml-1m,0,GS-EASE,itemknn,10.0,sym,q4,1659,0.003550149226855234,0.004955226474213816,0.010247136829415311,0.004955433834384915,0.009802591129045761,0.02230259192284509
ml-1m,0,GS-EASE,itemknn,10.0,sym,q5,693,0.0,0.0,0.0,0.0008173824740336347,0.002095127095127095,0.007215007215007215
ml-1m,0,Lap-EASE,binary,1.0,sym,overall,6008,0.3676360877169313,0.22723906377534922,0.8861517976031957,0.36862277741222416,0.3333125407698267,0.9374167776298269
ml-1m,0,Lap-EASE,binary,1.0,sym,q1,5945,0.387842047760438,0.29105770233891554,0.8889823380992431,0.40478487670817076,0.42359634260143975,0.9402859545836838
ml-1m,0,Lap-EASE,binary,1.0,sym,q2,4408,0.010967556980431196,0.020845116735562167,0.048548094373865695,0.02084214322837717,0.051218989158001126,0.11547186932849365
ml-1m,0,Lap-EASE,binary,1.0,sym,q3,2895,0.0012290744131741966,0.002216465169833045,0.0031088082901554403,0.0022558765603531233,0.005487991187473053,0.01070811744386874
ml-1m,0,Lap-EASE,binary,1.0,sym,q4,1659,0.00042458251813651965,0.0009041591320072332,0.0012055455093429777,0.00042458251813651965,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,binary,1.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,binary,1.0,sym,overall,6008,0.1040888226057905,0.051535620700123075,0.4470705725699068,0.10607808513391644,0.0868645616369384,0.5768974700399467
ml-1m,0,GS-EASE,binary,1.0,sym,q1,5945,0.10309951242571906,0.0666600852704699,0.43313708999158956,0.10960891133463076,0.1114512982343517,0.5608074011774601
ml-1m,0,GS-EASE,binary,1.0,sym,q2,4408,0.01525332322428584,0.022751079535278128,0.07009981851179674,0.02172214514833285,0.040627399583530975,0.13157894736842105
ml-1m,0,GS-EASE,binary,1.0,sym,q3,2895,0.0008217660265903192,0.0012780656303972365,0.0034542314335060447,0.0016818331129988056,0.0037031554129999724,0.009671848013816925
ml-1m,0,GS-EASE,binary,1.0,sym,q4,1659,0.00019015363278223555,0.0006027727546714888,0.0006027727546714888,0.00019015363278223555,0.0006027727546714888,0.0006027727546714888
ml-1m,0,GS-EASE,binary,1.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,binary,3.0,sym,overall,6008,0.3695381772583542,0.2263771113846413,0.8833222370173103,0.369967671219307,0.33324852239176805,0.9362516644474035
ml-1m,0,Lap-EASE,binary,3.0,sym,q1,5945,0.3904522546148861,0.29096171281562005,0.887636669470143,0.4077009936566104,0.42601155149726455,0.9404541631623213
ml-1m,0,Lap-EASE,binary,3.0,sym,q2,4408,0.00884242003319525,0.016807170559895935,0.038112522686025406,0.017010975854297655,0.042419339389205925,0.09051724137931035
ml-1m,0,Lap-EASE,binary,3.0,sym,q3,2895,0.00100170586095121,0.0017846862406447896,0.0024179620034542313,0.0016309227962677045,0.0039655125147353126,0.0065630397236614854
ml-1m,0,Lap-EASE,binary,3.0,sym,q4,1659,0.00025960009528233456,0.0006027727546714888,0.0006027727546714888,0.0003594769884500438,0.0009041591320072332,0.0012055455093429777
ml-1m,0,Lap-EASE,binary,3.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,binary,3.0,sym,overall,6008,0.1021110212294578,0.04735801172741286,0.43142476697736354,0.1010923357263694,0.07710731294582182,0.5459387483355526
ml-1m,0,GS-EASE,binary,3.0,sym,q1,5945,0.10169438270448367,0.06240917740823938,0.41816652649285113,0.1051285842120428,0.10108604238219089,0.5310344827586206
ml-1m,0,GS-EASE,binary,3.0,sym,q2,4408,0.013423558614527766,0.020527248812945587,0.06442831215970962,0.019651573091422177,0.03798164565748341,0.12159709618874773
ml-1m,0,GS-EASE,binary,3.0,sym,q3,2895,0.0008214969505119788,0.0013068508923431202,0.0034542314335060447,0.0014119798820943993,0.00298599117251967,0.007944732297063902
ml-1m,0,GS-EASE,binary,3.0,sym,q4,1659,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888
ml-1m,0,GS-EASE,binary,3.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,Lap-EASE,binary,10.0,sym,overall,6008,0.36623476415769507,0.22146577536040232,0.8769973368841545,0.3651718683252737,0.3254117539178121,0.9312583222370173
ml-1m,0,Lap-EASE,binary,10.0,sym,q1,5945,0.3882350963893207,0.28643576396485715,0.8835996635828427,0.4046955446829683,0.4202059270330961,0.9370899915895711
ml-1m,0,Lap-EASE,binary,10.0,sym,q2,4408,0.005681996690416549,0.011121534369038906,0.024047186932849365,0.010984805070490052,0.027951380252200002,0.056261343012704176
ml-1m,0,Lap-EASE,binary,10.0,sym,q3,2895,0.0005369666120495066,0.0008059873344847437,0.001381692573402418,0.000898495372935887,0.0019861830742659756,0.0031088082901554403
ml-1m,0,Lap-EASE,binary,10.0,sym,q4,1659,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888,0.00023318433226916313,0.0006027727546714888,0.0006027727546714888
ml-1m,0,Lap-EASE,binary,10.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,0,GS-EASE,binary,10.0,sym,overall,6008,0.12531615165638357,0.059963062419594246,0.4986684420772304,0.12365542612088135,0.09576075870839985,0.6113515312916112
ml-1m,0,GS-EASE,binary,10.0,sym,q1,5945,0.12791639703342406,0.08053966239414931,0.4901597981497056,0.13166884856461708,0.12756211531866152,0.601682085786375
ml-1m,0,GS-EASE,binary,10.0,sym,q2,4408,0.011117493563858978,0.018522470344888634,0.05671506352087114,0.018017583314539024,0.037641085731757444,0.1177404718693285
ml-1m,0,GS-EASE,binary,10.0,sym,q3,2895,0.0005671381677140144,0.000978698906160046,0.002072538860103627,0.0010019276814001,0.0021742467856457498,0.0062176165803108805
ml-1m,0,GS-EASE,binary,10.0,sym,q4,1659,0.00021471198740688499,0.0006027727546714888,0.0006027727546714888,0.00021471198740688499,0.0006027727546714888,0.0006027727546714888
ml-1m,0,GS-EASE,binary,10.0,sym,q5,693,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EASE,,0.0,,overall,6006,0.3623488874914095,0.22293921857668994,0.8771228771228772,0.36349761852879936,0.3275426777323132,0.9347319347319347
