dataset,seed,model,w_source,gamma,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,1,GS-EASE,itemknn,3.0,sym,0.33446669578552246,0.2173874891528687,0.11692855718649368,0.7332667332667333,0.12933309334923795,0.5532786885245902,0.6414816576721338,3.155383845545006,0.2239410829462041,0.10269803058795045,0.8331668331668332,0.2061515052003467,0.6390515222482436,0.6594284780725459,3.20618532593416,0.2173874891528687,0.11692855718649368,0.7332667332667333,0.12933309334923795,0.5532786885245902,0.6414816576721338,3.155383845545006
ml-1m,1,Lap-EASE,itemknn,10.0,sym,0.46753883361816406,0.3622529766619696,0.23081321327849105,0.8704628704628704,0.21798961867277178,0.23565573770491804,0.7851712676557396,2.1997544917038723,0.3606300368663638,0.20283001898427833,0.9269064269064269,0.3192271075664075,0.3085480093676815,0.7694078849676573,2.3701547429304863,0.3622529766619696,0.23081321327849105,0.8704628704628704,0.21798961867277178,0.23565573770491804,0.7851712676557396,2.1997544917038723
ml-1m,1,GS-EASE,itemknn,10.0,sym,0.34020042419433594,0.21158821800902258,0.11341539255654902,0.720945720945721,0.12447558243478712,0.5219555035128806,0.632093817567738,3.195071126980573,0.21835635010106094,0.09938028312390426,0.829004329004329,0.2010223041426106,0.6045081967213115,0.6485710415492498,3.239830330521669,0.21158821800902258,0.11341539255654902,0.720945720945721,0.12447558243478712,0.5219555035128806,0.632093817567738,3.195071126980573
ml-1m,1,Lap-EASE,binary,1.0,sym,0.5354099273681641,0.365891944403018,0.23187638136617733,0.8777888777888778,0.2237124444375935,0.2930327868852459,0.7638982728892818,2.34726005052913,0.36704651837695423,0.20592721164924532,0.935064935064935,0.329940876382365,0.38085480093676816,0.7552439489795368,2.515930210299595,0.365891944403018,0.23187638136617733,0.8777888777888778,0.2237124444375935,0.2930327868852459,0.7638982728892818,2.34726005052913
ml-1m,1,GS-EASE,binary,1.0,sym,0.36356401443481445,0.10286657111235262,0.0514310018108204,0.4457209457209457,0.05166504435230105,0.3231850117096019,0.5950195637695639,3.0190537368329573,0.10638410798949395,0.04369741657493455,0.5887445887445888,0.08963051964232906,0.38729508196721313,0.6266173106309161,3.039817215180265,0.10286657111235262,0.0514310018108204,0.4457209457209457,0.05166504435230105,0.3231850117096019,0.5950195637695639,3.0190537368329573
ml-1m,1,Lap-EASE,binary,3.0,sym,0.4519805908203125,0.3671710631192966,0.23348625315958083,0.8754578754578755,0.22334406304661422,0.2655152224824356,0.7675393698546951,2.291622474492179,0.36756772236507756,0.20700942436342662,0.9348984348984349,0.32906690903712604,0.3518735362997658,0.7599648825938343,2.4613401598479983,0.3671710631192966,0.23348625315958083,0.8754578754578755,0.22334406304661422,0.2655152224824356,0.7675393698546951,2.291622474492179
ml-1m,1,GS-EASE,binary,3.0,sym,0.3436007499694824,0.1007883258435605,0.0509336355516911,0.42973692973692973,0.04733907110661523,0.3185011709601874,0.5970823600419188,3.0516681896894347,0.10128759503002613,0.04224625130896144,0.5502830502830502,0.07903472727152983,0.375,0.6199914319352258,3.0776316719478367,0.1007883258435605,0.0509336355516911,0.42973692973692973,0.04733907110661523,0.3185011709601874,0.5970823600419188,3.0516681896894347
ml-1m,1,Lap-EASE,binary,10.0,sym,0.4949471950531006,0.36270943589129595,0.2311996781405795,0.8691308691308691,0.21799923402174504,0.22453161592505855,0.7839517284106592,2.180391458699017,0.36096528066721767,0.20321858200755905,0.9262404262404262,0.3192299300235128,0.29596018735363,0.7686048372991994,2.349961945997299,0.36270943589129595,0.2311996781405795,0.8691308691308691,0.21799923402174504,0.22453161592505855,0.7839517284106592,2.180391458699017
ml-1m,1,GS-EASE,binary,10.0,sym,0.3440587520599365,0.1265046092681975,0.06513371698533263,0.5034965034965035,0.06178659946428609,0.3064988290398126,0.5924872007966564,3.107114627561891,0.12484988993452709,0.053906350011069616,0.6145521145521146,0.09683465526927815,0.3785128805620609,0.6194314837006252,3.140482435279742,0.1265046092681975,0.06513371698533263,0.5034965034965035,0.06178659946428609,0.3064988290398126,0.5924872007966564,3.107114627561891
ml-1m,2,EASE,,0.0,,132.35724401474,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414
ml-1m,2,Lap-EASE,rp3beta,1.0,sym,0.44687557220458984,0.36370303337350085,0.22920999381721496,0.8810792804796802,0.22310931101710857,0.29361826697892274,0.7622954255155916,2.350499462793697,0.3658678894733905,0.20411384527676407,0.938707528314457,0.33122838277447103,0.3799765807962529,0.7544591612782028,2.516773885562826,0.36370303337350085,0.22920999381721496,0.8810792804796802,0.22310931101710857,0.29361826697892274,0.7622954255155916,2.350499462793697
ml-1m,2,GS-EASE,rp3beta,1.0,sym,0.3467423915863037,0.36371718010644916,0.2292131552898135,0.8812458361092604,0.2231426221430247,0.2939110070257611,0.7624745853362034,2.350579024416808,0.3658983063379311,0.20413316381351498,0.938707528314457,0.33129901469886713,0.3799765807962529,0.7543974535722975,2.5168868148745274,0.36371718010644916,0.2292131552898135,0.8812458361092604,0.2231426221430247,0.2939110070257611,0.7624745853362034,2.350579024416808
ml-1m,2,Lap-EASE,rp3beta,3.0,sym,0.4915504455566406,0.36575618115099756,0.23192852493231608,0.880413057961359,0.22283848865550335,0.272248243559719,0.7687892301189889,2.301203590309745,0.36659128907099714,0.20541068202714993,0.9367088607594937,0.32977211417930613,0.35392271662763464,0.7577167055434233,2.4703199256467574,0.36575618115099756,0.23192852493231608,0.880413057961359,0.22283848865550335,0.272248243559719,0.7687892301189889,2.301203590309745
ml-1m,2,GS-EASE,rp3beta,3.0,sym,0.3604261875152588,0.3657042039692658,0.2318785042670805,0.880413057961359,0.22283172901994275,0.272248243559719,0.7687210676753133,2.301402674463299,0.36657939773545756,0.2054006027104762,0.9367088607594937,0.32978570398199486,0.35392271662763464,0.7576775808132323,2.4704001517242333,0.3657042039692658,0.2318785042670805,0.880413057961359,0.22283172901994275,0.272248243559719,0.7687210676753133,2.301402674463299
ml-1m,2,Lap-EASE,rp3beta,10.0,sym,0.543656587600708,0.36354761772797367,0.23135939059754232,0.8745836109260493,0.2194093303567428,0.2338992974238876,0.781449621820747,2.2066893645246335,0.36180559948034996,0.20270650916192648,0.9322118587608261,0.3222745433561805,0.30415690866510536,0.7640772850182007,2.3766402720991167,0.36354761772797367,0.23135939059754232,0.8745836109260493,0.2194093303567428,0.2338992974238876,0.781449621820747,2.2066893645246335
ml-1m,2,GS-EASE,rp3beta,10.0,sym,0.36529970169067383,0.36364127879267727,0.2313905222901705,0.8749167221852099,0.21951423854168095,0.2338992974238876,0.7812382483434073,2.207097064596604,0.36182840965710444,0.2027304242705567,0.9322118587608261,0.3221817802114422,0.30415690866510536,0.7638543826092197,2.3771262203996377,0.36364127879267727,0.2313905222901705,0.8749167221852099,0.21951423854168095,0.2338992974238876,0.7812382483434073,2.207097064596604
ml-1m,2,Lap-EASE,p3alpha,1.0,sym,0.4826202392578125,0.36370851556341094,0.2292799300025732,0.8814123917388408,0.2231613705243821,0.2903981264637002,0.7610922691324065,2.347747069201989,0.3658531271784549,0.20417538667993204,0.9383744170552965,0.3310083477903209,0.3785128805620609,0.754902326007977,2.5137973115957806,0.36370851556341094,0.2292799300025732,0.8814123917388408,0.2231613705243821,0.2903981264637002,0.7610922691324065,2.347747069201989
