dataset,seed,model,w_source,gamma,normalise,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k
ml-1m,1,Lap-EASE,rp3beta,10.0,sym,0.47641992568969727,0.3627411517372894,0.23093255292305742,0.8714618714618715,0.2184424829668868,0.2459016393442623,0.7793633350776208,2.2361311528858754,0.36223622285045054,0.20363492639135905,0.9302364302364302,0.32202888921285633,0.321135831381733,0.7639887915184178,2.4070377720010834,0.3627411517372894,0.23093255292305742,0.8714618714618715,0.2184424829668868,0.2459016393442623,0.7793633350776208,2.2361311528858754
ml-1m,1,GS-EASE,rp3beta,10.0,sym,0.33411717414855957,0.3628073781360607,0.2309667205380074,0.8717948717948718,0.2185131815476967,0.2464871194379391,0.7796837762395958,2.236475402751741,0.36227944167361087,0.20365374560830857,0.9305694305694305,0.32210962288292877,0.32201405152224827,0.7644513365422456,2.407420892360098,0.3628073781360607,0.2309667205380074,0.8717948717948718,0.2185131815476967,0.2464871194379391,0.7796837762395958,2.236475402751741
ml-1m,1,Lap-EASE,binary,0.3,sym,0.4606459140777588,0.36400926878854817,0.22990196434853463,0.8777888777888778,0.2234769185057743,0.3059133489461358,0.761256000777532,2.3740468883952976,0.3652767034980328,0.20424030432605306,0.9358974358974359,0.3288913155539295,0.39344262295081966,0.7522862677996607,2.541696806166331,0.36400926878854817,0.22990196434853463,0.8777888777888778,0.2234769185057743,0.3059133489461358,0.761256000777532,2.3740468883952976
ml-1m,1,GS-EASE,binary,0.3,sym,0.3462226390838623,0.16553781162659062,0.08645770686020118,0.6307026307026307,0.10178741988398039,0.36211943793911006,0.6133860749867217,2.8837173151460487,0.17291131558956233,0.07775335275147682,0.7574092574092575,0.1594695964539709,0.43062060889929743,0.6459870403786105,2.921592757498433,0.16553781162659062,0.08645770686020118,0.6307026307026307,0.10178741988398039,0.36211943793911006,0.6133860749867217,2.8837173151460487
ml-1m,1,Lap-EASE,binary,1.0,sym,0.47579360008239746,0.3658111731993461,0.23182181596013793,0.8781218781218781,0.2236069058429276,0.2930327868852459,0.7629394248774868,2.34965392905281,0.3670156749459678,0.20591553998827639,0.935064935064935,0.3298624297890061,0.38144028103044497,0.754604400460118,2.5185639681648855,0.3658111731993461,0.23182181596013793,0.8781218781218781,0.2236069058429276,0.2930327868852459,0.7629394248774868,2.34965392905281
ml-1m,1,GS-EASE,binary,1.0,sym,0.4143078327178955,0.0967396389299121,0.048290326925531,0.4245754245754246,0.04998349039042472,0.35304449648711944,0.6091234912130434,2.9713218067929557,0.10017856389879122,0.0412830648529042,0.5592740592740593,0.08506315144901969,0.428864168618267,0.642864837096919,3.0034137691103053,0.0967396389299121,0.048290326925531,0.4245754245754246,0.04998349039042472,0.35304449648711944,0.6091234912130434,2.9713218067929557
ml-1m,1,Lap-EASE,binary,3.0,sym,0.5195670127868652,0.3671728497035843,0.23343848519939792,0.8764568764568764,0.2231794189682139,0.2666861826697892,0.7659694495040268,2.297809400632467,0.3677094844118125,0.20706099880861012,0.9353979353979354,0.3290280656404714,0.35099531615925056,0.7565873103821394,2.46833497356963,0.3671728497035843,0.23343848519939792,0.8764568764568764,0.2231794189682139,0.2666861826697892,0.7659694495040268,2.297809400632467
ml-1m,1,GS-EASE,binary,3.0,sym,0.34910058975219727,0.09140465709150598,0.045929291429574866,0.3981018981018981,0.043033926673332834,0.34660421545667447,0.6057543807543808,3.0215182368896594,0.0920429400483203,0.038138545581238886,0.518981018981019,0.07233824090753839,0.4230093676814988,0.6378597411815405,3.0541153199071345,0.09140465709150598,0.045929291429574866,0.3981018981018981,0.043033926673332834,0.34660421545667447,0.6057543807543808,3.0215182368896594
ml-1m,1,Lap-EASE,binary,10.0,sym,0.5119647979736328,0.3633999733935139,0.23173885766643704,0.86996336996337,0.21815400909072882,0.22482435597189696,0.7773354249916751,2.196928366639781,0.36201039774373495,0.20390745160057872,0.9270729270729271,0.3203503672824575,0.2965456674473068,0.7622115955778344,2.366937671399185,0.3633999733935139,0.23173885766643704,0.86996336996337,0.21815400909072882,0.22482435597189696,0.7773354249916751,2.196928366639781
ml-1m,1,GS-EASE,binary,10.0,sym,0.34882044792175293,0.11348564475935705,0.05800802372230944,0.46386946386946387,0.054383387944596684,0.3439695550351288,0.6013083653934719,3.0965270286214843,0.11153698952137484,0.047589045728323114,0.578088578088578,0.08551224425991168,0.42798594847775173,0.6320665085028971,3.1365399018930034,0.11348564475935705,0.05800802372230944,0.46386946386946387,0.054383387944596684,0.3439695550351288,0.6013083653934719,3.0965270286214843
ml-1m,1,Lap-EASE,itemknn,0.3,sym,0.842902421951294,0.3640473511892206,0.22993930976640725,0.8772893772893773,0.22341172653419172,0.3088407494145199,0.7623137999441318,2.376451993202307,0.36537367483400934,0.2042721927848807,0.9355644355644356,0.32904971193966387,0.39637002341920374,0.7529725936299054,2.5443926920332487,0.3640473511892206,0.22993930976640725,0.8772893772893773,0.22341172653419172,0.3088407494145199,0.7623137999441318,2.376451993202307
ml-1m,1,GS-EASE,itemknn,0.3,sym,0.5631144046783447,0.34527410996985186,0.21335179572778776,0.8682983682983683,0.21263440849669699,0.40105386416861827,0.7508396712776273,2.539071793694938,0.3486092336097728,0.19025760294859526,0.9272394272394272,0.31653728968357026,0.492096018735363,0.7442612909596849,2.693832302823079,0.34527410996985186,0.21335179572778776,0.8682983682983683,0.21263440849669699,0.40105386416861827,0.7508396712776273,2.539071793694938
ml-1m,1,Lap-EASE,itemknn,1.0,sym,0.7432596683502197,0.3658825770848197,0.23179336609892165,0.8782883782883782,0.22366946134321852,0.2994730679156909,0.7651181011884824,2.3558030090248687,0.3674940183656522,0.20618094066406242,0.9357309357309357,0.3304756289641464,0.38788056206088994,0.7562693407221708,2.5239999893345786,0.3658825770848197,0.23179336609892165,0.8782883782883782,0.22366946134321852,0.2994730679156909,0.7651181011884824,2.3558030090248687
ml-1m,1,GS-EASE,itemknn,1.0,sym,0.552452802658081,0.2762078873309619,0.1575908530769642,0.8141858141858141,0.17081224752825827,0.5035128805620609,0.697680420354839,2.8551352573007387,0.2819750520823953,0.1396512685702618,0.8962703962703963,0.26277574861371655,0.5922131147540983,0.7063806682689528,2.950335030848161,0.2762078873309619,0.1575908530769642,0.8141858141858141,0.17081224752825827,0.5035128805620609,0.697680420354839,2.8551352573007387
