dataset,seed,model,w_source,gamma,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,3,GS-EASE,itemknn,1.0,sym,q2,4400,0.03669594640090468,0.05333716364267434,0.1575,0.05019881801518069,0.09418160201340109,0.25727272727272726
ml-1m,3,GS-EASE,itemknn,1.0,sym,q3,2896,0.0072830335861355944,0.013343269122837117,0.028660220994475138,0.013422710666043029,0.0327386093410051,0.07009668508287292
ml-1m,3,GS-EASE,itemknn,1.0,sym,q4,1678,0.002027185442140401,0.0038594698904591634,0.006555423122765197,0.0032964742155198296,0.008106305692718089,0.013110846245530394
ml-1m,3,GS-EASE,itemknn,1.0,sym,q5,698,0.0015225937547091277,0.004297994269340974,0.004297994269340974,0.0018807599438208755,0.0057306590257879654,0.0057306590257879654
ml-1m,3,Lap-EASE,itemknn,3.0,sym,overall,6013,0.3621472178947772,0.21937173734415052,0.8691169133543988,0.3625095043467292,0.32502414611872493,0.9271578247131216
ml-1m,3,Lap-EASE,itemknn,3.0,sym,q1,5943,0.38420528697713474,0.28478964186564387,0.8746424364798923,0.4001285691256193,0.4172397397833236,0.9315160693252567
ml-1m,3,Lap-EASE,itemknn,3.0,sym,q2,4400,0.010079050138868291,0.01782840286153786,0.04477272727272727,0.018955063152989407,0.04461447097518208,0.10545454545454545
ml-1m,3,Lap-EASE,itemknn,3.0,sym,q3,2896,0.0007277844172051403,0.0015168705603788475,0.003107734806629834,0.0017941598149217438,0.004898010710254517,0.008977900552486187
ml-1m,3,Lap-EASE,itemknn,3.0,sym,q4,1678,0.0002979737783075089,0.0005959475566150178,0.0005959475566150178,0.0004550512298614005,0.0010429082240762813,0.0017878426698450535
ml-1m,3,Lap-EASE,itemknn,3.0,sym,q5,698,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,3,GS-EASE,itemknn,3.0,sym,overall,6013,0.20335359112791895,0.12298936689084371,0.7048062531182439,0.2108861379714762,0.19912088297011124,0.8245468152336604
