model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,train_time_s,seed,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
Hybrid-Score,0.7,200,0.3,200,9.501523733139038,3,0.3496074264760834,0.2188301145630256,0.8677864626642275,0.21432122213360877,0.31937939110070257,0.7710523014373227,2.362446685697967,0.350224925732511,0.1933449964668818,0.9215034092798936,0.3166270769482139,0.41978922716627637,0.7688420903941044,2.526247958849888,0.3496074264760834,0.2188301145630256,0.8677864626642275,0.21432122213360877,0.31937939110070257,0.7710523014373227,2.362446685697967,4374938.5,3.317291267638719e-33,6013,-1,-0.01238250204222481,0.0
Hybrid-Score,0.3,200,0.6,200,7.027384519577026,3,0.351009043087137,0.2207582601537267,0.8671212373191418,0.21508370589687367,0.29508196721311475,0.827543728007307,2.1718675789259754,0.35065934646528135,0.1943554357127364,0.9226675536337935,0.31566375747922554,0.3840749414519906,0.8198814915244612,2.330279422930546,0.351009043087137,0.2207582601537267,0.8671212373191418,0.21508370589687367,0.29508196721311475,0.827543728007307,2.1718675789259754,4271846.5,6.598948771949195e-23,6013,-1,-0.010980885431171244,0.0
Hybrid-Score,0.5,200,0.6,200,9.132460355758667,3,0.35418146534492667,0.22369426307458384,0.8684516880093132,0.21588105902210483,0.3120608899297424,0.7985294838044774,2.2786667089232866,0.35474639199208324,0.19756814117003396,0.9228338599700648,0.31970235283793047,0.4092505854800937,0.7927319134721693,2.4447136728782413,0.35418146534492667,0.22369426307458384,0.8684516880093132,0.21588105902210483,0.3120608899297424,0.7985294838044774,2.2786667089232866,4504495.5,1.014471904361761e-15,6013,-1,-0.007808463173381536,0.0
Hybrid-Score,0.7,200,0.6,200,6.824950933456421,3,0.3519941392917448,0.22121786153097278,0.8681190753367704,0.21518477615269074,0.3237704918032787,0.7742445918111722,2.362590582902069,0.3525677989272044,0.19532252458640953,0.9220023282887078,0.31859380083106714,0.42505854800936765,0.7709096773336375,2.529206667117543,0.3519941392917448,0.22121786153097278,0.8681190753367704,0.21518477615269074,0.3237704918032787,0.7742445918111722,2.362590582902069,4475130.0,2.011693357017644e-24,6013,-1,-0.009995789226563464,0.0
Hybrid-Score,0.3,500,0.3,200,6.851292610168457,3,0.3518442075301261,0.22154048196971562,0.8669549309828705,0.21507541495326493,0.24121779859484777,0.8225123478418122,2.1000186098970794,0.3513585654048913,0.1949200311356527,0.9234990853151505,0.31616580644028985,0.3225995316159251,0.8170240492242611,2.2545048742855296,0.3518442075301261,0.22154048196971562,0.8669549309828705,0.21507541495326493,0.24121779859484777,0.8225123478418122,2.1000186098970794,3628456.0,1.0723715612591553e-20,6013,-1,-0.010145720988182179,0.0
Hybrid-Score,0.5,500,0.3,200,8.20730710029602,3,0.36034108607634185,0.22925006362191572,0.8707799767171129,0.2192449821152887,0.27137002341920374,0.7983867747173465,2.2189974587111587,0.3596402864248423,0.20167141828801244,0.9246632296690503,0.3230316518131362,0.3588992974238876,0.7904505301048381,2.3836803381445564,0.36034108607634185,0.22925006362191572,0.8707799767171129,0.2192449821152887,0.27137002341920374,0.7983867747173465,2.2189974587111587,3493397.0,0.005169761142678568,6013,-1,-0.001648842441966355,0.0
Hybrid-Score,0.7,500,0.3,200,8.395724534988403,3,0.3615685562092322,0.23026387691034922,0.8724430400798271,0.21965704249591705,0.2892271662763466,0.7785852986545347,2.3016641613894393,0.3609566439286104,0.2028107515277423,0.9248295360053218,0.32354536483770246,0.3805620608899297,0.7722045184152284,2.4669846286589276,0.3615685562092322,0.23026387691034922,0.8724430400798271,0.21965704249591705,0.2892271662763466,0.7785852986545347,2.3016641613894393,3675786.5,0.2339258103391857,6013,-1,-0.000421372309076146,0.0
Hybrid-Score,0.3,500,0.6,200,7.958788633346558,3,0.3539991971054408,0.2235865082539104,0.868784300681856,0.21554824413926438,0.2778103044496487,0.8311646508083907,2.1425133988982106,0.35391939082942664,0.1970207469531646,0.9263262930317645,0.31771981875576105,0.35802107728337235,0.8186805122017586,2.3047884664081604,0.3539991971054408,0.2235865082539104,0.868784300681856,0.21554824413926438,0.2778103044496487,0.8311646508083907,2.1425133988982106,3841714.0,1.3490302781188498e-14,6013,-1,-0.00799073141286747,0.0
Hybrid-Score,0.5,500,0.6,200,7.539484024047852,3,0.3610765877745466,0.23017303128851124,0.8699484450357559,0.21903854092830002,0.2854215456674473,0.8024387161150839,2.233509119274509,0.36090190806850575,0.20272695655444772,0.9269915183768501,0.3236914827985045,0.3747072599531616,0.7932864080949609,2.4012152826817728,0.3610765877745466,0.23017303128851124,0.8699484450357559,0.21903854092830002,0.2854215456674473,0.8024387161150839,2.233509119274509,3513255.5,0.08561790309633795,6013,-1,-0.0009133407437616316,0.0
Hybrid-Score,0.7,500,0.6,200,7.163456916809082,3,0.3624551230668748,0.23120260023246014,0.87161150839847,0.22009373008810088,0.29508196721311475,0.7813183538840449,2.3048827365280995,0.36171071583393455,0.20349922179807794,0.9256610676866789,0.32435943838663905,0.38466042154566743,0.7731565246380179,2.4712924845453093,0.3624551230668748,0.23120260023246014,0.87161150839847,0.22009373008810088,0.29508196721311475,0.7813183538840449,2.3048827365280995,3550156.0,0.6707290407516163,6013,1,0.000465194548566517,0.0
