model,ease_lambda,rp3_beta,rp3_topK,gamma,bucket,NDCG@10_mean,NDCG@10_std,NDCG@10_count,Recall@10_mean,Recall@10_std,Recall@10_count,HitRate@10_mean,HitRate@10_std,HitRate@10_count,NDCG@20_mean,NDCG@20_std,NDCG@20_count,Recall@20_mean,Recall@20_std,Recall@20_count,HitRate@20_mean,HitRate@20_std,HitRate@20_count,n_users_mean,n_users_std,n_users_count
Hybrid-GraphReg,200,0.6,200,0.1,overall,0.34349523304931046,0.002446124449661308,5,0.21494717534032542,0.0023516007969556036,5,0.8730581354001054,0.00623375551690127,5,0.3469321607026723,0.0026561777321554513,5,0.3175121874356839,0.003322799739746489,5,0.9304879582245238,0.006766390754460112,5,6007.4,3.4351128074635104,5
Hybrid-GraphReg,200,0.6,200,0.1,q1,0.35704861181930136,0.00232523994343602,5,0.2708357078472249,0.001629997209409609,5,0.8713064449644558,0.005580862769141761,5,0.37350767661349904,0.002510524927429791,5,0.3943761765644562,0.0034215969475199334,5,0.928163587415211,0.006341275784472507,5,5941.2,4.147288270665454,5
Hybrid-GraphReg,200,0.6,200,0.1,q2,0.02142517751997269,0.0008889755304086588,5,0.03565037987948931,0.0019529113652074013,5,0.09539229246787387,0.004761999289312155,5,0.03497873467059548,0.0007128130104087486,5,0.076091763200443,0.0015647225214454788,5,0.19542134483946044,0.004317492231152493,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,200,0.6,200,0.1,q3,0.0052720465573959496,0.000835998105964683,5,0.010129667082136045,0.0017075881347786172,5,0.01892918644336105,0.0027686077430756377,5,0.009245637629288397,0.001125905442166881,5,0.02295465164615785,0.0023828814225272795,5,0.04392092542513397,0.004877131037443631,5,2896.4,24.795160818191906,5
Hybrid-GraphReg,200,0.6,200,0.1,q4,0.0017964389959913955,0.0007027208276575497,5,0.003480254464398007,0.001515013779904468,5,0.005485059198153085,0.0012831993958701006,5,0.0027863081513174516,0.0005296825621396357,5,0.0070785642995516455,0.0011325530258227974,5,0.010313275114631749,0.0007591720767516571,5,1647.8,38.15363678602605,5
Hybrid-GraphReg,200,0.6,200,0.1,q5,0.001933781075039363,0.0012261620789559117,5,0.0035648687820853267,0.0020657599332606223,5,0.004080068795852676,0.0026171100046163535,5,0.0022712405096366613,0.0013203324552484787,5,0.004875513127589954,0.002621516669077496,5,0.005540863291507453,0.0033787349266460025,5,690.4,16.379865689315046,5
Hybrid-GraphReg,200,0.6,200,0.3,overall,0.32791307198509834,0.002762493197907855,5,0.20681712416416692,0.003174102735176239,5,0.8624372573793504,0.005708382433971731,5,0.33291762885546666,0.0023882458542386943,5,0.307737410903154,0.0025104652165613846,5,0.9235294970429786,0.00609807932413553,5,6007.4,3.4351128074635104,5
Hybrid-GraphReg,200,0.6,200,0.3,q1,0.3344330462127973,0.0024463897649446083,5,0.25498137860560516,0.002211817107895086,5,0.8535316071771227,0.00517501903005191,5,0.3515145086658752,0.0021971066227154004,5,0.37462899175451775,0.002918993577383294,5,0.9167515382456008,0.00523746976547108,5,5941.2,4.147288270665454,5
Hybrid-GraphReg,200,0.6,200,0.3,q2,0.027146198093774842,0.0013436770858428122,5,0.04306286642500181,0.0029685656231813215,5,0.12201155809996085,0.006115076848849007,5,0.04184817521131723,0.0012770321612404635,5,0.08722435004393964,0.0021747739201853286,5,0.22825431337551372,0.0034705634560005093,5,4440.2,45.146428430164846,5
Hybrid-GraphReg,200,0.6,200,0.3,q3,0.010332005965282828,0.0012267101740406825,5,0.01778599838872614,0.001928534010690973,5,0.0392338454380384,0.0041887051303971315,5,0.01583970851590121,0.0017110450714680242,5,0.03537407556204569,0.003483552872807978,5,0.07333809427016762,0.0050777429326133265,5,2896.4,24.795160818191906,5
