dataset,seed,split_mode,graph_source,kernel,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff,kernel_build_s
ml-1m,1,random,rp3beta,heat,1.0,139.73037385940552,0.36579152018374533,0.23182206894579344,0.8781218781218781,0.22366071986471805,0.29361826697892274,0.7637967217229429,2.348290778203875,0.36704286047058154,0.2059239087950686,0.9355644355644356,0.32994427913811897,0.3834894613583138,0.7565193585040912,2.5168506864166584,0.36579152018374533,0.23182206894579344,0.8781218781218781,0.22366071986471805,0.29361826697892274,0.7637967217229429,2.348290778203875,2468906.0,2.3129983961505527e-15,6006,1,0.00344263269233584,0.0,4.895588636398315
ml-1m,1,random,rp3beta,heat,3.0,136.1819007396698,0.3671732460517042,0.23342612015514505,0.8762903762903763,0.22343354779913796,0.26785714285714285,0.7690856320364519,2.292282476406682,0.3674319547965201,0.2069237685974766,0.9340659340659341,0.3288443611195119,0.3553864168618267,0.7614039036197191,2.463124567696429,0.3671732460517042,0.23342612015514505,0.8762903762903763,0.22343354779913796,0.26785714285714285,0.7690856320364519,2.292282476406682,4187681.0,7.142968368982037e-12,6006,1,0.004824358560294731,0.0,4.895588636398315
ml-1m,1,random,rp3beta,heat,10.0,136.25618839263916,0.36261766132976225,0.231079776993184,0.8696303696303697,0.21815737423161974,0.22892271662763466,0.7872186211060892,2.181244846280183,0.36058377239459793,0.20288425005584773,0.9262404262404262,0.3189196807785249,0.303864168618267,0.7735932660788154,2.3516354813766953,0.36261766132976225,0.231079776993184,0.8696303696303697,0.21815737423161974,0.22892271662763466,0.7872186211060892,2.181244846280183,5881551.5,0.9976599970255559,6006,1,0.00026877383835275563,0.0,4.895588636398315
ml-1m,1,random,rp3beta,p_step_2,1.0,136.3713150024414,0.36537371553916076,0.2315590269204215,0.8779553779553779,0.22317294509264918,0.2842505854800937,0.7645127958207258,2.3295599617167593,0.36637078894581254,0.20550186477782695,0.9352314352314353,0.32909365846749183,0.3706088992974239,0.7560647356855887,2.4983083504616115,0.36537371553916076,0.2315590269204215,0.8779553779553779,0.22317294509264918,0.2842505854800937,0.7645127958207258,2.3295599617167593,2727139.5,7.69612986040965e-12,6006,1,0.0030248280477512576,0.0,0.5099022388458252
ml-1m,1,random,rp3beta,p_step_2,3.0,137.8827166557312,0.36654682080103945,0.23318491633188346,0.8741258741258742,0.22250578573334942,0.25585480093676816,0.7751927325153869,2.254288957045347,0.36616062147415557,0.20614291092470158,0.9330669330669331,0.3267514979394492,0.33899297423887587,0.7664797206247984,2.423630684692011,0.36654682080103945,0.23318491633188346,0.8741258741258742,0.22250578573334942,0.25585480093676816,0.7751927325153869,2.254288957045347,4449874.0,5.1475794872741215e-08,6006,1,0.00419793330962998,0.0,0.5099022388458252
ml-1m,1,random,rp3beta,p_step_2,10.0,138.9142370223999,0.35925323631675443,0.22855021949055393,0.8667998667998668,0.21467419931419934,0.20901639344262296,0.7989604233301713,2.108129985904779,0.3571382654229388,0.20036710244329514,0.9234099234099234,0.31496296673568214,0.2848360655737705,0.7901943551481063,2.274695900735562,0.35925323631675443,0.22855021949055393,0.8667998667998668,0.21467419931419934,0.20901639344262296,0.7989604233301713,2.108129985904779,5751007.5,0.016041570947921965,6006,-1,-0.0030956511746550296,0.0,0.5099022388458252
ml-1m,1,random,rp3beta,inv_cosine,1.0,137.3904893398285,0.3658273745973296,0.23187742212331214,0.8777888777888778,0.22364665860086386,0.29420374707259955,0.763975692632409,2.348953224270916,0.36713699273856526,0.20600225871924438,0.9353979353979354,0.3299983785491426,0.3840749414519906,0.7565067046774363,2.5176573717659747,0.3658273745973296,0.23187742212331214,0.8777888777888778,0.22364665860086386,0.29420374707259955,0.763975692632409,2.348953224270916,2428016.5,1.1757121605000105e-15,6006,1,0.003478487105920128,0.0,4.494001626968384
ml-1m,1,random,rp3beta,inv_cosine,3.0,142.25743746757507,0.3670656889161279,0.23333574137712462,0.8762903762903763,0.22337624070716522,0.2687353629976581,0.7690376072729013,2.293944067622887,0.3676041649181833,0.20699615256022136,0.9347319347319347,0.32928859933473764,0.3562646370023419,0.7613402894010945,2.4645377794320447,0.3670656889161279,0.23333574137712462,0.8762903762903763,0.22337624070716522,0.2687353629976581,0.7690376072729013,2.293944067622887,4160389.0,1.0356974583270618e-11,6006,1,0.0047168014247184285,0.0,4.494001626968384
ml-1m,1,random,rp3beta,inv_cosine,10.0,137.19698977470398,0.3628562011535077,0.23130342879279953,0.8697968697968698,0.21829412721134694,0.23214285714285715,0.7889483782295887,2.1835176147284154,0.36106467066528486,0.20317857208050477,0.9269064269064269,0.31963316633696953,0.305327868852459,0.7734743205021248,2.3541194123872398,0.3628562011535077,0.23130342879279953,0.8697968697968698,0.21829412721134694,0.23214285714285715,0.7889483782295887,2.1835176147284154,5837504.0,0.7975985552363263,6006,1,0.0005073136620982137,0.0,4.494001626968384
ml-1m,2,random,-,EASE,0.0,141.69469165802002,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,,
