dataset,seed,family,kind,param,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,3,EASE,-,0.0,153.36272764205933,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,,,0,0,,
ml-1m,3,HeatGram,heat,0.5,155.89912033081055,0.341949876825339,0.21655550972074988,0.8491601530018293,0.2010742797102035,0.303864168618267,0.7862193250526237,2.369307489311171,0.34034157893713646,0.188626264840529,0.9093630467320805,0.30009980740095354,0.4036885245901639,0.7832459330623629,2.5185716386510437,0.341949876825339,0.21655550972074988,0.8491601530018293,0.2010742797102035,0.303864168618267,0.7862193250526237,2.369307489311171,5480987.0,1.2344334884172646e-21,6013,-1,-0.015112383041254947,0.0
ml-1m,3,HeatGram,heat,1.0,154.9894425868988,0.3353625254341154,0.21154159510445097,0.840512223515716,0.1948757695738121,0.24180327868852458,0.800025046620136,2.2149983488811427,0.33270157314619997,0.1832604867788461,0.9037086312988525,0.29150447694602855,0.3252341920374707,0.7920144816743442,2.369391800728177,0.3353625254341154,0.21154159510445097,0.840512223515716,0.1948757695738121,0.24180327868852458,0.800025046620136,2.2149983488811427,5252830.0,2.829033564849078e-36,6013,-1,-0.021699734432478544,0.0
ml-1m,3,HeatGram,heat,2.0,155.97657942771912,0.3046130639128001,0.18772333327236693,0.8024280725095626,0.17275684805818184,0.13817330210772832,0.8252427649696843,1.9216966417853738,0.29888802791058644,0.1596799580333379,0.875270247796441,0.2553859762158263,0.19730679156908665,0.8191147913447667,2.070786169401705,0.3046130639128001,0.18772333327236693,0.8024280725095626,0.17275684805818184,0.13817330210772832,0.8252427649696843,1.9216966417853738,4194496.5,1.4829102042918076e-123,6013,-1,-0.05244919595379384,-0.022880091740805075
ml-1m,3,HeatGram,ppr,0.3,156.7534682750702,0.3622603708962369,0.23103573456595283,0.8697821386994844,0.21941187487000066,0.275175644028103,0.7678411314492359,2.307471423594056,0.3622361475879076,0.20390717414940018,0.9254947613504074,0.3241484235298429,0.36563231850117095,0.761176950873854,2.4780889896316567,0.3622603708962369,0.23103573456595283,0.8697821386994844,0.21941187487000066,0.275175644028103,0.7678411314492359,2.307471423594056,3697953.5,2.328213401203119e-12,6013,1,0.005198111029642945,0.0
ml-1m,3,HeatGram,ppr,0.5,153.23593997955322,0.36097930762067487,0.231254572900481,0.8684516880093132,0.21637150454369694,0.24502341920374707,0.779609571535667,2.2272087887113874,0.36038365124988125,0.20328280933826667,0.9254947613504074,0.3211412014056294,0.32172131147540983,0.7658967293642058,2.3983966160482617,0.36097930762067487,0.231254572900481,0.8684516880093132,0.21637150454369694,0.24502341920374707,0.779609571535667,2.2272087887113874,5187957.5,0.0012747977583327998,6013,1,0.003917047754080932,0.0
ml-1m,3,HeatGram,ppr,0.7,153.15574598312378,0.34989462799227095,0.22336169934801964,0.8536504240811575,0.20617866117980704,0.19818501170960187,0.7960362592030412,2.100781571771808,0.3471352119763215,0.19436245217177328,0.9148511558290371,0.3045855165043157,0.2666861826697892,0.7819234687814163,2.268594551644965,0.34989462799227095,0.22336169934801964,0.8536504240811575,0.20617866117980704,0.19818501170960187,0.7960362592030412,2.100781571771808,5633669.5,1.0387253269308028e-07,6013,-1,-0.007167631874323016,0.0
ml-1m,4,EASE,-,0.0,154.12871718406677,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,0.36241559929929296,0.20251274440390268,0.9302364302364302,0.32716994336340544,0.3984192037470726,0.7506592966181505,2.5499964162059165,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,,,0,0,,
ml-1m,4,HeatGram,heat,0.5,152.81761932373047,0.3479292895172051,0.22067806796902603,0.8519813519813519,0.20597990259762536,0.3047423887587822,0.7874042704013886,2.363190762430469,0.3469965190600229,0.19332531036169262,0.914918414918415,0.306837217748429,0.40485948477751754,0.7843811888280436,2.51613796757188,0.3479292895172051,0.22067806796902603,0.8519813519813519,0.20597990259762536,0.3047423887587822,0.7874042704013886,2.363190762430469,5787556.5,7.1024372483410834e-12,6006,-1,-0.01229068155407313,0.0
ml-1m,4,HeatGram,heat,1.0,153.40438055992126,0.34053479604976683,0.2151453294962365,0.8433233433233434,0.19891488409578295,0.24473067915690866,0.8024414182308919,2.2100754769486453,0.3384997033166,0.18755051585398771,0.9077589077589078,0.29651342887842924,0.3261124121779859,0.7940842819657898,2.3666199597425766,0.34053479604976683,0.2151453294962365,0.8433233433233434,0.19891488409578295,0.24473067915690866,0.8024414182308919,2.2100754769486453,5394759.5,6.219706875085484e-30,6006,-1,-0.01968517502151135,0.0
ml-1m,4,HeatGram,heat,2.0,153.02825903892517,0.3069959450107292,0.18907835073509674,0.8068598068598068,0.17430231940790364,0.13963700234192036,0.8278927920437356,1.9179943516633877,0.3017756204927307,0.16177256613067562,0.8766233766233766,0.2562957845872675,0.19642857142857142,0.8187201521776781,2.068310459647672,0.3069959450107292,0.18907835073509674,0.8068598068598068,0.17430231940790364,0.13963700234192036,0.8278927920437356,1.9179943516633877,4189023.0,3.875710977605243e-130,6006,-1,-0.053224026060549004,-0.030708984953163945
ml-1m,4,HeatGram,ppr,0.3,152.35632133483887,0.36713896559935555,0.2337243193471935,0.8747918747918748,0.22420185902278553,0.27546838407494145,0.7696022362334796,2.3015264450069193,0.3675155926229617,0.20773409699640008,0.9304029304029304,0.3292445531494965,0.36416861826697894,0.7604118684102608,2.476577172528586,0.36713896559935555,0.2337243193471935,0.8747918747918748,0.22420185902278553,0.27546838407494145,0.7696022362334796,2.3015264450069193,3576167.5,4.672568879361073e-24,6006,1,0.006918994528077352,0.0
ml-1m,4,HeatGram,ppr,0.5,150.6829376220703,0.3668858815577203,0.23473213740362264,0.8712953712953713,0.22185260626916725,0.24707259953161592,0.7831489205896789,2.222202229193379,0.3647919627009441,0.20681910724097427,0.9262404262404262,0.323435585718625,0.3255269320843091,0.7691489116399188,2.3967194855392906,0.3668858815577203,0.23473213740362264,0.8712953712953713,0.22185260626916725,0.24707259953161592,0.7831489205896789,2.222202229193379,5015877.5,1.7431110883195645e-09,6006,1,0.006665910486442111,0.0
ml-1m,4,HeatGram,ppr,0.7,151.17104721069336,0.35511408557586077,0.22653281945232057,0.8574758574758575,0.21062898192438567,0.20140515222482436,0.8007256793594004,2.095147484195449,0.35243930069612117,0.19810127269862676,0.9185814185814186,0.3094112481996962,0.2701990632318501,0.7856132852340871,2.2671199112619966,0.35511408557586077,0.22653281945232057,0.8574758574758575,0.21062898192438567,0.20140515222482436,0.8007256793594004,2.095147484195449,5830853.5,5.6901803009276074e-05,6006,-1,-0.005105885495417407,0.0
