dataset,lambda,rp3_beta,rp3_topK,graph_source,normalise,gamma,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,500,0.3,200,rp3beta,none,1.0,132.11438584327698,0.1155714117094535,0.055991363559021054,0.5059593755245929,0.0897606856021024,0.3349926793557833,0.740719298327994,2.3986542555541335,0.13214767298941257,0.0539251062905661,0.6765150243411113,0.15455696244618178,0.4289897510980966,0.7395843476656654,2.5642984516776273,0.1155714117094535,0.055991363559021054,0.5059593755245929,0.0897606856021024,0.3349926793557833,0.740719298327994,2.3986542555541335,1180951.0,4.336396245958762e-06,5957,1,0.002287614300016615,0.0
ml-1m,500,0.3,200,rp3beta,none,3.0,131.70220041275024,0.11711215968807095,0.05711028413908479,0.5056236360584186,0.08981980895346384,0.3124450951683748,0.7461226575525095,2.3427416155979097,0.13330618824420384,0.05476156787632144,0.6743327178109787,0.15447036744004158,0.4011713030746706,0.7439160577814972,2.5063089381367436,0.11711215968807095,0.05711028413908479,0.5056236360584186,0.08981980895346384,0.3124450951683748,0.7461226575525095,2.3427416155979097,1663516.5,3.2492890586738126e-07,5957,1,0.003828362278634102,0.0
ml-1m,500,0.3,200,rp3beta,none,10.0,132.22319674491882,0.11930834949084915,0.05870892129506444,0.507470203122377,0.08888887384371658,0.27584187408491945,0.7657003642880131,2.225758260299498,0.1336298035662602,0.05544013888366387,0.669464495551452,0.1504215718507421,0.34904831625183014,0.7562200946830362,2.3848515898025746,0.11930834949084915,0.05870892129506444,0.507470203122377,0.08888887384371658,0.27584187408491945,0.7657003642880131,2.225758260299498,2087886.5,8.217701532124626e-09,5957,1,0.006024552081412267,0.0
ml-1m,500,0.3,200,rp3beta,none,30.0,131.702556848526,0.1202739433367663,0.059206793544082814,0.5052878965922444,0.08534718947932976,0.20849194729136164,0.7800730139030092,2.050301144333933,0.13353559629128114,0.0551643826676964,0.6629175759610543,0.14525088730617206,0.2726207906295754,0.7713947811085062,2.2070954991540366,0.1202739433367663,0.059206793544082814,0.5052878965922444,0.08534718947932976,0.20849194729136164,0.7800730139030092,2.050301144333933,2491574.0,1.0257824128589738e-07,5957,1,0.0069901459273294326,0.0
ml-1m,500,0.3,200,rp3beta,none,50.0,131.37481141090393,0.12079196579237561,0.059267314489881776,0.5076380728554641,0.08397151620251435,0.1765739385065886,0.7917097963820869,1.9471449427893222,0.13307150859957792,0.05468910567648877,0.6610710088970958,0.14224583501839563,0.23221083455344071,0.7809929335945016,2.1018338207710356,0.12079196579237561,0.059267314489881776,0.5076380728554641,0.08397151620251435,0.1765739385065886,0.7917097963820869,1.9471449427893222,2596974.0,6.393188828824278e-08,5957,1,0.007508168382938749,0.0
ml-1m,500,0.3,200,rp3beta,none,75.0,132.04932618141174,0.12012590876561874,0.058920854189635614,0.5056236360584186,0.08132147140296232,0.1493411420204978,0.8002642467092596,1.8558467077409735,0.1317463810478261,0.054057766798252666,0.6562027866375693,0.13785358854058372,0.20263543191800878,0.7936855751382015,2.008382125998183,0.12012590876561874,0.058920854189635614,0.5056236360584186,0.08132147140296232,0.1493411420204978,0.8002642467092596,1.8558467077409735,2752245.5,1.613485746506517e-06,5957,1,0.006842111356181873,0.0
ml-1m,500,0.3,200,rp3beta,none,100.0,131.55563688278198,0.11923283671999695,0.05842798435503996,0.5039449387275474,0.0794960550863112,0.12796486090775988,0.8051978154654504,1.783822306710668,0.12977576290551746,0.05313887920538853,0.650495215712607,0.13324389414877869,0.175402635431918,0.7977155984051534,1.9351037035191396,0.11923283671999695,0.05842798435503996,0.5039449387275474,0.0794960550863112,0.12796486090775988,0.8051978154654504,1.783822306710668,2934899.5,5.986493444858665e-05,5957,1,0.005949039310560062,0.0
ml-1m,500,0.3,200,rp3beta,none,200.0,131.6290156841278,0.1162569197475233,0.057338362970017806,0.4888366627497062,0.0718985347030966,0.08550512445095168,0.8219532218341035,1.6113815338331805,0.12419802051875176,0.05106502371347429,0.6271613228134967,0.12027649703455925,0.11771595900439238,0.8073670592814006,1.762713838250696,0.1162569197475233,0.057338362970017806,0.4888366627497062,0.0718985347030966,0.08550512445095168,0.8219532218341035,1.6113815338331805,3240558.5,0.05337293479625704,5957,1,0.0029731223380864108,0.0
ml-1m,500,0.3,200,rp3beta,none,500.0,131.39933252334595,0.10843250660047933,0.05354073796934638,0.45257680040288734,0.06324267216742252,0.04685212298682284,0.8139594174920262,1.4623146519326415,0.112758896554932,0.04588919701670736,0.5825079738123217,0.1032330676945082,0.06939970717423133,0.7980362074473246,1.6169428795389125,0.10843250660047933,0.05354073796934638,0.45257680040288734,0.06324267216742252,0.04685212298682284,0.8139594174920262,1.4623146519326415,3272363.0,0.02496166434462665,5957,-1,-0.0048512908089575445,0.0
ml-1m,500,0.3,200,rp3beta,none,1000.0,131.98068928718567,0.09963636974442017,0.04856928536683047,0.4267248615074702,0.05602530250401023,0.0404099560761347,0.8177572117080623,1.4248857717873322,0.10502298576755223,0.04143177743718996,0.5642101729058251,0.0973103558015625,0.06237188872620791,0.8040758455945227,1.5837084349050587,0.09963636974442017,0.04856928536683047,0.4267248615074702,0.05602530250401023,0.0404099560761347,0.8177572117080623,1.4248857717873322,3004412.5,2.8422271493208598e-11,5957,-1,-0.013647427665016688,0.0
