dataset,seed,family,config,lambda,alpha_T,alpha,lambda_T,train_time_s,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,1,AddEASE,"alpha=0.3,lambdaT=10.0",500,0.0,0.3,10.0,133.25750207901,0.30707836387360776,0.17840588400324792,0.855977355977356,0.19837211191678836,0.3629976580796253,0.7387468445532963,2.6541159289297127,0.3087674510211135,0.15785135472812947,0.9237429237429238,0.2892088045233987,0.4689695550351288,0.7268434644839141,2.879519234442717,0.30707836387360776,0.17840588400324792,0.855977355977356,0.19837211191678836,0.3629976580796253,0.7387468445532963,2.6541159289297127,3138541.0,1.1436529533415083e-179,6006,-1,-0.055270523617801735,-0.012144045524286273
ml-1m,1,AddEASE,"alpha=0.5,lambdaT=10.0",500,0.0,0.5,10.0,132.21788573265076,0.34643511938434846,0.21265007757212973,0.8731268731268731,0.2159891162782817,0.3387002341920375,0.7460761364823596,2.489838181831927,0.3476887353347693,0.1880279720506685,0.9330669330669331,0.3179456047652649,0.43471896955503514,0.733550243247213,2.6826787350843273,0.34643511938434846,0.21265007757212973,0.8731268731268731,0.2159891162782817,0.3387002341920375,0.7460761364823596,2.489838181831927,3636254.0,8.147990569391181e-38,6006,-1,-0.015913768107060997,0.0
ml-1m,1,AddEASE,"alpha=0.7,lambdaT=10.0",500,0.0,0.7,10.0,132.00689458847046,0.35933022338858345,0.22512533964418885,0.8754578754578755,0.2212549971676271,0.32172131147540983,0.7521196122651992,2.4244794881476386,0.36088550452988744,0.19988659444746137,0.9345654345654346,0.3265612652865954,0.41978922716627637,0.74473112893615,2.6041774002743487,0.35933022338858345,0.22512533964418885,0.8754578754578755,0.2212549971676271,0.32172131147540983,0.7521196122651992,2.4244794881476386,3018836.0,0.0037424574979010835,6006,-1,-0.0030186641028260536,0.0
ml-1m,2,EASE,baseline,500,0.0,0.0,0.0,135.0334713459015,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,
ml-1m,2,CEASE,alpha_T=0.1,500,0.1,0.0,0.0,131.99321866035461,0.35896469054503655,0.22441428595243215,0.8794137241838774,0.2220663798265617,0.3079625292740047,0.7573287010180794,2.385322179478928,0.36187578556699523,0.20035645103885916,0.9392071952031978,0.3290242148148514,0.40076112412177983,0.7527641908072973,2.5500241016661684,0.35896469054503655,0.22441428595243215,0.8794137241838774,0.2220663798265617,0.3079625292740047,0.7573287010180794,2.385322179478928,4080.5,0.04249550844764681,6004,1,9.998539330735528e-05,0.0
ml-1m,2,CEASE,alpha_T=1.0,500,1.0,0.0,0.0,131.90791034698486,0.35895642279712253,0.2245214480448828,0.8784143904063957,0.2220410116821016,0.3088407494145199,0.7577019427806424,2.3860072855479166,0.3620060443622419,0.20046865938701136,0.9395403064623584,0.3294576609521277,0.405152224824356,0.7545187962360351,2.551812948438516,0.35895642279712253,0.2245214480448828,0.8784143904063957,0.2220410116821016,0.3088407494145199,0.7577019427806424,2.3860072855479166,161471.0,0.03605076283753972,6004,1,9.171764539339646e-05,0.0
ml-1m,2,CEASE,alpha_T=5.0,500,5.0,0.0,0.0,132.66177344322205,0.3597398242816331,0.2253101499038434,0.8779147235176549,0.2221404450945889,0.31440281030444966,0.7598402120498189,2.3898550212460172,0.3626934778847663,0.20089261594596913,0.939873417721519,0.33030585680077806,0.41569086651053866,0.758333388069925,2.557196178889399,0.3597398242816331,0.2253101499038434,0.8779147235176549,0.2221404450945889,0.31440281030444966,0.7598402120498189,2.3898550212460172,682353.0,0.0002581605502408893,6004,1,0.0008751191299039258,0.0
ml-1m,2,AddEASE,"alpha=0.3,lambdaT=1.0",500,0.0,0.3,1.0,134.02413249015808,0.2988414897953676,0.17152878785437242,0.8504330446369087,0.1944594164219687,0.3638758782201405,0.7374368817141481,2.684894882691233,0.3013351897089649,0.1519169178129941,0.9217188540972685,0.28635784193296193,0.4642857142857143,0.7228041015951536,2.9134373939221,0.2988414897953676,0.17152878785437242,0.8504330446369087,0.1944594164219687,0.3638758782201405,0.7374368817141481,2.684894882691233,2991954.5,6.008571689047755e-203,6004,-1,-0.06002321535636149,-0.017107918043312215
ml-1m,2,AddEASE,"alpha=0.5,lambdaT=1.0",500,0.0,0.5,1.0,132.1198320388794,0.3397339333688158,0.20620401948377742,0.8725849433710859,0.2134092764660966,0.3407494145199063,0.7466021220675334,2.5011568985040142,0.3429998876114872,0.18329884685852046,0.9358760826115923,0.31744257757803185,0.43881733021077285,0.7351381600614044,2.693364884898329,0.3397339333688158,0.20620401948377742,0.8725849433710859,0.2134092764660966,0.3407494145199063,0.7466021220675334,2.5011568985040142,3503557.5,1.793970859466015e-53,6004,-1,-0.01913077178291337,0.0
ml-1m,2,AddEASE,"alpha=0.7,lambdaT=1.0",500,0.0,0.7,1.0,132.24111366271973,0.35557177536163753,0.2206766143055046,0.8782478347768155,0.22074125538786585,0.3190866510538642,0.74954660195955,2.4281971606769286,0.3583771780292317,0.19663708169608884,0.9385409726848768,0.32738631386157574,0.42066744730679156,0.7456669457661489,2.6048506472442314,0.35557177536163753,0.2206766143055046,0.8782478347768155,0.22074125538786585,0.3190866510538642,0.74954660195955,2.4281971606769286,3078142.5,0.00010814409373469442,6004,-1,-0.003292929790091663,0.0
