dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,1,EDLAE-Laplacian,0.75,0.1,rp3beta,sym,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,overall,6006,0.3612612598756217,0.21689023175285857,0.8679653679653679,0.35867445690831307,0.31628386455769264,0.927905427905428
ml-1m,1,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q1,5944,0.3847914209519842,0.28395184378727484,0.8733176312247645,0.3990483739751651,0.41202757223777614,0.9323687752355316
ml-1m,1,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q2,4502,0.00552125249930009,0.010861797576035693,0.02154597956463794,0.010245804690569946,0.02581110866818595,0.04997778764993336
ml-1m,1,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q3,2861,0.00027273947841022743,0.00029127344751252475,0.0006990562740300594,0.0011429873809435586,0.003387510194570663,0.005941978329255505
ml-1m,1,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.75,0.3,rp3beta,sym,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,overall,6006,0.35908870688513134,0.21459720156216308,0.8651348651348651,0.3562879737002685,0.313341530120037,0.9262404262404262
ml-1m,1,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q1,5944,0.38266967323714535,0.2813283578444725,0.8709623149394348,0.3966253577273225,0.40868778649904625,0.9310228802153432
ml-1m,1,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q2,4502,0.004865421966490395,0.009379652074565446,0.018658374055975122,0.009413884111139763,0.023829583902050835,0.04486894713460684
ml-1m,1,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q3,2861,0.0002689875689524795,0.00029127344751252475,0.0006990562740300594,0.0011584598851814597,0.003667132704182687,0.005941978329255505
ml-1m,1,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.75,1.0,rp3beta,sym,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,overall,6006,0.3526313072655341,0.20968918590630575,0.8606393606393606,0.3495253432639541,0.3068945013513182,0.9215784215784216
ml-1m,1,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q1,5944,0.37618204622940016,0.27560618787822905,0.8674293405114402,0.3896941746185459,0.401040821198664,0.926985195154778
ml-1m,1,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q2,4502,0.0033366173491673136,0.00605622288763115,0.01332741003998223,0.007310782485389101,0.01891881635508651,0.03398489560195469
ml-1m,1,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q3,2861,0.00010715609800165298,0.00017476406850751484,0.0003495281370150297,0.0003672339167342978,0.001165093790050099,0.0017476406850751485
ml-1m,1,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.75,3.0,rp3beta,sym,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,overall,6006,0.33579714110421144,0.1968928339687608,0.8431568431568431,0.33117172998051797,0.2869621528768791,0.9085914085914086
ml-1m,1,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q1,5944,0.3578904825017364,0.2580225266784851,0.8509421265141319,0.3698600203571929,0.37760038372467836,0.9157133243606999
ml-1m,1,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q2,4502,0.0019148818946900018,0.0035776868129156,0.007774322523322968,0.0037037983596745327,0.009113147945888949,0.016881386050644157
ml-1m,1,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q3,2861,0.00010715609800165298,0.00017476406850751484,0.0003495281370150297,0.00010715609800165298,0.00017476406850751484,0.0003495281370150297
ml-1m,1,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q4,1641,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.75,10.0,rp3beta,sym,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EASE,0.0,0.0,,,overall,6004,0.35886470515172914,0.2220393416816548,0.8794137241838774,0.3618476700911453,0.32899075921234416,0.9390406395736176
ml-1m,2,EASE,0.0,0.0,,,q1,5935,0.37902812893179005,0.28612547104598174,0.8828980623420387,0.39712320949052954,0.41959639568701584,0.9415332771693344
ml-1m,2,EASE,0.0,0.0,,,q2,4474,0.012509034903147354,0.02314072548323651,0.05364327223960662,0.022497243045295677,0.05310831455626426,0.13008493518104605
ml-1m,2,EASE,0.0,0.0,,,q3,2899,0.0018512851773931534,0.004285002491280518,0.006553984132459468,0.0037454383948627677,0.010479288875490406,0.017592273197654364
ml-1m,2,EASE,0.0,0.0,,,q4,1585,0.00018992428748516163,0.0006309148264984228,0.0006309148264984228,0.0004371601877160728,0.0015772870662460567,0.0018927444794952682
ml-1m,2,EASE,0.0,0.0,,,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE,0.75,0.0,,,overall,6004,0.3637566046181413,0.21864115355353694,0.8722518321119254,0.36136053376473565,0.32073122754819666,0.9333777481678881
ml-1m,2,EDLAE,0.75,0.0,,,q1,5935,0.3874140076699034,0.2858888579598164,0.8795282224094355,0.4018972694376069,0.4177352528959049,0.9391743892165122
ml-1m,2,EDLAE,0.75,0.0,,,q2,4474,0.005923167522266584,0.011399661593083777,0.02123379526151095,0.01042052790095749,0.025021950343429123,0.051408135896289675
ml-1m,2,EDLAE,0.75,0.0,,,q3,2899,0.0005770319944977726,0.0010731669924495036,0.0013797861331493618,0.0011761965276836134,0.00303744586255797,0.005174197999310107
ml-1m,2,EDLAE,0.75,0.0,,,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE,0.75,0.0,,,q5,666,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,2,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,overall,6004,0.36375783558220215,0.21860623694383505,0.8722518321119254,0.36135288379416763,0.32063951249120265,0.9332111925383078
ml-1m,2,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q1,5935,0.3874170851830592,0.2858513680417789,0.8795282224094355,0.4018788735790338,0.4175726942693725,0.939005897219882
ml-1m,2,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q2,4474,0.005923167522266584,0.011399661593083777,0.02123379526151095,0.010417667950493734,0.025021950343429123,0.051408135896289675
ml-1m,2,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q3,2899,0.0005770319944977726,0.0010731669924495036,0.0013797861331493618,0.0011761965276836134,0.00303744586255797,0.005174197999310107
ml-1m,2,EDLAE-Laplacian,0.75,0.01,rp3beta,sym,q4,1585,0.0,0.0,0.0,0.0,0.0,0.0
