dataset,seed,model,dropout,gamma,graph_source,normalise,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
ml-1m,1,EDLAE,0.5,0.0,,,q1,5944,0.3903672802162233,0.29007888729619846,0.8785329744279946,0.40690478628019633,0.4235156219340994,0.9355652759084792
ml-1m,1,EDLAE,0.5,0.0,,,q2,4502,0.00856991926973182,0.016418107574128017,0.0346512661039538,0.016680190385278633,0.04155110927678295,0.08840515326521546
ml-1m,1,EDLAE,0.5,0.0,,,q3,2861,0.0009780722539499056,0.002155423511592683,0.0031457532331352674,0.002605057972601203,0.007856615790904502,0.01258301293254107
ml-1m,1,EDLAE,0.5,0.0,,,q4,1641,0.0,0.0,0.0,0.00010422491411804882,0.0003046922608165753,0.0006093845216331506
ml-1m,1,EDLAE,0.5,0.0,,,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.5,0.01,rp3beta,none,overall,6006,0.3677932625097049,0.2233359062072413,0.8754578754578755,0.3680585002871703,0.3287651368537588,0.9335664335664335
ml-1m,1,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q1,5944,0.39027627723650193,0.29001589755728613,0.8785329744279946,0.40684860814344875,0.42340401964882785,0.9353970390309556
ml-1m,1,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q2,4502,0.008570820671173747,0.016418107574128017,0.0346512661039538,0.016597359822275108,0.04121792402578339,0.08796090626388271
ml-1m,1,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q3,2861,0.0009780722539499056,0.002155423511592683,0.0031457532331352674,0.002603350410176616,0.007856615790904502,0.01258301293254107
ml-1m,1,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q4,1641,0.0,0.0,0.0,0.00010422491411804882,0.0003046922608165753,0.0006093845216331506
ml-1m,1,EDLAE-Laplacian,0.5,0.01,rp3beta,none,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
ml-1m,1,EDLAE-Laplacian,0.5,0.03,rp3beta,none,overall,6006,0.36773975558451166,0.22331680701116988,0.8757908757908758,0.36802050460080965,0.3286808965123458,0.9335664335664335
ml-1m,1,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q1,5944,0.39023404759533425,0.2899736580091441,0.8788694481830417,0.4068293638183892,0.42334645314042685,0.9353970390309556
ml-1m,1,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q2,4502,0.008554700074450763,0.016418107574128017,0.0346512661039538,0.016495938745496236,0.04088473877478383,0.08773878276321635
ml-1m,1,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q3,2861,0.0009780722539499056,0.002155423511592683,0.0031457532331352674,0.0026025571581730134,0.007856615790904502,0.01258301293254107
ml-1m,1,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q4,1641,0.0,0.0,0.0,0.00010422491411804882,0.0003046922608165753,0.0006093845216331506
ml-1m,1,EDLAE-Laplacian,0.5,0.03,rp3beta,none,q5,685,0.0,0.0,0.0,0.0,0.0,0.0
