model,fusion_alpha,ease_lambda,rp3_beta,rp3_topK,bucket,n_users,NDCG@10,Recall@10,HitRate@10,NDCG@20,Recall@20,HitRate@20
Hybrid-Score,0.7,500,0.3,200,overall,5957,0.11654599621978469,0.09000161567000158,0.515527950310559,0.1327415507394086,0.1547472359980602,0.6877622964579486
Hybrid-Score,0.7,500,0.3,200,q1,5787,0.1291110625657009,0.12513991300233068,0.5220321410057024,0.15298446763146742,0.20991748777860741,0.6932780369794367
Hybrid-Score,0.7,500,0.3,200,q2,4520,0.005631471651757265,0.010927997064793579,0.020575221238938055,0.010786344270074784,0.02773238588723325,0.05553097345132743
Hybrid-Score,0.7,500,0.3,200,q3,3059,0.0014240429811428151,0.0034869783153536013,0.005557371690094802,0.002485075668127193,0.007110166721150703,0.010134030728996404
Hybrid-Score,0.7,500,0.3,200,q4,1767,0.0,0.0,0.0,0.00013571729856713723,0.0005659309564233164,0.0005659309564233164
Hybrid-Score,0.7,500,0.3,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.3,500,0.6,200,overall,5957,0.12058272569341337,0.09039754093598107,0.525096525096525,0.13555536723937922,0.15447301977689895,0.6891052543226456
Hybrid-Score,0.3,500,0.6,200,q1,5787,0.13291124985386257,0.12487930441681955,0.5329186106791084,0.1559173739149158,0.20925692570571763,0.696388456886124
Hybrid-Score,0.3,500,0.6,200,q2,4520,0.005198671285480158,0.01006946468161159,0.017477876106194692,0.008868916006224085,0.022604877923619534,0.03982300884955752
Hybrid-Score,0.3,500,0.6,200,q3,3059,0.0017781103822830022,0.003922850604772802,0.005884275907159202,0.002847684198422945,0.007556935817805383,0.011441647597254004
Hybrid-Score,0.3,500,0.6,200,q4,1767,0.0,0.0,0.0,0.0002934960723525801,0.0011318619128466328,0.0011318619128466328
Hybrid-Score,0.3,500,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.5,500,0.6,200,overall,5957,0.11816442111018967,0.09002598859429267,0.5193889541715628,0.13382676821592274,0.15487863085097298,0.6889373845895586
Hybrid-Score,0.5,500,0.6,200,q1,5787,0.13055220651765043,0.12496141318579763,0.5256609642301711,0.15405311731240603,0.20979183723483483,0.6948332469327804
Hybrid-Score,0.5,500,0.6,200,q2,4520,0.005696201424486536,0.011198590981513115,0.020575221238938055,0.010013454669094615,0.02564797276370323,0.046902654867256637
Hybrid-Score,0.5,500,0.6,200,q3,3059,0.0016471108437039526,0.003704914460063201,0.005884275907159202,0.002944078030825965,0.008210744251934183,0.012095456031382805
Hybrid-Score,0.5,500,0.6,200,q4,1767,0.0,0.0,0.0,0.0003548000066974109,0.0014148273910582908,0.001697792869269949
Hybrid-Score,0.5,500,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
Hybrid-Score,0.7,500,0.6,200,overall,5957,0.11636892950005548,0.08981726816924239,0.5151922108443847,0.13236570052112606,0.15463209333212216,0.6844049017962062
Hybrid-Score,0.7,500,0.6,200,q1,5787,0.12863623115552256,0.1245040210812847,0.5208225332642129,0.15219693165322631,0.20881026332668898,0.6898220148608951
Hybrid-Score,0.7,500,0.6,200,q2,4520,0.006065940783800919,0.011830615109694673,0.022345132743362833,0.011089819319925651,0.028097092190053238,0.0584070796460177
Hybrid-Score,0.7,500,0.6,200,q3,3059,0.0015775344169682913,0.0037866405143293013,0.006211180124223602,0.002812010162387428,0.008101776179579382,0.011441647597254004
Hybrid-Score,0.7,500,0.6,200,q4,1767,0.0,0.0,0.0,0.0002251425731045895,0.0008488964346349745,0.0011318619128466328
Hybrid-Score,0.7,500,0.6,200,q5,775,0.0,0.0,0.0,0.0,0.0,0.0
