dataset,seed,method,fusion,NDCG@10,MAP@10,HitRate@10,Recall@10,Coverage@10,Gini@10,Novelty@10,NDCG@20,MAP@20,HitRate@20,Recall@20,Coverage@20,Gini@20,Novelty@20,NDCG@k,MAP@k,HitRate@k,Recall@k,Coverage@k,Gini@k,Novelty@k,wilcoxon_vs_EASE_stat,wilcoxon_vs_EASE_p,wilcoxon_vs_EASE_n_pairs,wilcoxon_vs_EASE_sign,wilcoxon_vs_EASE_mean_diff,wilcoxon_vs_EASE_median_diff
ml-1m,1,Fusion,linear-uniform,0.365805067863679,0.23297027369518866,0.8742923742923743,0.22226422913931904,0.26492974238875877,0.8138410024597871,2.1716243503227664,0.3640428408908802,0.20466087272503528,0.9335664335664335,0.32457197769821194,0.3533372365339578,0.8050927945294142,2.3389466636536453,0.365805067863679,0.23297027369518866,0.8742923742923743,0.22226422913931904,0.26492974238875877,0.8138410024597871,2.1716243503227664,4874151.0,0.012446123667965252,6006,1,0.003456180372269583,0.0
ml-1m,1,Fusion,rrf_k=60,0.36347575031643536,0.23111377064608354,0.8736263736263736,0.21987685074494895,0.2576112412177986,0.8181039793539793,2.149644097121998,0.3607146664475771,0.20211616121834297,0.9319014319014319,0.3210524397242572,0.3422131147540984,0.8111199892209302,2.304405895780787,0.36347575031643536,0.23111377064608354,0.8736263736263736,0.21987685074494895,0.2576112412177986,0.8181039793539793,2.149644097121998,5714671.5,0.3919165924311818,6006,1,0.0011268628250259015,0.0
ml-1m,1,Fusion,combmnz-z,0.3648634986822781,0.2323278255768335,0.8732933732933733,0.2212938231816631,0.2611241217798595,0.818574362856874,2.153427091947963,0.3625055409094928,0.20382337685479743,0.9327339327339327,0.32236032765079903,0.3468969555035129,0.8093896539466159,2.3168337986302436,0.3648634986822781,0.2323278255768335,0.8732933732933733,0.2212938231816631,0.2611241217798595,0.818574362856874,2.153427091947963,5293018.0,0.15635862443695256,6006,1,0.0025146111908685392,0.0
ml-1m,1,Fusion,inv_var_p=0.5,0.36820552295407705,0.23504934460433327,0.8754578754578755,0.22338624029463772,0.26756440281030447,0.7783913023519151,2.2682516563092823,0.36840689972307494,0.20825013036427392,0.9337329337329338,0.3289998232948231,0.3548009367681499,0.7705551186986832,2.4364412176546804,0.36820552295407705,0.23504934460433327,0.8754578754578755,0.22338624029463772,0.26756440281030447,0.7783913023519151,2.2682516563092823,4670453.0,2.469475679454948e-10,6006,1,0.005856635462667544,0.0
ml-1m,2,EASE,-,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,0.3618476700911453,0.2003476739707504,0.9390406395736176,0.32899075921234416,0.40105386416861827,0.7530828109727334,2.5498226663708405,0.35886470515172914,0.2243326224714724,0.8794137241838774,0.2220393416816548,0.3082552693208431,0.7575972776616791,2.3851839157347414,,,0,0,,
ml-1m,2,RP3beta,-,0.3067779460063049,0.18528345190507914,0.8259493670886076,0.181923576632837,0.20901639344262296,0.8887635600542683,1.8835559972459572,0.3043031383528816,0.160172241746052,0.9027315123251166,0.26846886895126487,0.2953747072599532,0.8844017599103076,2.0281798069852757,0.3067779460063049,0.18528345190507914,0.8259493670886076,0.181923576632837,0.20901639344262296,0.8887635600542683,1.8835559972459572,,,0,0,,
ml-1m,2,EDLAE,-,0.36923515380574473,0.23521944081874366,0.8824117255163224,0.2249727788448523,0.26756440281030447,0.7763923613287713,2.2728048595640553,0.36803244791435624,0.2071493376648323,0.9363757495003331,0.3298069609260314,0.34894613583138173,0.7662089367714588,2.4377724651453456,0.36923515380574473,0.23521944081874366,0.8824117255163224,0.2249727788448523,0.26756440281030447,0.7763923613287713,2.2728048595640553,,,0,0,,
ml-1m,2,Fusion,linear-uniform,0.36550655284627603,0.23175605980912364,0.8812458361092604,0.22291471395449566,0.26375878220140514,0.8130795895596055,2.171372387689096,0.36383112939747136,0.2031861604327689,0.9380413057961359,0.3267039377921137,0.3515807962529274,0.8043054699586898,2.3385966929625126,0.36550655284627603,0.23175605980912364,0.8812458361092604,0.22291471395449566,0.26375878220140514,0.8130795895596055,2.171372387689096,4821431.5,1.9279305464130223e-08,6004,1,0.006641847694546856,0.0
ml-1m,2,Fusion,rrf_k=60,0.36444101619289687,0.23130164724734614,0.8790806129247168,0.22065428351630756,0.2540983606557377,0.8167692736332461,2.146574812836039,0.36163324487886456,0.20167556979855158,0.9350433044636909,0.323368314441919,0.3401639344262295,0.8100458988327919,2.303849982418115,0.36444101619289687,0.23130164724734614,0.8790806129247168,0.22065428351630756,0.2540983606557377,0.8167692736332461,2.146574812836039,5518031.0,6.543346834280061e-06,6004,1,0.005576311041167679,0.0
ml-1m,2,Fusion,combmnz-z,0.3646773897635059,0.23128053897552803,0.879746835443038,0.2218576448402368,0.25936768149882905,0.8173061450379957,2.153559771869457,0.3627257207381514,0.20260393724731662,0.9367088607594937,0.32458347166682683,0.34543325526932084,0.8086705332038528,2.316840951459277,0.3646773897635059,0.23128053897552803,0.879746835443038,0.2218576448402368,0.25936768149882905,0.8173061450379957,2.153559771869457,5174878.0,6.3534123967293704e-06,6004,1,0.005812684611776774,0.0
ml-1m,2,Fusion,inv_var_p=0.5,0.3695146120617145,0.2355321735622963,0.8825782811459028,0.2250422977363739,0.2666861826697892,0.7777466687045811,2.2679483549153865,0.36830799090181193,0.20743960715961723,0.9363757495003331,0.32983096543243096,0.3477751756440281,0.7670089048378521,2.4339408037428343,0.3695146120617145,0.2355321735622963,0.8825782811459028,0.2250422977363739,0.2666861826697892,0.7777466687045811,2.2679483549153865,4288775.5,6.474973854305843e-28,6004,1,0.010649906909985378,0.0
ml-1m,3,EASE,-,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,0.35794709456288604,0.19932866889775816,0.9248295360053218,0.3234195007622611,0.4016393442622951,0.7525223895359858,2.551157214359107,0.35706225986659396,0.22511819628899288,0.8726093464160984,0.21893095713123753,0.3100117096018735,0.7587483335995178,2.3860019783333133,,,0,0,,
ml-1m,3,RP3beta,-,0.30210829575720305,0.18312193960620382,0.8147347413936471,0.18020946294506715,0.21106557377049182,0.8893343663855451,1.8864061322346801,0.2994347700754492,0.15832353762733806,0.891401962414768,0.26318099274058343,0.2933255269320843,0.8832424291613017,2.031710432049815,0.30210829575720305,0.18312193960620382,0.8147347413936471,0.18020946294506715,0.21106557377049182,0.8893343663855451,1.8864061322346801,,,0,0,,
ml-1m,3,EDLAE,-,0.36252346854840434,0.23216451046143954,0.8681190753367704,0.21858974066380818,0.26639344262295084,0.7747268464115296,2.2744999942699375,0.36232862307551683,0.20452807572619194,0.9263262930317645,0.323545956027087,0.35304449648711944,0.7678488895949325,2.44008044980928,0.36252346854840434,0.23216451046143954,0.8681190753367704,0.21858974066380818,0.26639344262295084,0.7747268464115296,2.2744999942699375,,,0,0,,
ml-1m,3,Fusion,linear-uniform,0.3589338396771372,0.2284740841597216,0.8697821386994844,0.21773207587102486,0.27137002341920374,0.8168086370217997,2.174349282940436,0.3583619843343463,0.20095414768528905,0.9259936803592217,0.32104735227298836,0.3533372365339578,0.8048547947274138,2.3389258201343295,0.3589338396771372,0.2284740841597216,0.8697821386994844,0.21773207587102486,0.27137002341920374,0.8168086370217997,2.174349282940436,4967083.0,0.32693974621456334,6013,1,0.0018715798105432317,0.0
ml-1m,3,Fusion,rrf_k=60,0.3574000141327079,0.22798647546927067,0.8662897056377848,0.21422290508262962,0.26024590163934425,0.8194060226090565,2.1501344166759586,0.3560959978013579,0.19948817230928625,0.9241643106602362,0.31814056120249,0.3427985948477752,0.8105354140892853,2.3057967212910015,0.3574000141327079,0.22798647546927067,0.8662897056377848,0.21422290508262962,0.26024590163934425,0.8194060226090565,2.1501344166759586,5697337.5,0.9464507239852428,6013,1,0.00033775426611387487,0.0
ml-1m,3,Fusion,combmnz-z,0.35831567378541157,0.22837592859084982,0.8679527690004989,0.21637447366871204,0.2655152224824356,0.8202232905514715,2.1563276300670893,0.3576875156767403,0.20083442168478954,0.9249958423415933,0.31909721746930064,0.3468969555035129,0.8086950145289986,2.318544831111561,0.35831567378541157,0.22837592859084982,0.8679527690004989,0.21637447366871204,0.2655152224824356,0.8202232905514715,2.1563276300670893,5360578.0,0.9005360468623114,6013,1,0.0012534139188176458,0.0
ml-1m,3,Fusion,inv_var_p=0.5,0.36298101944842903,0.2326806839359602,0.8679527690004989,0.2186445828148351,0.2655152224824356,0.7764237390101674,2.2687764101868098,0.362550303787108,0.2048466248715539,0.926492599368036,0.3234843186973296,0.3521662763466042,0.7688594081070399,2.435933444822691,0.36298101944842903,0.2326806839359602,0.8679527690004989,0.2186445828148351,0.2655152224824356,0.7764237390101674,2.2687764101868098,4601625.5,6.491303892094566e-09,6013,1,0.005918759581835086,0.0
ml-1m,4,EASE,-,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,0.36241559929929296,0.20251274440390268,0.9302364302364302,0.32716994336340544,0.3984192037470726,0.7506592966181505,2.5499964162059165,0.3602199710712781,0.22636381640845926,0.8736263736263736,0.22263170160415102,0.31059718969555034,0.7588552195526748,2.3826147347901783,,,0,0,,
ml-1m,4,RP3beta,-,0.3058717350609129,0.1851119433340238,0.8225108225108225,0.18314719110348487,0.20930913348946137,0.8901166898369697,1.87890485197566,0.3033018327287142,0.16044218997122323,0.8936063936063936,0.2668937683421284,0.29596018735363,0.8857061006912639,2.0254522572929656,0.3058717350609129,0.1851119433340238,0.8225108225108225,0.18314719110348487,0.20930913348946137,0.8901166898369697,1.87890485197566,,,0,0,,
ml-1m,4,EDLAE,-,0.369102322683361,0.2357986350489185,0.8764568764568764,0.22536670508344622,0.2696135831381733,0.7790715618077182,2.2689288981294085,0.3684488411083905,0.2090091630406379,0.9292374292374292,0.328480625282707,0.3521662763466042,0.7688567735949283,2.4353395283112333,0.369102322683361,0.2357986350489185,0.8764568764568764,0.22536670508344622,0.2696135831381733,0.7790715618077182,2.2689288981294085,,,0,0,,
ml-1m,4,Fusion,linear-uniform,0.3659318783080483,0.2328499354796123,0.8754578754578755,0.22441348630567645,0.265807962529274,0.8147877819683988,2.167272339690463,0.36379315907153054,0.20500277058100103,0.9287379287379287,0.32486647516888284,0.352751756440281,0.8061968045785473,2.333288556043098,0.3659318783080483,0.2328499354796123,0.8754578754578755,0.22441348630567645,0.265807962529274,0.8147877819683988,2.167272339690463,4808407.5,1.2131055006610003e-05,6006,1,0.0057119072367701074,0.0
ml-1m,4,Fusion,rrf_k=60,0.3650504237273161,0.23292024763680097,0.8721278721278721,0.2214509964258128,0.2546838407494145,0.8175948189741293,2.14371262080349,0.361703343385803,0.20376565246249495,0.9264069264069265,0.3214301312290404,0.3387002341920375,0.8103541661450047,2.29995809832038,0.3650504237273161,0.23292024763680097,0.8721278721278721,0.2214509964258128,0.2546838407494145,0.8175948189741293,2.14371262080349,5437016.0,0.0003288000655087104,6006,1,0.004830452656037898,0.0
ml-1m,4,Fusion,combmnz-z,0.3652563581162625,0.2327761608090406,0.8734598734598734,0.22285493801263875,0.25878220140515223,0.8176904920117589,2.148725109992772,0.3628494992295812,0.2047646950703223,0.9265734265734266,0.322811410938817,0.343384074941452,0.8090955364612653,2.3109900953876945,0.3652563581162625,0.2327761608090406,0.8734598734598734,0.22285493801263875,0.25878220140515223,0.8176904920117589,2.148725109992772,5169857.0,0.0006914703522431145,6006,1,0.005036387044984293,0.0
ml-1m,4,Fusion,inv_var_p=0.5,0.3694658131833175,0.23627950315096008,0.8766233766233766,0.22543290061835752,0.26844262295081966,0.7804155495540446,2.263493553556069,0.36858808056036857,0.20921684550999117,0.9294039294039294,0.3284432673871047,0.351288056206089,0.7699522283272284,2.4312003878362884,0.3694658131833175,0.23627950315096008,0.8766233766233766,0.22543290061835752,0.26844262295081966,0.7804155495540446,2.263493553556069,4430493.0,8.564208264583426e-21,6006,1,0.00924584211203932,0.0
